date,rate
2024-03-27,99.078003
2024-03-28,98.633003
2024-03-29,98.629997
2024-04-01,98.889999
2024-04-02,98.335999
2024-04-03,98.709999
2024-04-04,99.556
2024-04-05,99.661003
2024-04-08,99.655998
2024-04-09,100.286003
2024-04-10,100.596001
2024-04-11,99.528999
2024-04-12,100.188004
2024-04-15,99.255997
2024-04-16,99.337997
2024-04-17,99.194
2024-04-18,99.384003
2024-04-19,99.323997
2024-04-22,99.363998
2024-04-23,99.846001
2024-04-24,100.403999
2024-04-25,100.869003
2024-04-26,101.495003
2024-04-29,103.489998
2024-04-30,102.550003
2024-05-01,102.137001
2024-05-02,101.699997
2024-05-03,100.568001
2024-05-06,101.486
2024-05-07,102.157997
2024-05-08,101.962997
2024-05-09,102.211998
2024-05-10,102.833
2024-05-13,102.844002
2024-05-14,103.275002
2024-05-15,103.663002
2024-05-16,103.371002
2024-05-17,103.809998
2024-05-20,104.359001
2024-05-21,104.323997
2024-05-22,104.166
2024-05-23,103.722
2024-05-24,103.616997
2024-05-27,103.903
2024-05-28,104.380997
2024-05-29,104.539001
2024-05-30,104.224998
2024-05-31,104.056999
2024-06-03,104.609001
2024-06-04,104.408997
2024-06-05,103.089996
2024-06-06,103.739998
2024-06-07,103.835999
2024-06-10,103.228996
2024-06-11,103.75106
2024-06-12,103.805
2024-06-13,104.468002
2024-06-14,104.214996
2024-06-17,104.129997
2024-06-18,104.374001
2024-06-19,105.126999
2024-06-20,105.432999
2024-06-21,105.857002
2024-06-24,106.050003
2024-06-25,106.257004
2024-06-26,106.103996
2024-06-27,106.719002
2024-06-28,106.862999
2024-07-01,107.370003
2024-07-02,107.471001
2024-07-03,107.695
2024-07-04,108.449997
2024-07-05,108.508003
2024-07-08,108.365997
2024-07-09,108.460999
2024-07-10,108.752998
2024-07-11,109.105003
2024-07-12,107.039001
2024-07-15,107.178001
2024-07-16,106.950996
2024-07-17,106.592003
2024-07-18,104.774002
2024-07-19,105.371002
2024-07-22,105.405998
2024-07-23,104.168999
2024-07-24,102.987999
2024-07-25,101.171997
2024-07-26,100.518997
2024-07-29,101.009003
2024-07-30,100.769997
2024-07-31,99.857002
2024-08-01,98.028
2024-08-02,96.901001
2024-08-05,94.582001
2024-08-06,94.985001
2024-08-07,94.264999
2024-08-08,95.200996
2024-08-09,97.321999
2024-08-12,96.593002
2024-08-13,96.778
2024-08-14,97.546997
2024-08-15,97.18
2024-08-16,98.661003
2024-08-19,98.723999
2024-08-20,98.794998
2024-08-21,98.056999
2024-08-22,97.945999
2024-08-23,98.066002
2024-08-26,97.734001
2024-08-27,97.867996
2024-08-28,97.723
2024-08-29,97.962997
2024-08-30,98.455002
2024-09-02,99.059998
2024-09-03,99.575996
2024-09-04,97.577003
2024-09-05,96.241997
2024-09-06,96.644997
2024-09-09,95.039001
2024-09-10,95.302002
2024-09-11,94.621002
2024-09-12,95.171997
2024-09-13,95.18
2024-09-16,94.518997
2024-09-17,95.050003
2024-09-18,96.030998
2024-09-19,96.523003
2024-09-20,97.271004
2024-09-23,98.060295
2024-09-24,98.157997
2024-09-25,98.718002
2024-09-26,98.691002
2024-09-27,99.988998
2024-09-30,98.781998
2024-10-01,99.382004
2024-10-02,98.877998
2024-10-03,100.926003
2024-10-04,100.573997
2024-10-07,101.193001
2024-10-08,100.050003
2024-10-09,99.839996
2024-10-10,100.186996
2024-10-11,100.212997
2024-10-14,100.511002
2024-10-15,100.621002
2024-10-16,99.625
2024-10-17,99.681
2024-10-18,100.553001
2024-10-21,100.433998
2024-10-22,100.177765
2024-10-23,101.003998
2024-10-24,101.355003
2024-10-25,100.700996
2024-10-28,100.988998
2024-10-29,100.818001
2024-10-30,100.542
2024-10-31,100.697998
2024-11-01,99.952003
2024-11-04,100.372002
2024-11-05,100.252998
2024-11-06,100.556
2024-11-07,101.332001
2024-11-08,102.268997
2024-11-11,100.674004
2024-11-12,100.941002
2024-11-13,100.973
2024-11-14,100.906998
2024-11-15,100.985001
2024-11-18,99.958
2024-11-19,100.585999
2024-11-20,101.202003
2024-11-21,101.119003
2024-11-22,100.387001
2024-11-25,100.599998
2024-11-26,99.779999
2024-11-27,99.051003
2024-11-28,98.333
2024-11-29,98.365997
2024-12-02,97.458
2024-12-03,96.799004
2024-12-04,97.042999
2024-12-05,96.823997
2024-12-06,96.873001
2024-12-09,95.945999
2024-12-10,97.467003
2024-12-11,96.787979
2024-12-12,97.169998
2024-12-13,97.149002
2024-12-16,97.694
2024-12-17,98.244003
2024-12-18,97.336998
2024-12-19,95.985001
2024-12-20,98.231003
2024-12-23,97.870003
2024-12-24,98.080002
2024-12-25,97.940002
2024-12-26,98.102997
2024-12-27,98.157997
2024-12-30,98.268997
2024-12-31,97.623001
2025-01-02,97.656998
2025-01-03,97.559998
2025-01-06,97.945999
2025-01-07,98.410004
2025-01-08,98.648003
2025-01-09,98.251999
2025-01-10,97.822998
2025-01-13,97.170998
2025-01-14,97.434998
2025-01-15,97.843002
2025-01-16,97.428001
2025-01-17,96.470001
2025-01-20,96.828003
2025-01-21,97.501999
2025-01-22,97.528
2025-01-23,98.125999
2025-01-24,98.102028
2025-01-27,97.994003
2025-01-28,97.023003
2025-01-29,97.266998
2025-01-30,96.813004
2025-01-31,95.761002
2025-02-03,95.442001
2025-02-04,96.538002
2025-02-05,96.333
2025-02-06,95.902863
2025-02-07,94.966003
2025-02-10,95.028999
2025-02-11,95.153
2025-02-12,96.186996
2025-02-13,96.886002
2025-02-14,96.630997
2025-02-17,96.620003
2025-02-18,96.246002
2025-02-19,96.514
2025-02-20,95.876999
2025-02-21,95.648003
2025-02-24,95.152
2025-02-25,94.973
2025-02-26,94.68
2025-02-27,93.916
2025-02-28,93.477997
2025-03-03,93.779999
2025-03-04,92.769997
2025-03-05,93.889
2025-03-06,94.358002
2025-03-07,93.774002
2025-03-10,93.041
2025-03-11,92.337997
2025-03-12,93.186996
2025-03-13,93.810997
