date,rate
2024-03-27,1.08837
2024-03-28,1.08836
2024-03-29,1.09017
2024-04-01,1.091223
2024-04-02,1.08993
2024-04-03,1.09121
2024-04-04,1.09204
2024-04-05,1.09291
2024-04-08,1.094167
2024-04-09,1.09458
2024-04-10,1.092334
2024-04-11,1.089117
2024-04-12,1.08989
2024-04-15,1.089129
2024-04-16,1.09127
2024-04-17,1.08835
2024-04-18,1.08902
2024-04-19,1.088261
2024-04-22,1.089044
2024-04-23,1.0895
2024-04-24,1.09296
2024-04-25,1.094498
2024-04-26,1.09474
2024-04-29,1.099768
2024-04-30,1.0988
2024-05-01,1.1015
2024-05-02,1.101516
2024-05-03,1.1017
2024-05-06,1.100274
2024-05-07,1.10219
2024-05-08,1.09873
2024-05-09,1.09537
2024-05-10,1.0953
2024-05-13,1.09669
2024-05-14,1.09751
2024-05-15,1.0961
2024-05-16,1.09295
2024-05-17,1.09098
2024-05-20,1.091859
2024-05-21,1.092288
2024-05-22,1.09403
2024-05-23,1.08506
2024-05-24,1.08267
2024-05-27,1.082001
2024-05-28,1.08175
2024-05-29,1.0826
2024-05-30,1.08171
2024-05-31,1.08401
2024-06-03,1.082478
2024-06-04,1.0792
2024-06-05,1.07634
2024-06-06,1.07404
2024-06-07,1.07621
2024-06-10,1.077981
2024-06-11,1.07822
2024-06-12,1.07513
2024-06-13,1.07693
2024-06-14,1.076576
2024-06-17,1.07742
2024-06-18,1.078544
2024-06-19,1.084624
2024-06-20,1.087239
2024-06-21,1.08789
2024-06-24,1.08556
2024-06-25,1.08727
2024-06-26,1.08598
2024-06-27,1.0929
2024-06-28,1.093
2024-07-01,1.0942
2024-07-02,1.09721
2024-07-03,1.096353
2024-07-04,1.09881
2024-07-05,1.10004
2024-07-08,1.098547
2024-07-09,1.09979
2024-07-10,1.10022
2024-07-11,1.10905
2024-07-12,1.11054
2024-07-15,1.110652
2024-07-16,1.11297
2024-07-17,1.10919
2024-07-18,1.106631
2024-07-19,1.10945
2024-07-22,1.1115
2024-07-23,1.11065
2024-07-24,1.11066
2024-07-25,1.10914
2024-07-26,1.11044
2024-07-29,1.112
2024-07-30,1.11468
2024-07-31,1.108298
2024-08-01,1.09992
2024-08-02,1.09412
2024-08-05,1.092471
2024-08-06,1.09494
