date,rate
2024-03-27,0.87961
2024-03-28,0.87959
2024-03-29,0.8791
2024-04-01,0.88037
2024-04-02,0.87741
2024-04-03,0.88024
2024-04-04,0.88533
2024-04-05,0.88826
2024-04-08,0.886
2024-04-09,0.8895
2024-04-10,0.89129
2024-04-11,0.88096
2024-04-12,0.88469
2024-04-15,0.8808
2024-04-16,0.87804
2024-04-17,0.87498
2024-04-18,0.87589
2024-04-19,0.87494
2024-04-22,0.87469
2024-04-23,0.87852
2024-04-24,0.8828
2024-04-25,0.8846
2024-04-26,0.88643
2024-04-29,0.89048
2024-04-30,0.89231
2024-05-01,0.88411
2024-05-02,0.8877
2024-05-03,0.889561
2024-05-06,0.8927
2024-05-07,0.89522
2024-05-08,0.892
2024-05-09,0.89139
2024-05-10,0.89488
2024-05-13,0.8936
2024-05-14,0.8937
2024-05-15,0.89555
2024-05-16,0.90019
2024-05-17,0.89912
2024-05-20,0.90105
2024-05-21,0.89888
2024-05-22,0.89812
2024-05-23,0.89382
2024-05-24,0.89228
2024-05-27,0.89415
2024-05-28,0.89748
2024-05-29,0.89657
2024-05-30,0.8941
2024-05-31,0.8951
2024-06-03,0.89887
2024-06-04,0.8997
2024-06-05,0.89482
2024-06-06,0.8962
2024-06-07,0.89726
2024-06-10,0.8896
2024-06-11,0.89374
2024-06-12,0.89395
2024-06-13,0.89807
2024-06-14,0.89608
2024-06-17,0.8942
2024-06-18,0.89436
2024-06-19,0.8993
2024-06-20,0.90148
2024-06-21,0.90201
2024-06-24,0.89922
2024-06-25,0.90015
2024-06-26,0.9001
2024-06-27,0.90287
2024-06-28,0.9026
2024-07-01,0.90437
2024-07-02,0.90347
2024-07-03,0.90415
2024-07-04,0.9081
2024-07-05,0.9086
2024-07-08,0.90985
2024-07-09,0.90988
2024-07-10,0.91045
2024-07-11,0.91
2024-07-12,0.90837
2024-07-15,0.90922
2024-07-16,0.90859
2024-07-17,0.9047
2024-07-18,0.901
2024-07-19,0.9009
2024-07-22,0.89994
2024-07-23,0.89358
2024-07-24,0.88978
2024-07-25,0.8834
2024-07-26,0.87845
2024-07-29,0.88003
2024-07-30,0.87979
2024-07-31,0.8772
2024-08-01,0.87472
2024-08-02,0.8679
2024-08-05,0.86123
2024-08-06,0.8634
2024-08-07,0.86348
2024-08-08,0.86428
2024-08-09,0.87413
2024-08-12,0.86992
2024-08-13,0.87167
2024-08-14,0.8743
2024-08-15,0.86896
2024-08-16,0.87421
2024-08-19,0.87793
2024-08-20,0.8801
2024-08-21,0.88013
2024-08-22,0.88098
2024-08-23,0.8787
2024-08-26,0.88311
2024-08-27,0.8823
2024-08-28,0.88327
2024-08-29,0.88412
2024-08-30,0.88512
2024-09-02,0.8833
2024-09-03,0.887
2024-09-04,0.8765
2024-09-05,0.8753
2024-09-06,0.87601
2024-09-09,0.86927
2024-09-10,0.86933
2024-09-11,0.8676
2024-09-12,0.87062
2024-09-13,0.87477
2024-09-16,0.87096
2024-09-17,0.87474
2024-09-18,0.87623
2024-09-19,0.87653
2024-09-20,0.87998
2024-09-23,0.87884
2024-09-24,0.88215
2024-09-25,0.88545
2024-09-26,0.87974
2024-09-27,0.88484
2024-09-30,0.88574
2024-10-01,0.88866
2024-10-02,0.88621
2024-10-03,0.8897
2024-10-04,0.88816
2024-10-07,0.88709
2024-10-08,0.88084
2024-10-09,0.8789
2024-10-10,0.87805
2024-10-11,0.88009
2024-10-14,0.87997
2024-10-15,0.87931
2024-10-16,0.87499
2024-10-17,0.8749
2024-10-18,0.88043
2024-10-21,0.87947
2024-10-22,0.87592
2024-10-23,0.8791
2024-10-24,0.87772
2024-10-25,0.87493
2024-10-28,0.87372
2024-10-29,0.87039
2024-10-30,0.86818
2024-10-31,0.86892
2024-11-01,0.86785
2024-11-04,0.87128
2024-11-05,0.86881
2024-11-06,0.87214
2024-11-07,0.87543
2024-11-08,0.88167
2024-11-11,0.87414
2024-11-12,0.87662
2024-11-13,0.8741
2024-11-14,0.8714
2024-11-15,0.8683
2024-11-18,0.86756
2024-11-19,0.87066
2024-11-20,0.8737
2024-11-21,0.87425
2024-11-22,0.87654
2024-11-25,0.87827
2024-11-26,0.8719
2024-11-27,0.87138
2024-11-28,0.87121
2024-11-29,0.8722
2024-12-02,0.87199
2024-12-03,0.8701
2024-12-04,0.8721
2024-12-05,0.86403
2024-12-06,0.86327
2024-12-09,0.85824
2024-12-10,0.86278
2024-12-11,0.85508
2024-12-12,0.85723
2024-12-13,0.85793
2024-12-16,0.85827
2024-12-17,0.86021
2024-12-18,0.85547
2024-12-19,0.84584
2024-12-20,0.8482
2024-12-23,0.8474
2024-12-24,0.847
2024-12-25,0.8481
2024-12-26,0.84835
2024-12-27,0.84547
2024-12-30,0.84521
2024-12-31,0.8447
2025-01-02,0.84568
2025-01-03,0.84912
2025-01-06,0.85245
2025-01-07,0.85074
2025-01-08,0.85075
