date,rate
2024-03-27,111.505997
2024-03-28,111.348999
2024-03-29,111.862
2024-04-01,111.957001
2024-04-02,111.664001
2024-04-03,111.716003
2024-04-04,112.082001
2024-04-05,111.695
2024-04-08,111.495003
2024-04-09,111.886002
2024-04-10,111.818001
2024-04-11,111.735001
2024-04-12,111.917999
2024-04-15,111.398003
2024-04-16,111.848999
2024-04-17,111.936996
2024-04-18,112.069
2024-04-19,112.260002
2024-04-22,112.547997
2024-04-23,112.991997
2024-04-24,113.265999
2024-04-25,113.296997
2024-04-26,113.920998
2024-04-29,115.853996
2024-04-30,114.369003
2024-05-01,114.487999
2024-05-02,113.457001
2024-05-03,111.985001
2024-05-06,112.153
2024-05-07,112.818001
2024-05-08,112.675003
2024-05-09,113.210999
2024-05-10,113.603996
2024-05-13,113.918999
2024-05-14,114.290001
2024-05-15,114.619003
2024-05-16,113.459999
2024-05-17,114.099998
2024-05-20,114.449997
2024-05-21,114.774002
2024-05-22,114.542999
2024-05-23,114.467003
2024-05-24,114.300003
2024-05-27,114.759003
2024-05-28,115.073997
2024-05-29,115.209999
2024-05-30,114.889999
2024-05-31,114.695999
2024-06-03,115.403999
2024-06-04,114.5
2024-06-05,113.419998
2024-06-06,113.902
2024-06-07,113.903999
2024-06-10,113.977997
2024-06-11,114.080002
2024-06-12,114.214996
2024-06-13,114.273003
2024-06-14,114.331001
2024-06-17,114.68
2024-06-18,114.992996
2024-06-19,115.059998
2024-06-20,115.244003
2024-06-21,116.140999
2024-06-24,116.667
2024-06-25,116.917
2024-06-26,116.887001
2024-06-27,117.171997
2024-06-28,117.293999
2024-07-01,117.679001
2024-07-02,117.566002
2024-07-03,118.078003
2024-07-04,118.540001
2024-07-05,118.512001
2024-07-08,117.759003
2024-07-09,118.0
2024-07-10,118.339996
2024-07-11,118.684998
2024-07-12,116.095001
2024-07-15,115.992996
2024-07-16,115.610001
2024-07-17,115.837997
2024-07-18,113.807999
2024-07-19,114.679001
2024-07-22,114.834
2024-07-23,114.009003
2024-07-24,112.984001
2024-07-25,111.432999
2024-07-26,111.209
2024-07-29,111.450996
2024-07-30,111.017998
2024-07-31,110.226997
2024-08-01,108.438004
2024-08-02,107.487
2024-08-05,104.858002
2024-08-06,105.591003
2024-08-07,104.967003
2024-08-08,106.246002
2024-08-09,107.507004
2024-08-12,107.039001
2024-08-13,106.949997
2024-08-14,107.191772
2024-08-15,107.353996
2024-08-16,108.646004
2024-08-19,108.161003
2024-08-20,107.610001
2024-08-21,106.730003
2024-08-22,106.827003
2024-08-23,107.463997
2024-08-26,106.585999
2024-08-27,107.190002
2024-08-28,107.056999
2024-08-29,107.178001
2024-08-30,107.405998
2024-09-02,108.489998
2024-09-03,108.694
2024-09-04,107.316002
2024-09-05,106.101997
2024-09-06,106.207001
2024-09-09,105.054001
2024-09-10,105.542
2024-09-11,104.501999
2024-09-12,105.030998
2024-09-13,104.223999
2024-09-16,103.691002
2024-09-17,103.625
2024-09-18,104.473999
2024-09-19,104.842003
2024-09-20,105.324997
2024-09-23,106.157997
2024-09-24,106.160004
2024-09-25,106.514999
2024-09-26,107.269997
2024-09-27,107.646004
2024-09-30,105.686996
2024-10-01,106.237
2024-10-02,106.505997
2024-10-03,108.539001
2024-10-04,108.349998
2024-10-07,109.586998
2024-10-08,108.760002
2024-10-09,108.509003
2024-10-10,108.796997
2024-10-11,108.167
2024-10-14,108.352997
2024-10-15,108.427002
2024-10-16,108.185997
2024-10-17,108.727997
2024-10-18,108.792999
2024-10-21,108.399002
2024-10-22,108.855003
2024-10-23,109.378998
2024-10-24,110.400002
2024-10-25,109.557999
2024-10-28,110.063004
2024-10-29,110.276001
2024-10-30,110.163002
2024-10-31,110.168999
2024-11-01,109.068001
2024-11-04,109.403999
2024-11-05,109.536003
2024-11-06,109.459
2024-11-07,110.644997
2024-11-08,110.458
2024-11-11,109.932999
2024-11-12,110.238998
2024-11-13,110.896004
2024-11-14,111.073997
2024-11-15,111.268997
2024-11-18,109.790001
2024-11-19,110.264
2024-11-20,110.858002
2024-11-21,111.158997
2024-11-22,110.306999
2024-11-25,110.627998
2024-11-26,109.492996
2024-11-27,108.867996
2024-11-28,107.891998
2024-11-29,107.918999
2024-12-02,106.964996
2024-12-03,106.442001
2024-12-04,106.378998
2024-12-05,106.985001
2024-12-06,107.112999
2024-12-09,105.970001
2024-12-10,106.82
2024-12-11,107.091003
2024-12-12,107.586998
2024-12-13,107.282997
2024-12-16,107.861
2024-12-17,108.237999
2024-12-18,107.313004
2024-12-19,106.953003
2024-12-20,109.456001
2024-12-23,108.988998
2024-12-24,109.324997
2024-12-25,109.389999
2024-12-26,109.472
2024-12-27,109.462997
2024-12-30,109.619003
2024-12-31,109.396004
2025-01-02,109.691002
2025-01-03,109.237
