date,rate
2024-03-27,167.559998
2024-03-28,166.994003
2024-03-29,167.960007
2024-04-01,167.833664
2024-04-02,167.468994
2024-04-03,166.908005
2024-04-04,167.848999
2024-04-05,167.804611
2024-04-08,167.936005
2024-04-09,167.757004
2024-04-10,168.050003
2024-04-11,167.505005
2024-04-12,168.354996
2024-04-15,167.727997
2024-04-16,169.095657
2024-04-17,169.487
2024-04-18,169.466995
2024-04-19,169.436005
2024-04-22,169.727997
2024-04-23,169.748001
2024-04-24,169.717987
2024-04-25,169.764008
2024-04-26,170.487
2024-04-29,173.147003
2024-04-30,171.468292
2024-05-01,171.563004
2024-05-02,169.956528
2024-05-03,168.209
2024-05-06,169.440002
2024-05-07,170.080994
2024-05-08,170.303833
2024-05-09,171.144424
2024-05-10,171.520996
2024-05-13,171.880997
2024-05-14,172.057999
2024-05-15,172.571228
2024-05-16,171.281006
2024-05-17,171.445999
2024-05-20,171.352692
2024-05-21,171.798996
2024-05-22,171.462143
2024-05-23,171.212006
2024-05-24,171.654999
2024-05-27,171.538086
2024-05-28,171.725998
2024-05-29,172.348007
2024-05-30,172.574997
2024-05-31,173.723999
2024-06-03,174.369064
2024-06-04,174.358002
2024-06-05,174.269333
2024-06-06,174.677567
2024-06-07,174.980133
2024-06-10,174.960007
2024-06-11,175.119995
2024-06-12,174.970001
2024-06-13,175.321335
2024-06-14,175.755432
2024-06-17,176.854004
2024-06-18,177.498001
2024-06-19,178.477005
2024-06-20,178.587997
2024-06-21,178.261002
2024-06-24,178.683334
2024-06-25,178.755997
2024-06-26,178.347
2024-06-27,179.044006
2024-06-28,178.775589
2024-07-01,178.724762
2024-07-02,178.796341
2024-07-03,178.697006
2024-07-04,179.380005
2024-07-05,179.223007
2024-07-08,179.415344
2024-07-09,179.151993
2024-07-10,179.730103
2024-07-11,179.714996
2024-07-12,176.531952
2024-07-15,176.494995
2024-07-16,176.574997
2024-07-17,177.225006
2024-07-18,176.414627
2024-07-19,177.072006
2024-07-22,177.070007
2024-07-23,176.350998
2024-07-24,174.697998
2024-07-25,173.858994
2024-07-26,174.479996
2024-07-29,174.266998
2024-07-30,173.587006
2024-07-31,172.977005
2024-08-01,170.503006
2024-08-02,170.916
2024-08-05,170.035995
2024-08-06,170.457993
2024-08-07,169.705429
2024-08-08,170.054626
2024-08-09,170.306
2024-08-12,169.350006
2024-08-13,169.889999
2024-08-14,169.817001
