date,rate
2024-03-27,1.65652
2024-03-28,1.65777
2024-03-29,1.65553
2024-04-01,1.65197
2024-04-02,1.6549
2024-04-03,1.65295
2024-04-04,1.64996
2024-04-05,1.64494
2024-04-08,1.64837
2024-04-09,1.64449
2024-04-10,1.63821
2024-04-11,1.65064
2024-04-12,1.63996
2024-04-15,1.6438
2024-04-16,1.64929
2024-04-17,1.65623
2024-04-18,1.65683
2024-04-19,1.65664
2024-04-22,1.6582
2024-04-23,1.6511
2024-04-24,1.64933
2024-04-25,1.64682
2024-04-26,1.64449
2024-04-29,1.63674
2024-04-30,1.63295
2024-05-01,1.64688
2024-05-02,1.6408
2024-05-03,1.63284
2024-05-06,1.62771
2024-05-07,1.62548
2024-05-08,1.631
2024-05-09,1.63398
2024-05-10,1.62909
2024-05-13,1.63159
2024-05-14,1.63256
2024-05-15,1.6325
2024-05-16,1.62516
2024-05-17,1.62647
2024-05-20,1.6226
2024-05-21,1.6277
2024-05-22,1.62814
2024-05-23,1.63539
2024-05-24,1.63791
2024-05-27,1.63757
2024-05-28,1.63194
2024-05-29,1.63233
2024-05-30,1.6332
2024-05-31,1.63363
2024-06-03,1.63052
2024-06-04,1.6303
2024-06-05,1.63725
2024-06-06,1.63397
2024-06-07,1.63307
2024-06-10,1.63737
2024-06-11,1.62896
2024-06-12,1.62535
2024-06-13,1.62281
2024-06-14,1.61889
2024-06-17,1.61833
2024-06-18,1.62259
2024-06-19,1.6122
2024-06-20,1.61006
2024-06-21,1.60724
2024-06-24,1.61088
2024-06-25,1.61277
2024-06-26,1.61167
2024-06-27,1.6072
2024-06-28,1.61011
2024-07-01,1.60847
2024-07-02,1.6134
2024-07-03,1.61181
2024-07-04,1.6075
2024-07-05,1.60746
2024-07-08,1.60462
2024-07-09,1.60622
2024-07-10,1.60422
2024-07-11,1.60443
2024-07-12,1.60634
2024-07-15,1.60771
2024-07-16,1.61134
2024-07-17,1.61942
2024-07-18,1.62533
2024-07-19,1.62571
2024-07-22,1.62758
2024-07-23,1.63995
2024-07-24,1.6408
2024-07-25,1.64855
2024-07-26,1.65907
2024-07-29,1.65605
2024-07-30,1.65141
2024-07-31,1.65343
2024-08-01,1.65334
2024-08-02,1.66093
2024-08-05,1.6792
2024-08-06,1.68072
2024-08-07,1.67708
2024-08-08,1.67731
2024-08-09,1.65584
2024-08-12,1.6607
2024-08-13,1.66062
2024-08-14,1.65645
2024-08-15,1.66846
2024-08-16,1.65941
2024-08-19,1.65212
2024-08-20,1.6456
2024-08-21,1.6493
2024-08-22,1.65261
2024-08-23,1.65722
2024-08-26,1.64815
2024-08-27,1.64847
2024-08-28,1.64669
2024-08-29,1.64001
2024-08-30,1.63044
2024-09-02,1.63193
2024-09-03,1.63064
2024-09-04,1.64578
2024-09-05,1.64979
2024-09-06,1.64835
2024-09-09,1.66199
2024-09-10,1.6576
2024-09-11,1.65638
2024-09-12,1.64975
2024-09-13,1.64681
2024-09-16,1.65151
2024-09-17,1.64831
2024-09-18,1.6447
2024-09-19,1.64301
2024-09-20,1.63877
2024-09-23,1.63877
2024-09-24,1.62589
2024-09-25,1.62053
2024-09-26,1.63156
2024-09-27,1.62152
2024-09-30,1.61431
2024-10-01,1.61027
2024-10-02,1.60817
2024-10-03,1.60395
2024-10-04,1.61096
2024-10-07,1.61331
2024-10-08,1.6239
2024-10-09,1.62846
2024-10-10,1.62875
2024-10-11,1.62195
2024-10-14,1.62277
2024-10-15,1.6222
2024-10-16,1.62878
2024-10-17,1.62921
2024-10-18,1.61634
2024-10-21,1.61869
2024-10-22,1.62561
2024-10-23,1.6151
2024-10-24,1.62471
2024-10-25,1.63131
2024-10-28,1.63493
2024-10-29,1.64322
2024-10-30,1.6494
2024-10-31,1.65199
2024-11-01,1.65472
2024-11-04,1.64957
2024-11-05,1.65152
2024-11-06,1.6463
2024-11-07,1.63418
2024-11-08,1.61674
2024-11-11,1.62719
2024-11-12,1.62089
2024-11-13,1.6255
2024-11-14,1.62702
2024-11-15,1.63111
2024-11-18,1.62971
2024-11-19,1.62845
2024-11-20,1.62147
2024-11-21,1.61941
2024-11-22,1.60801
2024-11-25,1.60234
2024-11-26,1.61576
2024-11-27,1.62021
2024-11-28,1.62549
2024-11-29,1.62297
2024-12-02,1.62153
2024-12-03,1.6217
2024-12-04,1.6202
2024-12-05,1.63462
2024-12-06,1.6407
2024-12-09,1.65082
2024-12-10,1.63956
2024-12-11,1.65173
2024-12-12,1.64572
2024-12-13,1.64369
2024-12-16,1.65052
2024-12-17,1.64925
2024-12-18,1.65551
2024-12-19,1.66761
2024-12-20,1.663
2024-12-23,1.66843
2024-12-24,1.666
2024-12-25,1.6673
2024-12-26,1.66552
2024-12-27,1.67466
2024-12-30,1.67528
2024-12-31,1.6732
2025-01-02,1.67114
2025-01-03,1.65583
2025-01-06,1.65668
2025-01-07,1.66425
2025-01-08,1.65896
2025-01-09,1.66051
2025-01-10,1.6634
2025-01-13,1.66429
2025-01-14,1.6576
2025-01-15,1.66451
2025-01-16,1.65103
2025-01-17,1.65875
2025-01-20,1.65881
2025-01-21,1.65892
2025-01-22,1.66174
2025-01-23,1.65913
2025-01-24,1.65769
2025-01-27,1.66331
2025-01-28,1.66743
2025-01-29,1.66742
2025-01-30,1.67064
2025-01-31,1.6728
2025-02-03,1.6677
2025-02-04,1.66087
2025-02-05,1.65925
2025-02-06,1.65479
2025-02-07,1.65316
2025-02-10,1.64742
2025-02-11,1.64277
2025-02-12,1.64551
2025-02-13,1.65421
2025-02-14,1.65598
2025-02-17,1.65009
2025-02-18,1.6495
2025-02-19,1.64452
2025-02-20,1.64338
2025-02-21,1.64003
2025-02-24,1.64421
2025-02-25,1.65045
2025-02-26,1.65617
2025-02-27,1.66195
2025-02-28,1.66785
2025-03-03,1.67392
2025-03-04,1.6867
2025-03-05,1.6947
2025-03-06,1.7031
2025-03-07,1.70343
2025-03-10,1.72275
2025-03-11,1.726
2025-03-12,1.73357
2025-03-13,1.7203
2025-03-14,1.72639
2025-03-17,1.71988
2025-03-18,1.71072
2025-03-19,1.71954
2025-03-20,1.7145
2025-03-21,1.72216
2025-03-24,1.72305
2025-03-25,1.71861
2025-03-26,1.71
2025-03-27,1.70849
2025-03-28,1.71395
2025-03-31,1.72269
2025-04-01,1.7332
2025-04-02,1.71631
2025-04-03,1.74051
2025-04-04,1.74639
2025-04-07,1.8144
2025-04-08,1.8198
2025-04-09,1.84368
2025-04-10,1.78527
2025-04-11,1.80881
2025-04-14,1.79985
2025-04-15,1.79423
2025-04-16,1.78174
2025-04-17,1.78898
2025-04-22,1.79245
2025-04-23,1.78026
2025-04-24,1.77944
2025-04-25,1.77646
2025-04-28,1.7771
2025-04-29,1.77452
2025-04-30,1.7836
2025-05-01,1.76572
2025-05-02,1.76864
2025-05-05,1.75657
2025-05-06,1.75079
2025-05-07,1.74305
2025-05-08,1.75775
2025-05-09,1.75562
2025-05-12,1.74876
2025-05-13,1.74123
2025-05-14,1.72806
2025-05-15,1.73999
2025-05-16,1.74717
2025-05-19,1.7454
2025-05-20,1.73986
2025-05-21,1.75678
2025-05-22,1.76118
2025-05-23,1.75996
2025-05-26,1.74919
2025-05-27,1.75705
2025-05-28,1.75832
2025-05-29,1.74827
2025-05-30,1.76496
2025-06-02,1.76177
2025-06-03,1.7623
2025-06-04,1.7605
