date,rate
2024-03-27,1.47096
2024-03-28,1.46896
2024-03-29,1.46065
2024-04-01,1.45934
2024-04-02,1.45739
2024-04-03,1.4606
2024-04-04,1.46565
2024-04-05,1.46768
2024-04-08,1.47334
2024-04-09,1.47397
2024-04-10,1.47383
2024-04-11,1.47034
2024-04-12,1.4681
2024-04-15,1.465
2024-04-16,1.46481
2024-04-17,1.46766
2024-04-18,1.46932
2024-04-19,1.46554
2024-04-22,1.4643
2024-04-23,1.45955
2024-04-24,1.4616
2024-04-25,1.46624
2024-04-26,1.46519
2024-04-29,1.46208
2024-04-30,1.46439
2024-05-01,1.46948
2024-05-02,1.47071
2024-05-03,1.46628
2024-05-06,1.47289
2024-05-07,1.4719
2024-05-08,1.4758
2024-05-09,1.47518
2024-05-10,1.47465
2024-05-13,1.47302
2024-05-14,1.47495
2024-05-15,1.47645
2024-05-16,1.48043
2024-05-17,1.47959
2024-05-20,1.47953
2024-05-21,1.4795
2024-05-22,1.48062
2024-05-23,1.48188
2024-05-24,1.4848
2024-05-27,1.48267
2024-05-28,1.48028
2024-05-29,1.48092
2024-05-30,1.48166
2024-05-31,1.48209
2024-06-03,1.478
2024-06-04,1.48649
2024-06-05,1.48817
2024-06-06,1.48855
2024-06-07,1.48864
2024-06-10,1.48298
2024-06-11,1.48114
2024-06-12,1.47722
2024-06-13,1.4831
2024-06-14,1.47573
2024-06-17,1.46987
2024-06-18,1.47285
2024-06-19,1.47301
2024-06-20,1.4725
2024-06-21,1.46505
2024-06-24,1.46431
2024-06-25,1.46577
2024-06-26,1.46298
2024-06-27,1.46345
2024-06-28,1.46693
2024-07-01,1.46775
2024-07-02,1.47495
2024-07-03,1.46999
2024-07-04,1.47115
2024-07-05,1.47181
2024-07-08,1.47664
2024-07-09,1.47617
2024-07-10,1.47421
2024-07-11,1.4751
2024-07-12,1.48125
2024-07-15,1.48555
2024-07-16,1.49
2024-07-17,1.49022
2024-07-18,1.49646
2024-07-19,1.49359
2024-07-22,1.49397
2024-07-23,1.49846
2024-07-24,1.49564
2024-07-25,1.49679
2024-07-26,1.4995
2024-07-29,1.50089
2024-07-30,1.49901
2024-07-31,1.49797
2024-08-01,1.49429
2024-08-02,1.49727
2024-08-05,1.51466
2024-08-06,1.51172
2024-08-07,1.50624
2024-08-08,1.50295
2024-08-09,1.49924
2024-08-12,1.4986
2024-08-13,1.50272
2024-08-14,1.50742
2024-08-15,1.5098
2024-08-16,1.50689
2024-08-19,1.50797
2024-08-20,1.51116
2024-08-21,1.51522
2024-08-22,1.51523
2024-08-23,1.51222
2024-08-26,1.51132
2024-08-27,1.50508
2024-08-28,1.503
2024-08-29,1.49907
2024-08-30,1.49461
2024-09-02,1.49003
2024-09-03,1.49379
2024-09-04,1.49637
2024-09-05,1.49669
2024-09-06,1.49993
2024-09-09,1.5036
2024-09-10,1.49677
2024-09-11,1.49982
2024-09-12,1.495
2024-09-13,1.50387
2024-09-16,1.50547
2024-09-17,1.51204
2024-09-18,1.5118
2024-09-19,1.5125
2024-09-20,1.51351
2024-09-23,1.51377
2024-09-24,1.50329
2024-09-25,1.50193
2024-09-26,1.50063
