date,rate
2024-03-27,0.97884
2024-03-28,0.9792
2024-03-29,0.9724
2024-04-01,0.97346
2024-04-02,0.97174
2024-04-03,0.97755
2024-04-04,0.97859
2024-04-05,0.97694
2024-04-08,0.978
2024-04-09,0.98303
2024-04-10,0.98059
2024-04-11,0.98072
2024-04-12,0.97592
2024-04-15,0.97296
2024-04-16,0.96881
2024-04-17,0.96924
2024-04-18,0.97155
2024-04-19,0.97113
2024-04-22,0.97096
2024-04-23,0.9715
2024-04-24,0.97578
2024-04-25,0.97839
2024-04-26,0.97893
2024-04-29,0.9783
2024-04-30,0.976
2024-05-01,0.98078
2024-05-02,0.98217
2024-05-03,0.97617
2024-05-06,0.97459
2024-05-07,0.97623
2024-05-08,0.97677
2024-05-09,0.97578
2024-05-10,0.97669
2024-05-13,0.97626
2024-05-14,0.9798
2024-05-15,0.98062
2024-05-16,0.98062
2024-05-17,0.98465
2024-05-20,0.98821
2024-05-21,0.9884
2024-05-22,0.9891
2024-05-23,0.9907
2024-05-24,0.98865
2024-05-27,0.99189
2024-05-28,0.9919
2024-05-29,0.99004
2024-05-30,0.98628
2024-05-31,0.97848
2024-06-03,0.97818
2024-06-04,0.97623
2024-06-05,0.9685
2024-06-06,0.97064
2024-06-07,0.969
2024-06-10,0.96596
2024-06-11,0.96502
2024-06-12,0.96422
2024-06-13,0.96695
2024-06-14,0.95993
2024-06-17,0.95325
2024-06-18,0.95411
2024-06-19,0.9496
2024-06-20,0.95051
2024-06-21,0.95437
2024-06-24,0.9559
2024-06-25,0.9586
2024-06-26,0.95878
2024-06-27,0.95798
2024-06-28,0.9622
2024-07-01,0.96645
2024-07-02,0.96974
2024-07-03,0.97131
2024-07-04,0.9721
2024-07-05,0.97317
2024-07-08,0.96917
2024-07-09,0.97234
2024-07-10,0.97062
2024-07-11,0.97417
2024-07-12,0.97423
2024-07-15,0.9762
2024-07-16,0.9759
2024-07-17,0.97387
2024-07-18,0.96507
2024-07-19,0.96732
2024-07-22,0.96783
2024-07-23,0.9687
2024-07-24,0.96725
2024-07-25,0.95925
2024-07-26,0.95566
2024-07-29,0.95987
2024-07-30,0.95868
2024-07-31,0.95399
2024-08-01,0.95048
2024-08-02,0.94157
2024-08-05,0.93404
2024-08-06,0.93608
2024-08-07,0.9315
2024-08-08,0.93893
2024-08-09,0.94626
2024-08-12,0.94402
2024-08-13,0.94571
2024-08-14,0.95141
2024-08-15,0.95248
2024-08-16,0.95741
2024-08-19,0.95648
2024-08-20,0.95625
2024-08-21,0.94989
2024-08-22,0.94942
2024-08-23,0.94685
2024-08-26,0.94794
2024-08-27,0.94574
2024-08-28,0.94074
2024-08-29,0.93649
2024-08-30,0.93841
2024-09-02,0.93952
2024-09-03,0.94222
2024-09-04,0.93907
2024-09-05,0.93743
2024-09-06,0.93754
2024-09-09,0.93567
2024-09-10,0.9373
2024-09-11,0.93304
2024-09-12,0.9388
2024-09-13,0.94146
2024-09-16,0.94024
2024-09-17,0.94001
2024-09-18,0.94132
2024-09-19,0.94166
2024-09-20,0.9461
2024-09-23,0.94954
2024-09-24,0.94149
2024-09-25,0.94176
2024-09-26,0.94677
2024-09-27,0.9459
2024-09-30,0.93957
2024-10-01,0.94134
2024-10-02,0.93632
2024-10-03,0.93886
2024-10-04,0.94001
2024-10-07,0.94211
2024-10-08,0.93784
2024-10-09,0.9409
2024-10-10,0.9415
2024-10-11,0.93656
2024-10-14,0.93749
2024-10-15,0.94066
2024-10-16,0.93874
2024-10-17,0.93974
2024-10-18,0.93777
2024-10-21,0.94003
2024-10-22,0.93606
2024-10-23,0.93447
2024-10-24,0.9342
2024-10-25,0.93721
2024-10-28,0.93759
2024-10-29,0.93547
2024-10-30,0.93835
2024-10-31,0.94081
2024-11-01,0.93987
2024-11-04,0.94342
2024-11-05,0.9397
2024-11-06,0.94296
2024-11-07,0.93973
2024-11-08,0.94213
2024-11-11,0.93859
2024-11-12,0.93853
2024-11-13,0.9366
2024-11-14,0.93573
2024-11-15,0.9376
2024-11-18,0.93608
2024-11-19,0.93571
2024-11-20,0.9356
2024-11-21,0.9319
2024-11-22,0.92844
2024-11-25,0.93315
2024-11-26,0.92829
2024-11-27,0.92976
2024-11-28,0.93188
2024-11-29,0.93185
2024-12-02,0.93005
2024-12-03,0.93066
2024-12-04,0.93159
2024-12-05,0.92899
2024-12-06,0.92979
2024-12-09,0.9283
2024-12-10,0.9273
2024-12-11,0.92959
2024-12-12,0.92791
2024-12-13,0.93401
2024-12-16,0.9372
2024-12-17,0.94018
2024-12-18,0.93662
2024-12-19,0.93325
2024-12-20,0.93172
2024-12-23,0.93169
2024-12-24,0.93486
2024-12-25,0.9387
2024-12-26,0.93525
2024-12-27,0.93683
2024-12-30,0.94052
2024-12-31,0.9399
2025-01-02,0.93964
2025-01-03,0.93641
2025-01-06,0.93703
2025-01-07,0.93982
2025-01-08,0.94068
2025-01-09,0.93957
2025-01-10,0.93915
2025-01-13,0.93912
2025-01-14,0.93998
2025-01-15,0.94039
2025-01-16,0.939
2025-01-17,0.93866
2025-01-20,0.93996
2025-01-21,0.94414
2025-01-22,0.94344
2025-01-23,0.94329
2025-01-24,0.94518
2025-01-27,0.94922
2025-01-28,0.94422
2025-01-29,0.94288
2025-01-30,0.94477
2025-01-31,0.94561
2025-02-03,0.93778
2025-02-04,0.94139
2025-02-05,0.93894
2025-02-06,0.93742
2025-02-07,0.93993
2025-02-10,0.93908
2025-02-11,0.93873
2025-02-12,0.94623
2025-02-13,0.94912
2025-02-14,0.9449
2025-02-17,0.94383
2025-02-18,0.94437
2025-02-19,0.94406
2025-02-20,0.94253
2025-02-21,0.94299
2025-02-24,0.94106
2025-02-25,0.93869
2025-02-26,0.93885
2025-02-27,0.93801
2025-02-28,0.93542
2025-03-03,0.93986
2025-03-04,0.94021
2025-03-05,0.94513
2025-03-06,0.96143
2025-03-07,0.95282
2025-03-10,0.95282
2025-03-11,0.95378
2025-03-12,0.96414
2025-03-13,0.95985
2025-03-14,0.95806
2025-03-17,0.96195
2025-03-18,0.96218
2025-03-19,0.95898
2025-03-20,0.9564
2025-03-21,0.95693
2025-03-24,0.95667
2025-03-25,0.95359
2025-03-26,0.9521
2025-03-27,0.94972
2025-03-28,0.95211
2025-03-31,0.9534
2025-04-01,0.95611
2025-04-02,0.95394
2025-04-03,0.95609
2025-04-04,0.94883
2025-04-07,0.93535
2025-04-08,0.93835
2025-04-09,0.92855
2025-04-10,0.93679
2025-04-11,0.92399
2025-04-14,0.9279
2025-04-15,0.92525
2025-04-16,0.92685
2025-04-17,0.9274
2025-04-22,0.93137
2025-04-23,0.93768
2025-04-24,0.93992
2025-04-25,0.94235
2025-04-28,0.93971
2025-04-29,0.93685
2025-04-30,0.93776
2025-05-01,0.93531
2025-05-02,0.93643
2025-05-05,0.93309
2025-05-06,0.92988
2025-05-07,0.93644
2025-05-08,0.9315
2025-05-09,0.93357
2025-05-12,0.93625
2025-05-13,0.93739
2025-05-14,0.93898
