date,rate
2024-03-27,7.6979
2024-03-28,7.6853
2024-03-29,7.6558
2024-04-01,7.6579
2024-04-02,7.6579
2024-04-03,7.633
2024-04-04,7.6718
2024-04-05,7.6817
2024-04-08,7.6303
2024-04-09,7.6905
2024-04-10,7.6855
2024-04-11,7.6247
2024-04-12,7.6031
2024-04-15,7.5525
2024-04-16,7.5309
2024-04-17,7.5377
2024-04-18,7.5567
2024-04-19,7.5436
2024-04-22,7.5085
2024-04-23,7.5516
2024-04-24,7.5888
2024-04-25,7.5945
2024-04-26,7.5981
2024-04-29,7.5793
2024-04-30,7.586
2024-05-01,7.5557
2024-05-02,7.5568
2024-05-03,7.5682
2024-05-06,7.5423
2024-05-07,7.6136
2024-05-08,7.6303
2024-05-09,7.6042
2024-05-10,7.6204
2024-05-13,7.5908
2024-05-14,7.6457
2024-05-15,7.6626
2024-05-16,7.6878
2024-05-17,7.69
2024-05-20,7.6376
2024-05-21,7.6941
2024-05-22,7.6913
2024-05-23,7.6718
2024-05-24,7.6787
2024-05-27,7.6787
2024-05-28,7.6787
2024-05-29,7.6787
2024-05-30,7.6787
2024-05-31,7.6787
2024-06-03,7.6787
2024-06-04,7.6787
2024-06-05,7.6883
2024-06-06,7.712492
2024-06-07,7.725738
2024-06-10,7.676997
2024-06-11,7.640543
2024-06-12,7.626126
2024-06-13,7.827088
2024-06-14,7.787204
2024-06-17,7.602441
2024-06-18,7.788806
2024-06-19,7.789807
2024-06-20,7.798867
2024-06-21,7.771723
2024-06-24,7.758871
2024-06-25,7.789363
2024-06-26,7.776808
2024-06-27,7.757456
2024-06-28,7.781895
2024-07-01,7.800107
2024-07-02,7.802299
2024-07-03,7.81354
2024-07-04,7.843488
2024-07-05,7.854664
2024-07-08,7.868565
2024-07-09,7.871216
2024-07-10,7.865549
2024-07-11,7.880426
2024-07-12,7.88771
2024-07-15,7.891362
2024-07-16,7.911177
2024-07-17,7.782036
2024-07-18,7.941625
2024-07-19,7.913333
2024-07-22,7.922184
2024-07-23,7.919743
2024-07-24,7.892521
2024-07-25,7.870603
2024-07-26,7.845524
2024-07-29,7.868783
2024-07-30,7.853093
2024-07-31,7.842834
2024-08-01,7.811499
2024-08-02,7.81295
2024-08-05,7.808891
2024-08-06,7.796978
2024-08-07,7.818572
2024-08-08,7.846679
2024-08-09,7.830614
2024-08-12,7.820825
2024-08-13,7.845453
2024-08-14,7.865386
2024-08-15,7.86003
2024-08-16,7.87131
2024-08-19,7.897827
2024-08-20,7.91542
2024-08-21,7.936791
2024-08-22,7.956046
2024-08-23,7.94226
2024-08-26,7.970017
2024-08-27,7.947702
2024-08-28,7.961662
2024-08-29,7.925267
2024-08-30,7.861919
2024-09-02,7.833545
2024-09-03,7.876266
2024-09-04,7.867106
2024-09-05,7.879654
2024-09-06,7.879135
2024-09-09,7.858723
2024-09-10,7.850009
2024-09-11,7.847697
2024-09-12,7.839132
2024-09-13,7.883618
2024-09-16,7.864699
2024-09-17,7.893536
2024-09-18,7.888707
2024-09-19,7.869264
2024-09-20,7.886397
2024-09-23,7.868825
2024-09-24,7.835039
2024-09-25,7.867499
2024-09-26,7.828018
2024-09-27,7.833361
2024-09-30,7.830987
2024-10-01,7.814936
2024-10-02,7.778196
2024-10-03,7.774274
2024-10-04,7.77459
2024-10-07,7.698764
2024-10-08,7.703029
2024-10-09,7.74629
2024-10-10,7.746619
2024-10-11,7.741029
2024-10-14,7.716891
2024-10-15,7.731125
2024-10-16,7.747181
2024-10-17,7.729662
2024-10-18,7.714719
2024-10-21,7.717254
2024-10-22,7.698356
2024-10-23,7.689243
2024-10-24,7.680939
2024-10-25,7.704971
2024-10-28,7.687184
2024-10-29,7.709239
2024-10-30,7.715056
2024-10-31,7.72634
2024-11-01,7.74821
2024-11-04,7.744345
2024-11-05,7.718682
2024-11-06,7.765192
2024-11-07,7.700842
2024-11-08,7.709662
2024-11-11,7.691368
2024-11-12,7.689363
2024-11-13,7.677265
2024-11-14,7.629817
2024-11-15,7.611822
2024-11-18,7.61675
2024-11-19,7.665609
2024-11-20,7.677523
2024-11-21,7.639376
2024-11-22,7.573167
2024-11-25,7.589485
2024-11-26,7.567514
2024-11-27,7.607778
2024-11-28,7.654039
2024-11-29,7.649615
2024-12-02,7.633481
2024-12-03,7.6356
2024-12-04,7.656173
2024-12-05,7.634294
2024-12-06,7.684051
2024-12-09,7.680068
2024-12-10,7.661944
2024-12-11,7.633124
2024-12-12,7.628343
2024-12-13,7.612444
2024-12-16,7.645807
2024-12-17,7.658791
2024-12-18,7.644759
2024-12-19,7.54004
2024-12-20,7.561293
2024-12-23,7.611228
2024-12-24,7.592461
2024-12-25,7.587477
2024-12-26,7.588247
2024-12-27,7.605117
2024-12-30,7.610635
2024-12-31,7.594237
2025-01-02,7.553218
2025-01-03,7.494006
2025-01-06,7.542791
2025-01-07,7.6032
2025-01-08,7.579048
2025-01-09,7.56195
2025-01-10,7.549721
2025-01-13,7.510603
2025-01-14,7.524303
2025-01-15,7.555214
2025-01-16,7.546224
2025-01-17,7.552126
2025-01-20,7.526926
2025-01-21,7.62064
2025-01-22,7.566285
2025-01-23,7.568254
2025-01-24,7.588922
2025-01-27,7.581342
2025-01-28,7.5736
2025-01-29,7.561034
2025-01-30,7.473859
2025-01-31,7.464929
2025-02-03,7.363858
2025-02-04,7.430855
2025-02-05,7.449601
2025-02-06,7.561622
2025-02-07,7.568516
2025-02-10,7.514179
2025-02-11,7.524052
2025-02-12,7.573405
2025-02-13,7.5949
2025-02-14,7.625025
2025-02-17,7.607789
2025-02-18,7.604399
2025-02-19,7.60453
2025-02-20,7.589459
2025-02-21,7.618523
2025-02-24,7.59381
2025-02-25,7.581489
2025-02-26,7.624638
2025-02-27,7.614408
2025-02-28,7.574258
2025-03-03,7.584077
2025-03-04,7.636815
2025-03-05,7.718402
2025-03-06,7.826599
2025-03-07,7.821027
2025-03-10,7.855871
2025-03-11,7.867792
2025-03-12,7.922749
2025-03-13,7.877673
2025-03-14,7.855526
2025-03-17,7.875016
2025-03-18,7.897685
2025-03-19,7.906336
2025-03-20,7.888836
2025-03-21,7.868826
2025-03-24,7.854515
2025-03-25,7.835448
2025-03-26,7.827822
2025-03-27,7.794779
2025-03-28,7.846407
2025-03-31,7.861237
2025-04-01,7.85047
2025-04-02,7.848402
2025-04-03,7.925602
2025-04-04,8.04066
2025-04-07,7.99844
2025-04-08,7.976751
2025-04-09,8.05908
2025-04-10,8.048797
2025-04-11,8.233612
2025-04-14,8.270308
2025-04-15,8.065111
2025-04-16,8.257602
2025-04-17,8.333694
2025-04-22,8.394524
2025-04-23,8.298914
2025-04-24,8.254875
2025-04-25,8.285147
2025-04-28,8.264785
2025-04-29,8.321259
2025-04-30,8.278478
2025-05-01,8.233322
2025-05-02,8.212491
2025-05-05,8.231971
2025-05-06,8.224447
2025-05-07,8.184948
2025-05-08,8.167806
2025-05-09,8.108636
2025-05-12,8.128254
2025-05-13,7.990591
2025-05-14,8.059842
2025-05-15,8.058445
2025-05-16,8.065969
2025-05-19,8.064209
2025-05-20,8.09768
2025-05-21,8.149227
2025-05-22,8.160516
2025-05-23,8.127285
2025-05-26,8.193192
2025-05-27,8.203455
2025-05-28,8.166349
2025-05-29,8.092726
2025-05-30,8.195988
2025-06-02,8.174272
2025-06-03,8.174272
2025-06-04,8.174272
2025-06-05,8.174272
2025-06-06,8.217656
2025-06-09,8.20036
2025-06-10,8.205005
2025-06-11,8.212043
2025-06-12,8.27791
2025-06-13,8.343444
2025-06-16,8.297897
2025-06-17,8.292136
2025-06-18,8.249086
2025-06-19,8.250518
2025-06-20,8.273624
2025-06-23,8.26663
2025-06-24,8.326471
2025-06-25,8.327295
2025-06-26,8.385212
2025-06-27,8.378435
2025-06-30,8.410603
2025-07-01,8.443161
2025-07-02,8.458378
2025-07-03,8.454808
2025-07-04,8.433461
2025-07-07,8.440565
2025-07-08,8.42041
2025-07-09,8.409885
2025-07-10,8.422584
2025-07-11,8.395016
2025-07-14,8.373264
2025-07-15,8.361138
2025-07-16,8.326059
2025-07-17,8.351657
2025-07-18,8.343342
2025-07-21,8.347813
2025-07-22,8.391024
2025-07-23,8.421479
2025-07-24,8.42899
2025-07-25,8.409254
2025-07-28,8.408957
2025-07-29,8.323535
2025-07-30,8.288942
2025-07-31,8.201975
2025-08-01,8.224805
2025-08-04,8.355366
2025-08-05,8.314607
2025-08-06,8.318838
2025-08-07,8.377225
2025-08-08,8.384905
2025-08-11,8.364102
2025-08-12,8.350314
2025-08-13,8.382279
2025-08-14,8.402837
2025-08-15,8.364596
2025-08-18,8.407024
2025-08-19,8.382795
2025-08-20,8.36145
2025-08-21,8.360461
2025-08-22,8.337765
2025-08-25,8.392857
2025-08-26,8.305266
2025-08-27,8.324894
2025-08-28,8.331295
2025-08-29,8.355332
2025-09-01,8.33536
2025-09-02,8.353719
2025-09-03,8.305219
2025-09-04,8.326513
2025-09-05,8.324377
2025-09-08,8.353928
2025-09-09,8.390422
2025-09-10,8.332924
2025-09-11,8.333226
2025-09-12,8.353312
2025-09-15,8.353746
2025-09-16,8.373819
2025-09-17,8.444655
2025-09-18,8.400109
2025-09-19,8.385876
2025-09-22,8.348572
2025-09-23,8.394596
2025-09-24,8.401529
2025-09-25,8.376204
2025-09-26,8.319979
2025-09-29,8.349292
2025-09-30,8.351888
2025-10-01,8.354065
2025-10-02,8.353281
2025-10-03,8.34711
2025-10-06,8.337579
2025-10-07,8.336163
2025-10-08,8.296333
2025-10-09,8.278384
2025-10-10,8.243792
2025-10-13,8.237137
2025-10-14,8.212365
2025-10-15,8.283128
2025-10-16,8.299114
2025-10-17,8.33348
2025-10-20,8.307086
2025-10-21,8.289477
2025-10-22,8.261278
2025-10-23,8.271559
2025-10-24,8.27819
2025-10-27,8.282371
2025-10-28,8.284243
2025-10-29,8.275203
2025-10-30,8.236932
2025-10-31,8.227507
2025-11-03,8.204108
2025-11-04,8.261015
2025-11-05,8.188427
2025-11-06,8.192688
2025-11-07,8.221042
2025-11-10,8.217246
2025-11-11,8.227551
2025-11-12,8.249001
2025-11-13,8.243885
2025-11-14,8.270825
2025-11-17,8.245488
2025-11-18,8.237714
2025-11-19,8.230846
2025-11-20,8.201214
2025-11-21,8.197809
2025-11-24,8.177576
2025-11-25,8.181598
2025-11-26,8.19311
2025-11-27,8.209251
2025-11-28,8.208585
2025-12-01,8.208249
2025-12-02,8.208304
2025-12-03,8.220548
2025-12-04,8.24224
2025-12-05,8.232897
2025-12-08,8.229269
2025-12-09,8.230898
2025-12-10,8.21314
2025-12-11,8.265227
2025-12-12,8.285282
2025-12-15,8.279343
2025-12-16,8.283182
2025-12-17,8.273451
2025-12-18,8.270315
2025-12-19,8.255117
2025-12-22,8.242587
2025-12-23,8.283753
2025-12-24,8.2893
2025-12-26,8.281681
2025-12-29,8.273102
2025-12-30,8.247073
2025-12-31,8.219102
2026-01-02,8.22031
2026-01-05,8.185
2026-01-06,8.187463
2026-01-07,8.161896
2026-01-08,8.169568
2026-01-09,8.14108
2026-01-12,8.109817
2026-01-13,8.13531
2026-01-14,8.12329
2026-01-15,8.120604
2026-01-16,8.086554
2026-01-19,8.099287
2026-01-20,8.11008
2026-01-21,8.162334
2026-01-22,8.128896
2026-01-23,8.195683
2026-01-26,8.266664
2026-01-27,8.258066
2026-01-28,8.357016
2026-01-29,8.32974
2026-01-30,8.313491
2026-02-02,8.234855
2026-02-03,8.195741
2026-02-04,8.1972
2026-02-05,8.187043
2026-02-06,8.171202
2026-02-09,8.205965
2026-02-10,8.238515
2026-02-11,8.215804
2026-02-12,8.208645
2026-02-13,8.189349
2026-02-16,8.19785
2026-02-17,8.18561
2026-02-18,8.186823
2026-02-19,8.143346
2026-02-20,8.130046
2026-02-23,8.17539
2026-02-24,8.146947
2026-02-25,8.104582
2026-02-26,8.11588
2026-02-27,8.073859
2026-03-02,8.064418
2026-03-03,8.04884
2026-03-04,8.012007
2026-03-05,8.024993
2026-03-06,8.006269
2026-03-09,7.947153
2026-03-10,8.028112
2026-03-11,7.983954
2026-03-12,7.924626
2026-03-13,7.913935
2026-03-16,7.885538
2026-03-17,7.998505
2026-03-18,7.945975
2026-03-19,7.87817
2026-03-20,7.989579
2026-03-23,7.959887
2026-03-24,7.985051
2026-03-25,8.004878
2026-03-26,7.978957
2026-03-27,7.971095
2026-03-30,7.942268
2026-03-31,7.918882
2026-04-01,7.979398
2026-04-02,7.962843
2026-04-03,7.946791
2026-04-06,7.921458
2026-04-07,7.94356
2026-04-08,8.013253
2026-04-09,7.961642
2026-04-10,7.986579
2026-04-13,7.971187
2026-04-14,8.036971
2026-04-15,8.041555
2026-04-16,8.050537
2026-04-17,8.035979
2026-04-20,8.003992
2026-04-21,8.033703
2026-04-22,8.010429
2026-04-23,7.988247
2026-04-24,8.0098
