date,rate
2024-03-27,90.101997
2024-03-28,90.065002
2024-03-29,89.863998
2024-04-01,89.867996
2024-04-02,88.919601
2024-04-03,89.662003
2024-04-04,90.117996
2024-04-05,90.331001
2024-04-08,89.237602
2024-04-09,90.366997
2024-04-10,90.268997
2024-04-11,89.528999
2024-04-12,89.306999
2024-04-15,88.889
2024-04-16,88.643997
2024-04-17,88.778999
2024-04-18,89.107002
2024-04-19,88.862
2024-04-22,87.879402
2024-04-23,88.745003
2024-04-24,89.050003
2024-04-25,89.089996
2024-04-26,89.285004
2024-04-29,89.096001
2024-04-30,89.344002
2024-05-01,88.983002
2024-05-02,88.977997
2024-05-03,89.353996
2024-05-06,88.654999
2024-05-07,89.789001
2024-05-08,89.649002
2024-05-09,89.622002
2024-05-10,89.913002
2024-05-13,89.0047
2024-05-14,90.053001
2024-05-15,90.257004
2024-05-16,90.725998
2024-05-17,90.627998
2024-05-20,89.310799
2024-05-21,90.393997
2024-05-22,90.355003
2024-05-23,90.052002
2024-05-24,89.992996
2024-05-27,89.104797
2024-05-28,90.210999
2024-05-29,90.158997
2024-05-30,90.015999
2024-05-31,90.156998
2024-06-03,90.428001
2024-06-04,90.533997
2024-06-05,90.924004
2024-06-06,90.466003
2024-06-07,90.836998
2024-06-10,89.8442
2024-06-11,89.871002
2024-06-12,89.717003
2024-06-13,90.245003
2024-06-14,89.609001
2024-06-17,88.372299
2024-06-18,89.629997
2024-06-19,89.454002
2024-06-20,89.611
2024-06-21,89.397003
2024-06-24,88.191498
2024-06-25,89.517998
2024-06-26,89.248001
2024-06-27,89.18
2024-06-28,89.292999
2024-07-01,89.228996
2024-07-02,89.510002
2024-07-03,89.648003
2024-07-04,90.016998
2024-07-05,90.183998
2024-07-08,89.408997
2024-07-09,90.301003
2024-07-10,90.220001
2024-07-11,90.371002
2024-07-12,90.742996
2024-07-15,89.961197
2024-07-16,91.002998
2024-07-17,90.999001
2024-07-18,91.350998
2024-07-19,91.117996
2024-07-22,90.058403
2024-07-23,91.052002
2024-07-24,90.737999
2024-07-25,90.683998
2024-07-26,90.774002
2024-07-29,89.890602
2024-07-30,90.536003
2024-07-31,90.573997
2024-08-01,90.487999
2024-08-02,90.277
2024-08-05,91.335999
2024-08-06,91.902
2024-08-07,91.626999
2024-08-08,91.625
2024-08-09,91.606003
2024-08-12,91.557999
2024-08-13,91.674004
2024-08-14,92.158997
2024-08-15,92.397003
2024-08-16,92.095001
2024-08-19,92.404999
2024-08-20,92.980003
2024-08-21,93.208
2024-08-22,93.481003
2024-08-23,93.237999
2024-08-26,92.280098
2024-08-27,93.572998
2024-08-28,93.722
2024-08-29,93.299004
2024-08-30,92.877998
2024-09-02,92.587997
2024-09-03,92.801003
2024-09-04,92.678001
2024-09-05,92.972
2024-09-06,93.239998
2024-09-09,93.021004
2024-09-10,92.574997
2024-09-11,92.467003
2024-09-12,92.403
2024-09-13,92.924004
2024-09-16,92.044998
2024-09-17,93.264
2024-09-18,93.103996
2024-09-19,92.928001
2024-09-20,93.208
2024-09-23,93.110001
2024-09-24,92.753998
2024-09-25,93.438004
2024-09-26,93.000999
2024-09-27,93.367996
2024-09-30,93.369003
2024-10-01,93.234001
2024-10-02,92.713997
2024-10-03,92.617996
2024-10-04,92.634003
2024-10-07,92.142998
2024-10-08,92.055
2024-10-09,92.032997
2024-10-10,91.744003
2024-10-11,91.692001
2024-10-14,91.900002
2024-10-15,91.601997
2024-10-16,91.419998
2024-10-17,91.139999
2024-10-18,90.956001
2024-10-21,90.169998
2024-10-22,90.842003
2024-10-23,90.713997
2024-10-24,90.486
2024-10-25,90.919998
2024-10-28,90.004303
2024-10-29,90.888
2024-10-30,90.901001
2024-10-31,91.223
2024-11-01,93.754997
2024-11-04,90.405998
2024-11-05,91.412003
2024-11-06,91.890999
2024-11-07,90.327003
2024-11-08,90.922997
2024-11-11,90.379997
2024-11-12,89.877998
2024-11-13,89.529999
2024-11-14,89.101997
2024-11-15,89.199997
2024-11-18,88.882004
2024-11-19,89.350998
2024-11-20,89.470001
2024-11-21,88.903
2024-11-22,88.389999
2024-11-25,87.891998
2024-11-26,87.927002
2024-11-27,88.398003
2024-11-28,89.088997
2024-11-29,89.135002
2024-12-02,89.366997
2024-12-03,88.902
2024-12-04,88.924004
