date,rate
2024-03-27,164.039993
2024-03-28,163.529007
2024-03-29,163.410004
2024-04-01,163.393997
2024-04-02,162.751007
2024-04-03,163.179001
2024-04-04,164.276993
2024-04-05,163.945007
2024-04-08,164.283005
2024-04-09,164.921997
2024-04-10,164.802002
2024-04-11,164.292007
2024-04-12,164.317001
2024-04-15,163.210007
2024-04-16,163.830002
2024-04-17,164.296005
2024-04-18,164.662003
2024-04-19,164.559006
2024-04-22,164.809998
2024-04-23,164.925003
2024-04-24,165.613007
2024-04-25,166.115997
2024-04-26,166.908005
2024-04-29,169.399994
2024-04-30,167.395996
2024-05-01,168.214996
2024-05-02,166.880005
2024-05-03,164.216003
2024-05-06,165.201004
2024-05-07,166.078003
2024-05-08,166.356995
2024-05-09,166.998993
2024-05-10,167.533997
2024-05-13,167.817001
2024-05-14,168.589996
2024-05-15,169.240997
2024-05-16,168.001999
2024-05-17,168.854004
2024-05-20,169.345001
2024-05-21,169.822006
2024-05-22,169.606995
2024-05-23,169.632004
2024-05-24,169.714005
2024-05-27,170.160995
2024-05-28,170.347
2024-05-29,170.654007
2024-05-30,170.216003
2024-05-31,169.996002
2024-06-03,170.580002
2024-06-04,170.227997
2024-06-05,168.796005
2024-06-06,169.556
2024-06-07,169.574997
2024-06-10,169.039993
2024-06-11,169.020004
2024-06-12,168.720993
2024-06-13,169.520004
2024-06-14,168.725998
2024-06-17,168.604004
2024-06-18,169.369003
2024-06-19,169.494003
2024-06-20,169.763
2024-06-21,170.151001
2024-06-24,170.850006
2024-06-25,171.375
2024-06-26,171.009995
2024-06-27,171.535004
2024-06-28,172.065002
2024-07-01,172.729996
2024-07-02,173.399002
2024-07-03,173.585007
2024-07-04,174.393997
2024-07-05,174.429001
2024-07-08,173.903
2024-07-09,174.212997
2024-07-10,174.440002
2024-07-11,175.070999
2024-07-12,172.007004
2024-07-15,172.326996
2024-07-16,172.335999
2024-07-17,172.617996
2024-07-18,170.296005
2024-07-19,171.317001
2024-07-22,171.300003
2024-07-23,170.843002
2024-07-24,168.988007
2024-07-25,166.794006
2024-07-26,166.761002
2024-07-29,167.289001
2024-07-30,166.410004
2024-07-31,165.112
2024-08-01,162.072998
2024-08-02,160.945999
2024-08-05,159.850006
2024-08-06,157.889999
2024-08-07,158.132996
2024-08-08,159.695999
2024-08-09,161.190994
2024-08-12,160.472
2024-08-13,160.714996
2024-08-14,161.613007
2024-08-15,162.141998
2024-08-16,163.725998
2024-08-19,163.117004
2024-08-20,162.619995
2024-08-21,161.733002
2024-08-22,161.880005
2024-08-23,162.524002
2024-08-26,161.098007
2024-08-27,161.320007
2024-08-28,160.929001
2024-08-29,160.660995
2024-08-30,160.537003
2024-09-02,161.671997
2024-09-03,162.373993
2024-09-04,160.572998
2024-09-05,158.783005
2024-09-06,159.320007
2024-09-09,157.973007
2024-09-10,157.981003
2024-09-11,156.733002
2024-09-12,157.013
2024-09-13,156.75
2024-09-16,156.115005
2024-09-17,156.686996
2024-09-18,157.962006
2024-09-19,158.584
2024-09-20,159.414001
2024-09-23,160.710999
2024-09-24,159.589005
2024-09-25,159.987
2024-09-26,161.039993
2024-09-27,162.126007
2024-09-30,159.479996
2024-10-01,160.031998
2024-10-02,159.024002
2024-10-03,161.917999
2024-10-04,162.041
2024-10-07,163.281006
2024-10-08,162.574005
2024-10-09,162.606995
2024-10-10,163.201004
2024-10-11,162.582001
2024-10-14,163.119995
2024-10-15,163.272995
2024-10-16,162.285004
2024-10-17,162.421005
2024-10-18,162.544998
2024-10-21,162.585007
2024-10-22,162.860001
2024-10-23,163.179993
2024-10-24,164.686005
2024-10-25,164.289001
2024-10-28,165.123993
2024-10-29,165.684006
2024-10-30,165.848007
2024-10-31,166.373001
2024-11-01,165.410995
2024-11-04,165.593994
2024-11-05,165.574997
2024-11-06,165.578003
2024-11-07,165.608994
2024-11-08,165.352005
2024-11-11,163.828003
2024-11-12,163.615997
2024-11-13,164.192993
2024-11-14,164.190994
2024-11-15,164.759995
2024-11-18,162.914001
2024-11-19,163.807999
2024-11-20,164.108002
2024-11-21,163.759995
2024-11-22,161.442001
2024-11-25,161.533005
2024-11-26,161.220001
2024-11-27,160.505997
2024-11-28,159.852997
2024-11-29,159.654007
2024-12-02,158.050995
2024-12-03,156.987
2024-12-04,157.274994
2024-12-05,158.278
2024-12-06,158.98848
2024-12-09,158.550003
2024-12-10,159.800003
2024-12-11,159.871994
2024-12-12,159.919998
2024-12-13,159.813995
2024-12-16,161.270004
2024-12-17,162.048004
2024-12-18,161.166
2024-12-19,160.074997
2024-12-20,163.391998
2024-12-23,163.304001
2024-12-24,163.436005
2024-12-25,163.369995
2024-12-26,163.408005
2024-12-27,164.455002
2024-12-30,164.673996
2024-12-31,163.386002
2025-01-02,163.255997
2025-01-03,161.559998
2025-01-06,162.281998
2025-01-07,163.792007
2025-01-08,163.669006
2025-01-09,163.162003
2025-01-10,162.748001
2025-01-13,161.737
2025-01-14,161.529007
2025-01-15,162.882996
2025-01-16,160.858994
2025-01-17,160.035004
2025-01-20,160.639008
2025-01-21,161.770996
2025-01-22,162.087997
2025-01-23,162.820999
2025-01-24,162.632004
2025-01-27,163.018005
2025-01-28,161.789001
2025-01-29,162.229248
2025-01-30,161.759003
2025-01-31,160.207001
2025-02-03,159.197006
2025-02-04,160.350998
2025-02-05,159.863007
2025-02-06,158.712997
2025-02-07,157.016998
2025-02-10,156.569
2025-02-11,156.326996
2025-02-12,158.298004
2025-02-13,160.287994
2025-02-14,160.037994
2025-02-17,159.453995
2025-02-18,158.779007
2025-02-19,158.735992
2025-02-20,157.580994
2025-02-21,156.878998
2025-02-24,156.468994
2025-02-25,156.764008
2025-02-26,156.839996
2025-02-27,156.104004
2025-02-28,155.927994
2025-03-03,156.996994
2025-03-04,156.533997
2025-03-05,159.141006
2025-03-06,160.720993
2025-03-07,159.759003
2025-03-10,160.302994
2025-03-11,159.399994
2025-03-12,161.563995
2025-03-13,161.406998
2025-03-14,160.598007
2025-03-17,161.679993
2025-03-18,163.095001
2025-03-19,163.475998
2025-03-20,162.0
2025-03-21,161.322998
2025-03-24,162.175003
2025-03-25,162.884003
2025-03-26,161.746002
2025-03-27,161.619995
2025-03-28,162.910004
2025-03-31,161.938004
2025-04-01,162.177002
2025-04-02,161.690994
2025-04-03,161.242004
2025-04-04,161.481003
2025-04-07,159.729996
2025-04-08,161.311005
2025-04-09,160.139999
2025-04-10,161.412994
2025-04-11,161.822998
2025-04-14,162.977997
2025-04-15,162.401993
2025-04-16,161.630005
2025-04-17,161.712997
2025-04-22,162.164001
2025-04-23,161.964996
2025-04-24,162.216995
2025-04-25,162.462997
2025-04-28,163.153
2025-04-29,162.203659
2025-04-30,162.057007
2025-05-01,161.940994
2025-05-02,164.296997
2025-05-05,163.746994
2025-05-06,162.5
2025-05-07,162.225998
2025-05-08,162.617004
2025-05-09,163.876999
2025-05-12,163.748993
2025-05-13,164.546997
2025-05-14,165.011002
2025-05-15,163.973999
2025-05-16,162.966003
2025-05-19,162.542007
2025-05-20,162.839996
2025-05-21,162.910995
2025-05-22,162.876007
2025-05-23,162.287003
2025-05-26,162.462997
2025-05-27,162.449997
2025-05-28,163.445007
2025-05-29,163.662003
2025-05-30,163.578003
2025-06-02,163.246994
2025-06-03,163.137878
2025-06-04,163.740005
2025-06-05,163.020004
2025-06-06,164.397003
2025-06-09,165.044006
2025-06-10,165.166
2025-06-11,165.632996
2025-06-12,165.947998
2025-06-13,166.082993
2025-06-16,166.46637
2025-06-17,167.160004
2025-06-18,166.910995
2025-06-19,166.359665
2025-06-20,167.153
2025-06-23,168.154007
2025-06-24,169.248001
2025-06-25,168.298004
2025-06-26,169.289993
2025-06-27,169.156998
2025-06-30,169.453995
2025-07-01,169.460007
2025-07-02,169.294998
2025-07-03,169.362
2025-07-04,170.302994
2025-07-07,170.218994
2025-07-08,171.214996
2025-07-09,172.160995
2025-07-10,171.401001
2025-07-11,171.167007
2025-07-14,172.059998
2025-07-15,172.410004
2025-07-16,172.662003
2025-07-17,172.205002
2025-07-18,172.412994
2025-07-21,172.628006
2025-07-22,172.382004
2025-07-23,172.304993
2025-07-24,172.302994
2025-07-25,172.807999
2025-07-28,173.766998
2025-07-29,172.175995
2025-07-30,171.451004
2025-07-31,170.539993
2025-08-01,172.223007
2025-08-04,170.705002
2025-08-05,170.035004
2025-08-06,170.848999
2025-08-07,171.654999
2025-08-08,171.449005
2025-08-11,171.990997
2025-08-12,172.078995
2025-08-13,172.533005
2025-08-14,172.313995
2025-08-15,172.069855
2025-08-18,172.388
2025-08-19,172.584
2025-08-20,171.992996
2025-08-21,171.649002
2025-08-22,172.315002
2025-08-25,172.371994
2025-08-26,171.679001
2025-08-27,171.617996
2025-08-28,171.585999
2025-08-29,171.472
2025-09-01,171.959
2025-09-02,172.317993
2025-09-03,172.817001
2025-09-04,172.546997
2025-09-05,172.953995
2025-09-08,173.755997
2025-09-09,173.429993
2025-09-10,172.481003
2025-09-11,172.438004
2025-09-12,172.763
2025-09-15,173.145004
2025-09-16,173.395996
2025-09-17,173.800003
2025-09-18,173.707993
2025-09-19,174.432007
2025-09-22,173.811996
2025-09-23,174.328995
2025-09-24,174.382004
2025-09-25,174.695999
2025-09-26,174.772995
2025-09-29,174.882004
2025-09-30,174.317993
2025-10-01,173.673004
2025-10-02,172.576996
2025-10-03,172.529007
2025-10-06,175.212006
2025-10-07,176.035995
2025-10-08,177.197006
2025-10-09,177.554001
2025-10-10,176.936005
2025-10-13,176.414001
2025-10-14,176.311005
2025-10-15,176.042007
2025-10-16,175.819
2025-10-17,175.630005
2025-10-20,175.904007
2025-10-21,175.556
2025-10-22,176.195007
2025-10-23,176.391006
2025-10-24,177.291
2025-10-27,178.028
2025-10-28,177.901993
2025-10-29,176.867004
2025-10-30,177.199997
2025-10-31,178.098999
2025-11-03,177.744995
2025-11-04,177.619995
2025-11-05,176.358002
2025-11-06,177.128006
2025-11-07,176.636002
2025-11-10,177.563004
2025-11-11,178.143997
2025-11-12,178.526993
2025-11-13,179.337997
2025-11-14,179.832001
2025-11-17,179.548996
2025-11-18,179.964996
2025-11-19,180.132996
2025-11-20,181.160004
2025-11-21,181.524994
2025-11-24,180.307007
2025-11-25,180.783997
2025-11-26,180.664001
2025-11-27,181.268005
2025-11-28,181.281998
2025-12-01,180.889008
2025-12-02,180.559998
2025-12-03,181.167007
2025-12-04,180.957993
2025-12-05,180.619995
2025-12-08,180.813995
2025-12-09,181.389999
2025-12-10,182.367004
2025-12-11,182.285004
2025-12-12,182.623993
2025-12-15,182.960999
2025-12-16,182.210999
2025-12-17,181.848999
2025-12-18,182.572998
2025-12-19,182.425003
2025-12-22,184.584
2025-12-23,184.522003
2025-12-24,184.136993
