date,rate
2024-03-27,11.64816
2024-03-28,11.67788
2024-03-29,11.6943
2024-04-01,11.7058
2024-04-02,11.77292
2024-04-03,11.6684
2024-04-04,11.61549
2024-04-05,11.629
2024-04-08,11.6447
2024-04-09,11.59555
2024-04-10,11.58828
2024-04-11,11.6397
2024-04-12,11.60787
2024-04-15,11.5706
2024-04-16,11.61861
2024-04-17,11.66005
2024-04-18,11.7407
2024-04-19,11.76426
2024-04-22,11.73829
2024-04-23,11.7013
2024-04-24,11.6724
2024-04-25,11.7603
2024-04-26,11.7595
2024-04-29,11.7919
2024-04-30,11.77938
2024-05-01,11.85593
2024-05-02,11.80847
2024-05-03,11.78332
2024-05-06,11.68655
2024-05-07,11.66243
2024-05-08,11.7404
2024-05-09,11.71664
2024-05-10,11.69311
2024-05-13,11.6855
2024-05-14,11.6662
2024-05-15,11.6875
2024-05-16,11.5986
2024-05-17,11.62189
2024-05-20,11.59844
2024-05-21,11.6163
2024-05-22,11.57789
2024-05-23,11.58794
2024-05-24,11.53672
2024-05-27,11.4651
2024-05-28,11.38575
2024-05-29,11.41529
2024-05-30,11.43843
2024-05-31,11.4282
2024-06-03,11.38735
2024-06-04,11.39547
2024-06-05,11.4879
2024-06-06,11.49159
2024-06-07,11.49027
2024-06-10,11.55032
2024-06-11,11.4582
2024-06-12,11.4827
2024-06-13,11.439
2024-06-14,11.4384
2024-06-17,11.42522
2024-06-18,11.43684
2024-06-19,11.3595
2024-06-20,11.35453
2024-06-21,11.2859
2024-06-24,11.30729
2024-06-25,11.30873
2024-06-26,11.3672
2024-06-27,11.41244
2024-06-28,11.4108
2024-07-01,11.4463
2024-07-02,11.44721
2024-07-03,11.4651
2024-07-04,11.38435
2024-07-05,11.42377
2024-07-08,11.43695
2024-07-09,11.48333
2024-07-10,11.46743
2024-07-11,11.60459
2024-07-12,11.6494
2024-07-15,11.6906
2024-07-16,11.7744
2024-07-17,11.7467
2024-07-18,11.7285
2024-07-19,11.78575
2024-07-22,11.85703
2024-07-23,11.93421
2024-07-24,11.95671
2024-07-25,11.9517
2024-07-26,11.96555
2024-07-29,11.9467
2024-07-30,11.90692
2024-07-31,11.84147
2024-08-01,11.8046
2024-08-02,11.81732
2024-08-05,11.95783
2024-08-06,12.04463
2024-08-07,11.9367
2024-08-08,11.82508
2024-08-09,11.833
2024-08-12,11.80001
2024-08-13,11.81759
2024-08-14,11.8015
2024-08-15,11.80315
2024-08-16,11.78975
2024-08-19,11.77552
2024-08-20,11.6916
2024-08-21,11.67851
2024-08-22,11.71384
2024-08-23,11.76988
2024-08-26,11.70905
2024-08-27,11.76711
2024-08-28,11.69249
2024-08-29,11.6894
2024-08-30,11.6363
2024-09-02,11.71385
2024-09-03,11.72117
2024-09-04,11.8026
2024-09-05,11.79019
2024-09-06,11.80859
2024-09-09,11.87224
2024-09-10,11.9604
2024-09-11,11.93574
2024-09-12,11.9538
2024-09-13,11.8651
2024-09-16,11.7754
2024-09-17,11.78657
2024-09-18,11.78377
2024-09-19,11.76802
2024-09-20,11.71937
2024-09-23,11.69099
2024-09-24,11.64819
2024-09-25,11.6285
2024-09-26,11.77018
2024-09-27,11.7697
2024-09-30,11.71044
2024-10-01,11.74244
2024-10-02,11.7363
2024-10-03,11.67862
2024-10-04,11.69567
2024-10-07,11.70696
2024-10-08,11.67828
2024-10-09,11.7517
2024-10-10,11.78884
2024-10-11,11.73556
2024-10-14,11.723
2024-10-15,11.7845
2024-10-16,11.78351
2024-10-17,11.85699
2024-10-18,11.82153
2024-10-21,11.86615
2024-10-22,11.8416
2024-10-23,11.7929
2024-10-24,11.8426
2024-10-25,11.8382
2024-10-28,11.86043
2024-10-29,11.87088
2024-10-30,11.8541
2024-10-31,11.90192
2024-11-01,11.96502
2024-11-04,11.978
2024-11-05,11.96582
2024-11-06,11.96211
2024-11-07,11.8874
2024-11-08,11.736
2024-11-11,11.78004
2024-11-12,11.75109
2024-11-13,11.7632
2024-11-14,11.76169
2024-11-15,11.7408
2024-11-18,11.68924
2024-11-19,11.6558
2024-11-20,11.62096
2024-11-21,11.6659
2024-11-22,11.59218
2024-11-25,11.54206
2024-11-26,11.60587
2024-11-27,11.68915
2024-11-28,11.68999
2024-11-29,11.65049
2024-12-02,11.65808
2024-12-03,11.64707
2024-12-04,11.61853
2024-12-05,11.61928
2024-12-06,11.681
2024-12-09,11.78226
2024-12-10,11.7319
2024-12-11,11.7379
2024-12-12,11.69988
2024-12-13,11.7002
2024-12-16,11.70179
2024-12-17,11.71374
2024-12-18,11.74476
2024-12-19,11.7866
2024-12-20,11.85119
2024-12-23,11.80552
2024-12-24,11.81031
2024-12-25,11.20162
2024-12-26,11.77991
2024-12-27,11.87089
2024-12-30,11.83283
2024-12-31,11.78811
2025-01-02,11.78695
2025-01-03,11.68629
2025-01-06,11.69968
2025-01-07,11.7324
2025-01-08,11.7172
2025-01-09,11.76664
2025-01-10,11.74011
2025-01-13,11.7287
2025-01-14,11.69686
2025-01-15,11.72333
2025-01-16,11.6508
2025-01-17,11.69846
2025-01-20,11.73895
2025-01-21,11.7686
2025-01-22,11.77377
2025-01-23,11.73909
2025-01-24,11.74247
2025-01-27,11.7415
2025-01-28,11.78259
2025-01-29,11.76753
2025-01-30,11.76639
2025-01-31,11.76669
2025-02-03,11.73647
2025-02-04,11.71761
2025-02-05,11.6678
2025-02-06,11.67275
2025-02-07,11.64043
2025-02-10,11.61533
2025-02-11,11.5611
2025-02-12,11.60578
2025-02-13,11.69813
2025-02-14,11.6631
2025-02-17,11.66124
2025-02-18,11.64419
