date,rate
2024-03-27,4.30682
2024-03-28,4.31194
2024-03-29,4.3025
2024-04-01,4.29825
2024-04-02,4.2906
2024-04-03,4.29025
2024-04-04,4.29222
2024-04-05,4.28915
2024-04-08,4.278
2024-04-09,4.25871
2024-04-10,4.26575
2024-04-11,4.2618
2024-04-12,4.26148
2024-04-15,4.2803
2024-04-16,4.3007
2024-04-17,4.36602
2024-04-18,4.33704
2024-04-19,4.33683
2024-04-22,4.3046
2024-04-23,4.3123
2024-04-24,4.3048
2024-04-25,4.331
2024-04-26,4.3116
2024-04-29,4.31894
2024-04-30,4.31315
2024-05-01,4.33023
2024-05-02,4.32501
2024-05-03,4.3279
2024-05-06,4.3173
2024-05-07,4.30474
2024-05-08,4.31098
2024-05-09,4.29925
2024-05-10,4.2819
2024-05-13,4.29976
2024-05-14,4.28394
2024-05-15,4.26629
2024-05-16,4.25984
2024-05-17,4.25822
2024-05-20,4.2559
2024-05-21,4.2492
2024-05-22,4.25062
2024-05-23,4.2627
2024-05-24,4.2617
2024-05-27,4.2534
2024-05-28,4.25918
2024-05-29,4.2479
2024-05-30,4.27958
2024-05-31,4.27845
2024-06-03,4.2709
2024-06-04,4.2693
2024-06-05,4.3059
2024-06-06,4.2868
2024-06-07,4.28184
2024-06-10,4.3053
2024-06-11,4.32414
2024-06-12,4.33848
2024-06-13,4.33126
2024-06-14,4.3465
2024-06-17,4.37751
2024-06-18,4.3426
2024-06-19,4.3343
2024-06-20,4.3211
2024-06-21,4.32569
2024-06-24,4.32564
2024-06-25,4.29013
2024-06-26,4.29775
2024-06-27,4.3118
2024-06-28,4.3078
2024-07-01,4.3121
2024-07-02,4.31541
2024-07-03,4.30879
2024-07-04,4.2961
2024-07-05,4.2788
2024-07-08,4.2832
2024-07-09,4.26729
2024-07-10,4.25525
2024-07-11,4.2574
2024-07-12,4.25946
2024-07-15,4.25301
2024-07-16,4.2528
2024-07-17,4.28033
2024-07-18,4.2875
2024-07-19,4.28984
2024-07-22,4.28716
2024-07-23,4.2749
2024-07-24,4.27614
2024-07-25,4.29519
2024-07-26,4.2841
2024-07-29,4.2698
2024-07-30,4.29307
2024-07-31,4.2865
2024-08-01,4.28827
2024-08-02,4.30014
2024-08-05,4.28951
2024-08-06,4.29842
2024-08-07,4.3073
2024-08-08,4.32178
2024-08-09,4.31912
2024-08-12,4.3159
2024-08-13,4.3024
2024-08-14,4.2845
2024-08-15,4.28961
2024-08-16,4.28682
2024-08-19,4.26376
2024-08-20,4.2614
2024-08-21,4.2738
2024-08-22,4.27731
2024-08-23,4.27988
2024-08-26,4.26482
2024-08-27,4.28037
2024-08-28,4.28099
2024-08-29,4.2935
2024-08-30,4.28292
2024-09-02,4.28686
2024-09-03,4.26829
2024-09-04,4.27833
2024-09-05,4.27277
2024-09-06,4.28093
2024-09-09,4.27877
2024-09-10,4.2717
2024-09-11,4.2778
2024-09-12,4.2847
2024-09-13,4.28325
2024-09-16,4.27881
2024-09-17,4.27404
2024-09-18,4.27079
2024-09-19,4.26777
2024-09-20,4.27259
2024-09-23,4.26802
2024-09-24,4.26894
2024-09-25,4.2504
2024-09-26,4.26788
2024-09-27,4.27196
2024-09-30,4.2713
2024-10-01,4.2789
2024-10-02,4.28671
2024-10-03,4.2896
2024-10-04,4.3075
2024-10-07,4.31476
2024-10-08,4.32145
2024-10-09,4.30024
2024-10-10,4.2947
2024-10-11,4.30059
2024-10-14,4.2898
2024-10-15,4.29101
2024-10-16,4.29163
2024-10-17,4.2945
2024-10-18,4.30658
2024-10-21,4.30358
2024-10-22,4.31831
2024-10-23,4.32193
2024-10-24,4.34401
2024-10-25,4.34361
