date,rate
2024-03-27,11.46459
2024-03-28,11.50276
2024-03-29,11.5429
2024-04-01,11.52348
2024-04-02,11.5957
2024-04-03,11.56342
2024-04-04,11.52729
2024-04-05,11.5363
2024-04-08,11.53273
2024-04-09,11.46558
2024-04-10,11.4488
2024-04-11,11.51791
2024-04-12,11.5014
2024-04-15,11.56182
2024-04-16,11.56126
2024-04-17,11.61268
2024-04-18,11.67241
2024-04-19,11.6781
2024-04-22,11.64307
2024-04-23,11.59308
2024-04-24,11.56745
2024-04-25,11.6397
2024-04-26,11.67283
2024-04-29,11.69552
2024-04-30,11.71411
2024-05-01,11.75135
2024-05-02,11.69182
2024-05-03,11.65068
2024-05-06,11.63846
2024-05-07,11.63851
2024-05-08,11.6812
2024-05-09,11.7215
2024-05-10,11.6875
2024-05-13,11.68004
2024-05-14,11.69471
2024-05-15,11.67232
2024-05-16,11.59598
2024-05-17,11.64076
2024-05-20,11.63277
2024-05-21,11.5951
2024-05-22,11.60531
2024-05-23,11.62059
2024-05-24,11.60856
2024-05-27,11.56454
2024-05-28,11.52229
2024-05-29,11.47849
2024-05-30,11.52942
2024-05-31,11.46703
2024-06-03,11.3986
2024-06-04,11.34992
2024-06-05,11.33864
2024-06-06,11.29545
2024-06-07,11.31242
2024-06-10,11.37273
2024-06-11,11.27634
2024-06-12,11.2581
2024-06-13,11.2229
2024-06-14,11.25188
2024-06-17,11.24
2024-06-18,11.2423
2024-06-19,11.2083
2024-06-20,11.2179
2024-06-21,11.23521
2024-06-24,11.23516
2024-06-25,11.23979
2024-06-26,11.25507
2024-06-27,11.2955
2024-06-28,11.37509
2024-07-01,11.3426
2024-07-02,11.39663
2024-07-03,11.363
2024-07-04,11.31041
2024-07-05,11.3521
2024-07-08,11.3905
2024-07-09,11.46091
2024-07-10,11.40792
2024-07-11,11.4208
2024-07-12,11.41158
2024-07-15,11.4935
2024-07-16,11.55273
2024-07-17,11.53714
2024-07-18,11.53705
2024-07-19,11.5456
2024-07-22,11.6035
2024-07-23,11.67653
2024-07-24,11.68098
2024-07-25,11.67883
2024-07-26,11.74494
2024-07-29,11.73811
2024-07-30,11.71411
2024-07-31,11.64196
