date,rate
2024-03-27,1.93117
2024-03-28,1.93434
2024-03-29,1.93682
2024-04-01,1.934
2024-04-02,1.933769
2024-04-03,1.93052
2024-04-04,1.926
2024-04-05,1.91869
2024-04-08,1.92145
2024-04-09,1.9163
2024-04-10,1.91246
2024-04-11,1.92654
2024-04-12,1.91941
2024-04-15,1.9241
2024-04-16,1.93191
2024-04-17,1.93839
2024-04-18,1.93376
2024-04-19,1.93563
2024-04-22,1.92574
2024-04-23,1.9142
2024-04-24,1.91911
2024-04-25,1.91758
2024-04-26,1.91742
2024-04-29,1.91221
2024-04-30,1.91392
2024-05-01,1.92845
2024-05-02,1.91947
2024-05-03,1.90812
2024-05-06,1.89743
2024-05-07,1.8961
2024-05-08,1.89712
2024-05-09,1.89947
2024-05-10,1.89245
2024-05-13,1.89702
2024-05-14,1.89996
2024-05-15,1.89971
2024-05-16,1.89373
2024-05-17,1.8962
2024-05-20,1.89619
2024-05-21,1.9047
2024-05-22,1.90647
2024-05-23,1.9217
2024-05-24,1.92278
2024-05-27,1.9225
2024-05-28,1.91888
2024-05-29,1.919
2024-05-30,1.91986
2024-05-31,1.91977
2024-06-03,1.91471
2024-06-04,1.91468
2024-06-05,1.92166
2024-06-06,1.92223
2024-06-07,1.91791
2024-06-10,1.93366
2024-06-11,1.92585
2024-06-12,1.92799
2024-06-13,1.92035
2024-06-14,1.92298
2024-06-17,1.91776
2024-06-18,1.92075
2024-06-19,1.90767
2024-06-20,1.90561
2024-06-21,1.90064
2024-06-24,1.90476
2024-06-25,1.9058
2024-06-26,1.90882
2024-06-27,1.8993
2024-06-28,1.90125
2024-07-01,1.8951
2024-07-02,1.90018
2024-07-03,1.9024
2024-07-04,1.8994
2024-07-05,1.8966
2024-07-08,1.898
2024-07-09,1.90053
2024-07-10,1.897
2024-07-11,1.90355
2024-07-12,1.90912
2024-07-15,1.91506
2024-07-16,1.91753
2024-07-17,1.92759
2024-07-18,1.93243
2024-07-19,1.93126
2024-07-22,1.93127
2024-07-23,1.94746
2024-07-24,1.95108
