date,rate
2024-03-27,1.71498
2024-03-28,1.71402
2024-03-29,1.70866
2024-04-01,1.70872
2024-04-02,1.70296
2024-04-03,1.70583
2024-04-04,1.71076
2024-04-05,1.71193
2024-04-08,1.71746
2024-04-09,1.71762
2024-04-10,1.72063
2024-04-11,1.7161
2024-04-12,1.71828
2024-04-15,1.714523
2024-04-16,1.71581
2024-04-17,1.71768
2024-04-18,1.71489
2024-04-19,1.7123
2024-04-22,1.7002
2024-04-23,1.69188
2024-04-24,1.70114
2024-04-25,1.70741
2024-04-26,1.70835
2024-04-29,1.70816
2024-04-30,1.71641
2024-05-01,1.72069
2024-05-02,1.72051
2024-05-03,1.71358
2024-05-06,1.71697
2024-05-07,1.71691
2024-05-08,1.71674
2024-05-09,1.7149
2024-05-10,1.71306
2024-05-13,1.71268
2024-05-14,1.71656
2024-05-15,1.71817
2024-05-16,1.72537
2024-05-17,1.72514
2024-05-20,1.72902
2024-05-21,1.73145
2024-05-22,1.73374
2024-05-23,1.74134
2024-05-24,1.74309
2024-05-27,1.7405
2024-05-28,1.74058
2024-05-29,1.74107
2024-05-30,1.7416
2024-05-31,1.74175
2024-06-03,1.73564
2024-06-04,1.74577
2024-06-05,1.74664
2024-06-06,1.75126
2024-06-07,1.74834
2024-06-10,1.75136
2024-06-11,1.75121
2024-06-12,1.75228
2024-06-13,1.75566
2024-06-14,1.75294
2024-06-17,1.74187
2024-06-18,1.74344
2024-06-19,1.74298
2024-06-20,1.74331
2024-06-21,1.73236
2024-06-24,1.73146
2024-06-25,1.73205
2024-06-26,1.73272
2024-06-27,1.72943
2024-06-28,1.73219
2024-07-01,1.72931
2024-07-02,1.737
2024-07-03,1.73534
2024-07-04,1.73784
2024-07-05,1.73652
2024-07-08,1.74675
2024-07-09,1.74662
2024-07-10,1.74334
2024-07-11,1.74998
2024-07-12,1.76046
2024-07-15,1.76957
2024-07-16,1.77372
2024-07-17,1.77385
2024-07-18,1.77923
2024-07-19,1.7743
2024-07-22,1.77274
2024-07-23,1.77947
2024-07-24,1.77846
2024-07-25,1.78143
2024-07-26,1.776
2024-07-29,1.77949
2024-07-30,1.78168
2024-07-31,1.7779
2024-08-01,1.77472
2024-08-02,1.76673
2024-08-05,1.77524
2024-08-06,1.76532
2024-08-07,1.74857
2024-08-08,1.74365
2024-08-09,1.75071
2024-08-12,1.7508
2024-08-13,1.75469
2024-08-14,1.76381
2024-08-15,1.7587
2024-08-16,1.76591
2024-08-19,1.77081
2024-08-20,1.7704
2024-08-21,1.77481
2024-08-22,1.77835
2024-08-23,1.78143
2024-08-26,1.7848
2024-08-27,1.77831
2024-08-28,1.78254
2024-08-29,1.77775
2024-08-30,1.77572
2024-09-02,1.77124
2024-09-03,1.77366
2024-09-04,1.77594
2024-09-05,1.77515
2024-09-06,1.77874
2024-09-09,1.78098
2024-09-10,1.7724
2024-09-11,1.78011
2024-09-12,1.77013
2024-09-13,1.78267
2024-09-16,1.7831
2024-09-17,1.79477
2024-09-18,1.7893
2024-09-19,1.79671
2024-09-20,1.80126
2024-09-23,1.80583
2024-09-24,1.80607
2024-09-25,1.80193
2024-09-26,1.79521
2024-09-27,1.80717
2024-09-30,1.80783
2024-10-01,1.8092
2024-10-02,1.79093
2024-10-03,1.79132
2024-10-04,1.77846
2024-10-07,1.78212
2024-10-08,1.78203
2024-10-09,1.78772
2024-10-10,1.79138
2024-10-11,1.79534
2024-10-14,1.79822
2024-10-15,1.80324
2024-10-16,1.8005
2024-10-17,1.78679
2024-10-18,1.7951
2024-10-21,1.8011
2024-10-22,1.79585
2024-10-23,1.79366
2024-10-24,1.78676
2024-10-25,1.79692
