date,rate
2024-03-27,1.14112
2024-03-28,1.1423
2024-03-29,1.13751
2024-04-01,1.1398
2024-04-02,1.13548
2024-04-03,1.14163
2024-04-04,1.1423
2024-04-05,1.13947
2024-04-08,1.1402
2024-04-09,1.14547
2024-04-10,1.14477
2024-04-11,1.14462
2024-04-12,1.14222
2024-04-15,1.1387
2024-04-16,1.13484
2024-04-17,1.13438
2024-04-18,1.13394
2024-04-19,1.1344
2024-04-22,1.12736
2024-04-23,1.12612
2024-04-24,1.13521
2024-04-25,1.1393
2024-04-26,1.14139
2024-04-29,1.1428
2024-04-30,1.14379
2024-05-01,1.14842
2024-05-02,1.14881
2024-05-03,1.14062
2024-05-06,1.13608
2024-05-07,1.13871
2024-05-08,1.13567
2024-05-09,1.13431
2024-05-10,1.13455
2024-05-13,1.13508
2024-05-14,1.14044
2024-05-15,1.14114
2024-05-16,1.14263
2024-05-17,1.14806
2024-05-20,1.15482
2024-05-21,1.15671
2024-05-22,1.15815
2024-05-23,1.16415
2024-05-24,1.16047
2024-05-27,1.1642
2024-05-28,1.1663
2024-05-29,1.16394
2024-05-30,1.15934
2024-05-31,1.14981
2024-06-03,1.14866
2024-06-04,1.14649
2024-06-05,1.1366
2024-06-06,1.14195
2024-06-07,1.1379
2024-06-10,1.1404
2024-06-11,1.14096
2024-06-12,1.14372
2024-06-13,1.144
2024-06-14,1.14024
2024-06-17,1.12963
2024-06-18,1.12942
2024-06-19,1.1236
2024-06-20,1.12498
2024-06-21,1.12856
2024-06-24,1.1301
2024-06-25,1.13274
2024-06-26,1.13554
2024-06-27,1.1321
2024-06-28,1.13616
2024-07-01,1.13866
2024-07-02,1.14202
2024-07-03,1.14663
2024-07-04,1.14819
2024-07-05,1.14821
2024-07-08,1.1462
2024-07-09,1.15055
2024-07-10,1.14775
2024-07-11,1.15577
2024-07-12,1.15782
2024-07-15,1.16292
2024-07-16,1.16132
2024-07-17,1.1592
2024-07-18,1.14762
2024-07-19,1.14906
2024-07-22,1.14841
2024-07-23,1.15038
2024-07-24,1.15008
2024-07-25,1.14158
2024-07-26,1.13211
2024-07-29,1.13802
2024-07-30,1.13948
2024-07-31,1.13225
2024-08-01,1.12858
2024-08-02,1.11101
2024-08-05,1.09472
2024-08-06,1.09311
2024-08-07,1.0814
2024-08-08,1.08935
2024-08-09,1.10494
2024-08-12,1.1026
2024-08-13,1.10418
2024-08-14,1.11316
2024-08-15,1.1092
2024-08-16,1.12193
2024-08-19,1.12317
2024-08-20,1.12043
2024-08-21,1.11261
2024-08-22,1.11426
2024-08-23,1.11548
2024-08-26,1.11944
2024-08-27,1.11739
2024-08-28,1.11567
2024-08-29,1.11056
2024-08-30,1.1147
2024-09-02,1.1154
2024-09-03,1.11876
2024-09-04,1.1145
2024-09-05,1.112
2024-09-06,1.11185
2024-09-09,1.10825
2024-09-10,1.1101
2024-09-11,1.10735
2024-09-12,1.11161
2024-09-13,1.116
2024-09-16,1.1135
2024-09-17,1.11571
2024-09-18,1.11431
2024-09-19,1.11858
2024-09-20,1.12593
2024-09-23,1.13272
2024-09-24,1.1311
2024-09-25,1.12987
2024-09-26,1.1326
2024-09-27,1.13492
2024-09-30,1.12573
2024-10-01,1.13061
2024-10-02,1.12328
2024-10-03,1.12738
2024-10-04,1.11828
2024-10-07,1.12691
2024-10-08,1.11806
2024-10-09,1.1224
2024-10-10,1.12439
2024-10-11,1.11877
2024-10-14,1.11986
2024-10-15,1.1266
2024-10-16,1.12691
2024-10-17,1.12406
2024-10-18,1.12711
2024-10-21,1.12889
2024-10-22,1.12356
2024-10-23,1.12361
2024-10-24,1.11924
2024-10-25,1.12321
2024-10-28,1.12529
2024-10-29,1.12194
2024-10-30,1.1283
2024-10-31,1.12269
2024-11-01,1.11368
2024-11-04,1.12376
2024-11-05,1.11945
2024-11-06,1.12475
2024-11-07,1.128
2024-11-08,1.13293
2024-11-11,1.13144
2024-11-12,1.13313
2024-11-13,1.12362
2024-11-14,1.12545
2024-11-15,1.1277
2024-11-18,1.12124
2024-11-19,1.11978
2024-11-20,1.11967
2024-11-21,1.1179
2024-11-22,1.11606
2024-11-25,1.12134
2024-11-26,1.11384
2024-11-27,1.11427
2024-11-28,1.11842
2024-11-29,1.12009
2024-12-02,1.12024
2024-12-03,1.1218
2024-12-04,1.12337
2024-12-05,1.12239
2024-12-06,1.1207
2024-12-09,1.12012
2024-12-10,1.12006
2024-12-11,1.12796
2024-12-12,1.1274
2024-12-13,1.13072
2024-12-16,1.12597
2024-12-17,1.13449
2024-12-18,1.13436
2024-12-19,1.13315
2024-12-20,1.1231
2024-12-23,1.12245
2024-12-24,1.12604
2024-12-25,1.1285
2024-12-26,1.12793
2024-12-27,1.12612
2024-12-30,1.13432
2024-12-31,1.13335
2025-01-02,1.13631
2025-01-03,1.12896
2025-01-06,1.12989
2025-01-07,1.13222
2025-01-08,1.13469
2025-01-09,1.12586
2025-01-10,1.1217
2025-01-13,1.11881
2025-01-14,1.12024
2025-01-15,1.11412
2025-01-16,1.11662
2025-01-17,1.11479
2025-01-20,1.11309
2025-01-21,1.1172
2025-01-22,1.1183
2025-01-23,1.11598
2025-01-24,1.12093
2025-01-27,1.12973
2025-01-28,1.12636
2025-01-29,1.12469
2025-01-30,1.12872
2025-01-31,1.12985
2025-02-03,1.12477
2025-02-04,1.13319
2025-02-05,1.12942
2025-02-06,1.12695
2025-02-07,1.1255
2025-02-10,1.12846
2025-02-11,1.12624
2025-02-12,1.13677
2025-02-13,1.13709
2025-02-14,1.13473
2025-02-17,1.13229
2025-02-18,1.1366
2025-02-19,1.14078
2025-02-20,1.13809
2025-02-21,1.13782
2025-02-24,1.13648
2025-02-25,1.13218
2025-02-26,1.13088
2025-02-27,1.1341
2025-02-28,1.13372
2025-03-03,1.13752
2025-03-04,1.13895
2025-03-05,1.13806
2025-03-06,1.14809
2025-03-07,1.13811
2025-03-10,1.13456
2025-03-11,1.13292
2025-03-12,1.14352
2025-03-13,1.14307
2025-03-14,1.14356
2025-03-17,1.14309
2025-03-18,1.14424
2025-03-19,1.13967
2025-03-20,1.1401
2025-03-21,1.14295
2025-03-24,1.14109
2025-03-25,1.14072
2025-03-26,1.14252
2025-03-27,1.13854
2025-03-28,1.14165
2025-03-31,1.13958
2025-04-01,1.14187
2025-04-02,1.14191
2025-04-03,1.1438
2025-04-04,1.12451
2025-04-07,1.09935
2025-04-08,1.09465
2025-04-09,1.08146
2025-04-10,1.09711
2025-04-11,1.06619
2025-04-14,1.07034
2025-04-15,1.07491
2025-04-16,1.08587
2025-04-17,1.07688
2025-04-22,1.082
2025-04-23,1.09645
2025-04-24,1.10066
2025-04-25,1.10434
2025-04-28,1.101
2025-04-29,1.10327
2025-04-30,1.10421
2025-05-01,1.10041
2025-05-02,1.1012
2025-05-05,1.09367
2025-05-06,1.09256
2025-05-07,1.1026
2025-05-08,1.09516
2025-05-09,1.10082
2025-05-12,1.10781
2025-05-13,1.11325
2025-05-14,1.11676
2025-05-15,1.11575
2025-05-16,1.11071
2025-05-19,1.11151
2025-05-20,1.11551
2025-05-21,1.10753
2025-05-22,1.10707
2025-05-23,1.11161
2025-05-26,1.11312
2025-05-27,1.11283
2025-05-28,1.11781
2025-05-29,1.11815
2025-05-30,1.10963
2025-06-02,1.1073
2025-06-03,1.10606
2025-06-04,1.1134
2025-06-05,1.10846
2025-06-06,1.11256
2025-06-09,1.11177
2025-06-10,1.11322
2025-06-11,1.11026
2025-06-12,1.11045
2025-06-13,1.1021
2025-06-16,1.10028
2025-06-17,1.10378
2025-06-18,1.09694
2025-06-19,1.09868
2025-06-20,1.10009
2025-06-23,1.09864
2025-06-24,1.10058
2025-06-25,1.09615
2025-06-26,1.10029
2025-06-27,1.09905
2025-06-30,1.09508
2025-07-01,1.08854
2025-07-02,1.08679
2025-07-03,1.08052
2025-07-04,1.08528
2025-07-07,1.08394
2025-07-08,1.08588
2025-07-09,1.08113
2025-07-10,1.07778
2025-07-11,1.08181
2025-07-14,1.07511
2025-07-15,1.07134
2025-07-16,1.07331
2025-07-17,1.07404
2025-07-18,1.0784
2025-07-21,1.07476
2025-07-22,1.07652
2025-07-23,1.07307
2025-07-24,1.07558
2025-07-25,1.07378
2025-07-28,1.06876
2025-07-29,1.0731
2025-07-30,1.07556
2025-07-31,1.07804
2025-08-01,1.07498
2025-08-04,1.06846
2025-08-05,1.07315
2025-08-06,1.07308
2025-08-07,1.07665
2025-08-08,1.0837
2025-08-11,1.08553
2025-08-12,1.09076
2025-08-13,1.0885
2025-08-14,1.09317
2025-08-15,1.09255
2025-08-18,1.09331
2025-08-19,1.09056
2025-08-20,1.08936
2025-08-21,1.08261
2025-08-22,1.08499
2025-08-25,1.08386
2025-08-26,1.08458
2025-08-27,1.08326
2025-08-28,1.08227
2025-08-29,1.08295
