date,rate
2024-03-27,105.233406
2024-03-28,105.172188
2024-03-29,105.283379
2024-04-01,105.31443
2024-04-02,104.737907
2024-04-03,104.820709
2024-04-04,105.638153
2024-04-05,105.573692
2024-04-08,105.16011
2024-04-09,105.406708
2024-04-10,105.503479
2024-04-11,104.587479
2024-04-12,104.655914
2024-04-15,104.159729
2024-04-16,103.945732
2024-04-17,104.003677
2024-04-18,104.118446
2024-04-19,103.869682
2024-04-22,103.206017
2024-04-23,102.969955
2024-04-24,103.682709
2024-04-25,103.833885
2024-04-26,104.217529
2024-04-29,104.299812
2024-04-30,104.840256
2024-05-01,104.419701
2024-05-02,104.478348
2024-05-03,104.58036
2024-05-06,104.652771
2024-05-07,104.840767
2024-05-08,104.34185
2024-05-09,104.269089
2024-05-10,104.533226
2024-05-13,104.598106
2024-05-14,104.874535
2024-05-15,105.120697
2024-05-16,105.872681
2024-05-17,105.763321
2024-05-20,105.840111
2024-05-21,105.879128
2024-05-22,105.912796
2024-05-23,105.91555
2024-05-24,105.746223
2024-05-27,105.787529
2024-05-28,106.185791
2024-05-29,106.157272
2024-05-30,105.881035
2024-05-31,106.066765
2024-06-03,106.346039
2024-06-04,106.442955
2024-06-05,106.800667
2024-06-06,106.668327
2024-06-07,106.774033
2024-06-10,106.313171
2024-06-11,106.337601
2024-06-12,106.494324
2024-06-13,106.889015
2024-06-14,106.538727
2024-06-17,105.952888
2024-06-18,106.158051
2024-06-19,105.952316
2024-06-20,106.117485
2024-06-21,105.875839
2024-06-24,105.613556
2024-06-25,105.845711
2024-06-26,105.801811
2024-06-27,105.484871
2024-06-28,105.502533
2024-07-01,105.455063
2024-07-02,105.513283
2024-07-03,105.921814
2024-07-04,106.40937
2024-07-05,106.498337
2024-07-08,106.914085
2024-07-09,106.945679
2024-07-10,106.775368
2024-07-11,107.302032
2024-07-12,107.918442
2024-07-15,108.306168
2024-07-16,108.401695
2024-07-17,108.396362
2024-07-18,108.699966
2024-07-19,108.359032
2024-07-22,108.328438
2024-07-23,108.21212
2024-07-24,108.007301
2024-07-25,108.033272
2024-07-26,107.658897
2024-07-29,107.739761
2024-07-30,107.689346
2024-07-31,107.500122
2024-08-01,107.624168
2024-08-02,106.735489
