date,rate
2024-03-27,191.218002
2024-03-28,190.809998
2024-03-29,191.153
2024-04-01,191.300003
2024-04-02,190.171997
2024-04-03,190.580002
2024-04-04,191.761002
2024-04-05,191.229996
2024-04-08,191.5
2024-04-09,192.184998
2024-04-10,192.399994
2024-04-11,191.740005
2024-04-12,192.317001
2024-04-15,191.009995
2024-04-16,191.929993
2024-04-17,192.289993
2024-04-18,192.201996
2024-04-19,192.270996
2024-04-22,191.365005
2024-04-23,191.182999
2024-04-24,192.695007
2024-04-25,193.436996
2024-04-26,194.617004
2024-04-29,197.910995
2024-04-30,196.317993
2024-05-01,196.981995
2024-05-02,195.203003
2024-05-03,191.912994
2024-05-06,192.576004
2024-05-07,193.716995
2024-05-08,193.447006
2024-05-09,194.158997
2024-05-10,194.623001
2024-05-13,195.119003
2024-05-14,196.240005
2024-05-15,196.947006
2024-05-16,195.766998
2024-05-17,196.884003
2024-05-20,197.899994
2024-05-21,198.746002
2024-05-22,198.604996
2024-05-23,199.339005
2024-05-24,199.223007
2024-05-27,199.781006
2024-05-28,200.309006
2024-05-29,200.630997
2024-05-30,200.119003
2024-05-31,199.785995
2024-06-03,200.311005
2024-06-04,199.919998
2024-06-05,198.119995
2024-06-06,199.485001
2024-06-07,199.164993
2024-06-10,199.610001
2024-06-11,199.843994
2024-06-12,200.143005
2024-06-13,200.630997
2024-06-14,200.419998
2024-06-17,199.802994
2024-06-18,200.488998
2024-06-19,200.561996
2024-06-20,200.927002
2024-06-21,201.205994
2024-06-24,202.018997
2024-06-25,202.513
2024-06-26,202.539993
2024-06-27,202.716003
2024-06-28,203.188995
2024-07-01,203.479996
2024-07-02,204.229004
2024-07-03,204.899994
2024-07-04,206.009003
2024-07-05,205.807999
2024-07-08,205.709
2024-07-09,206.141998
2024-07-10,206.311996
2024-07-11,207.703003
2024-07-12,204.434006
2024-07-15,205.268997
2024-07-16,205.082001
2024-07-17,205.481995
2024-07-18,202.485992
2024-07-19,203.514999
2024-07-22,203.585007
2024-07-23,202.886993
2024-07-24,200.949997
2024-07-25,198.5
2024-07-26,197.574005
2024-07-29,198.339005
2024-07-30,197.811996
2024-07-31,195.970001
2024-08-01,192.460999
2024-08-02,189.910004
2024-08-05,186.164001
2024-08-06,186.436005
2024-08-07,183.582001
2024-08-08,185.272995
2024-08-09,188.212997
2024-08-12,187.466995
2024-08-13,187.686996
2024-08-14,189.089996
2024-08-15,188.865005
2024-08-16,191.880005
2024-08-19,191.546005
2024-08-20,190.559006
2024-08-21,189.445007
2024-08-22,189.994003
2024-08-23,191.429993
2024-08-26,190.246994
2024-08-27,190.626007
2024-08-28,190.852005
2024-08-29,190.544998
2024-08-30,190.742996
2024-09-02,192.182999
2024-09-03,192.789993
2024-09-04,190.587997
2024-09-05,188.391998
2024-09-06,188.944
2024-09-09,187.113007
2024-09-10,187.141006
2024-09-11,186.024994
2024-09-12,185.923004
2024-09-13,185.809006
2024-09-16,184.919998
2024-09-17,185.985001
2024-09-18,186.988998
2024-09-19,188.391006
2024-09-20,189.729996
2024-09-23,191.71637
2024-09-24,191.746994
2024-09-25,191.955002
2024-09-26,192.649994
2024-09-27,194.552002
2024-09-30,191.082993
2024-10-01,192.212997
2024-10-02,190.781006
2024-10-03,194.434998
2024-10-04,192.781006
2024-10-07,195.313995
2024-10-08,193.826996
2024-10-09,193.990997
2024-10-10,194.910004
2024-10-11,194.222
2024-10-14,194.852997
2024-10-15,195.552994
2024-10-16,194.807999
2024-10-17,194.264008
2024-10-18,195.348999
2024-10-21,195.251999
2024-10-22,195.483215
2024-10-23,196.210007
2024-10-24,197.272995
2024-10-25,196.886993
2024-10-28,198.179993
2024-10-29,198.716003
2024-10-30,199.449997
2024-10-31,198.524994
2024-11-01,196.007004
2024-11-04,197.251007
2024-11-05,197.255005
2024-11-06,197.503006
2024-11-07,198.796005
2024-11-08,198.845993
2024-11-11,197.492004
2024-11-12,197.554993
2024-11-13,196.992004
2024-11-14,197.487
2024-11-15,198.207993
2024-11-18,195.141006
2024-11-19,196.028
2024-11-20,196.397003
2024-11-21,196.496002
2024-11-22,194.059998
2024-11-25,194.117996
2024-11-26,193.449997
2024-11-27,192.376007
2024-11-28,191.858994
2024-11-29,191.910004
2024-12-02,190.373993
2024-12-03,189.240997
2024-12-04,189.647995
2024-12-05,191.227005
2024-12-06,191.636993
2024-12-09,191.169998
2024-12-10,193.033005
2024-12-11,193.994995
2024-12-12,194.335999
2024-12-13,193.427002
2024-12-16,193.753998
2024-12-17,195.535995
2024-12-18,195.192993
2024-12-19,194.376999
2024-12-20,197.009995
2024-12-23,196.742996
2024-12-24,196.954926
2024-12-25,196.899994
2024-12-26,197.097
2024-12-27,197.625
2024-12-30,198.572006
2024-12-31,196.998993
2025-01-02,197.404999
2025-01-03,194.797531
2025-01-06,195.686005
2025-01-07,197.339005
2025-01-08,197.399994
2025-01-09,195.513
2025-01-10,194.380005
2025-01-13,192.684006
2025-01-14,192.494003
2025-01-15,192.977997
2025-01-16,191.287994
2025-01-17,190.078003
2025-01-20,190.229004
2025-01-21,191.425003
2025-01-22,192.139999
2025-01-23,192.619995
2025-01-24,192.876068
2025-01-27,194.028
2025-01-28,193.007004
2025-01-29,193.501999
2025-01-30,193.257996
2025-01-31,191.425003
2025-02-03,190.947006
2025-02-04,193.024002
2025-02-05,192.294998
2025-02-06,190.800003
2025-02-07,188.013
2025-02-10,188.145996
2025-02-11,187.550995
2025-02-12,190.175003
2025-02-13,192.035995
2025-02-14,192.197006
2025-02-17,191.296005
2025-02-18,191.125
2025-02-19,191.815994
2025-02-20,190.266006
2025-02-21,189.270004
2025-02-24,188.966003
2025-02-25,189.070007
2025-02-26,188.925003
2025-02-27,188.740997
