date,rate
2024-03-27,2.10196
2024-03-28,2.10534
2024-03-29,2.11322
2024-04-01,2.11081
2024-04-02,2.10772
2024-04-03,2.10679
2024-04-04,2.10336
2024-04-05,2.0969
2024-04-08,2.10247
2024-04-09,2.0965
2024-04-10,2.08993
2024-04-11,2.09826
2024-04-12,2.09192
2024-04-15,2.09586
2024-04-16,2.1082
2024-04-17,2.10965
2024-04-18,2.10603
2024-04-19,2.10654
2024-04-22,2.09731
2024-04-23,2.08571
2024-04-24,2.0968
2024-04-25,2.0989
2024-04-26,2.09922
2024-04-29,2.10308
2024-04-30,2.1031
2024-05-01,2.12422
2024-05-02,2.1138
2024-05-03,2.10254
2024-05-06,2.0874
2024-05-07,2.08978
2024-05-08,2.08442
2024-05-09,2.08062
2024-05-10,2.07491
2024-05-13,2.08061
2024-05-14,2.08533
2024-05-15,2.0824
2024-05-16,2.06981
2024-05-17,2.0687
2024-05-20,2.07035
2024-05-21,2.08084
2024-05-22,2.08583
2024-05-23,2.08522
2024-05-24,2.08167
2024-05-27,2.08036
2024-05-28,2.07583
2024-05-29,2.07756
2024-05-30,2.07687
2024-05-31,2.08107
2024-06-03,2.07269
2024-06-04,2.0675
2024-06-05,2.06852
2024-06-06,2.0638
2024-06-07,2.06421
2024-06-10,2.08455
2024-06-11,2.07651
2024-06-12,2.0726
2024-06-13,2.06819
2024-06-14,2.07032
2024-06-17,2.06634
2024-06-18,2.07186
2024-06-19,2.0693
2024-06-20,2.0715
2024-06-21,2.06762
2024-06-24,2.06785
2024-06-25,2.07201
2024-06-26,2.07288
2024-06-27,2.07573
2024-06-28,2.0775
2024-07-01,2.07369
2024-07-02,2.08495
2024-07-03,2.0861
2024-07-04,2.0871
2024-07-05,2.0858
2024-07-08,2.08524
2024-07-09,2.09011
2024-07-10,2.08712
2024-07-11,2.11103
2024-07-12,2.12018
2024-07-15,2.12716
2024-07-16,2.13416
2024-07-17,2.1375
2024-07-18,2.13903
2024-07-19,2.14274
2024-07-22,2.14672
2024-07-23,2.16296
2024-07-24,2.16709
2024-07-25,2.17623
2024-07-26,2.18267
2024-07-29,2.185
2024-07-30,2.18799
2024-07-31,2.1749
2024-08-01,2.15941
2024-08-02,2.14416
2024-08-05,2.15015
2024-08-06,2.14901
2024-08-07,2.1228
2024-08-08,2.11797
2024-08-09,2.12197
2024-08-12,2.12662
2024-08-13,2.12002
2024-08-14,2.11633
2024-08-15,2.13736
2024-08-16,2.14988
2024-08-19,2.13717
2024-08-20,2.1234
2024-08-21,2.11686
2024-08-22,2.12445
2024-08-23,2.13167
2024-08-26,2.12262
2024-08-27,2.12569
2024-08-28,2.12295
2024-08-29,2.11164
2024-08-30,2.10188
2024-09-02,2.1008
2024-09-03,2.10912
2024-09-04,2.1184
2024-09-05,2.12443
2024-09-06,2.11694
2024-09-09,2.12787
2024-09-10,2.1272
2024-09-11,2.12668
2024-09-12,2.12614
2024-09-13,2.12235
2024-09-16,2.13096
2024-09-17,2.13195
2024-09-18,2.12571
2024-09-19,2.12599
2024-09-20,2.12934
2024-09-23,2.13479
2024-09-24,2.12993
2024-09-25,2.1129
2024-09-26,2.12797
2024-09-27,2.1175
2024-09-30,2.1068
2024-10-01,2.10789
2024-10-02,2.11249
2024-10-03,2.1178
2024-10-04,2.1116
2024-10-07,2.13018
2024-10-08,2.13481
2024-10-09,2.13552
2024-10-10,2.1524
2024-10-11,2.14252
2024-10-14,2.1413
2024-10-15,2.14561
2024-10-16,2.15722
2024-10-17,2.14384
2024-10-18,2.14735
2024-10-21,2.14786
2024-10-22,2.15523
2024-10-23,2.14729
2024-10-24,2.14994
2024-10-25,2.15893
2024-10-28,2.1671
2024-10-29,2.16687
2024-10-30,2.17922
2024-10-31,2.17012
2024-11-01,2.15954
2024-11-04,2.16327
2024-11-05,2.16852
2024-11-06,2.16764
2024-11-07,2.1692
2024-11-08,2.15554
2024-11-11,2.16481
2024-11-12,2.15647
2024-11-13,2.15038
2024-11-14,2.15987
2024-11-15,2.16535
2024-11-18,2.15189
2024-11-19,2.15225
2024-11-20,2.14438
2024-11-21,2.15176
2024-11-22,2.14839
2024-11-25,2.14817
2024-11-26,2.15645
2024-11-27,2.15433
2024-11-28,2.15049
2024-11-29,2.1521
2024-12-02,2.15018
2024-12-03,2.15097
2024-12-04,2.15455
2024-12-05,2.1674
2024-12-06,2.16903
2024-12-09,2.18329
2024-12-10,2.17584
2024-12-11,2.20245
2024-12-12,2.20303
2024-12-13,2.19678
2024-12-16,2.18797
2024-12-17,2.1905
2024-12-18,2.20733
2024-12-19,2.23714
2024-12-20,2.2199
2024-12-23,2.2239
2024-12-24,2.21947
2024-12-25,2.219
2024-12-26,2.2195
2024-12-27,2.22691
2024-12-30,2.23034
2024-12-31,2.22487
2025-01-02,2.23596
2025-01-03,2.21325
2025-01-06,2.21253
2025-01-07,2.21844
2025-01-08,2.21396
2025-01-09,2.20473
2025-01-10,2.19867
2025-01-13,2.19302
2025-01-14,2.18273
2025-01-15,2.17917
2025-01-16,2.17512
2025-01-17,2.1817
2025-01-20,2.17818
2025-01-21,2.17002
2025-01-22,2.17884
2025-01-23,2.17414
2025-01-24,2.17635
2025-01-27,2.18847
2025-01-28,2.19811
2025-01-29,2.19559
2025-01-30,2.19839
2025-01-31,2.20392
2025-02-03,2.20644
2025-02-04,2.20914
2025-02-05,2.20881
2025-02-06,2.19766
2025-02-07,2.19146
2025-02-10,2.19403
2025-02-11,2.19334
2025-02-12,2.20008
2025-02-13,2.20665
2025-02-14,2.21175
2025-02-17,2.1949
2025-02-18,2.2015
2025-02-19,2.21286
2025-02-20,2.20716
2025-02-21,2.197
2025-02-24,2.19939
2025-02-25,2.2025
2025-02-26,2.2113
2025-02-27,2.22479
