date,rate
2024-03-27,1.69882
2024-03-28,1.70155
2024-03-29,1.703
2024-04-01,1.703
2024-04-02,1.69663
2024-04-03,1.69947
2024-04-04,1.7045
2024-04-05,1.70438
2024-04-08,1.70326
2024-04-09,1.70527
2024-04-10,1.70469
2024-04-11,1.69733
2024-04-12,1.69825
2024-04-15,1.69502
2024-04-16,1.69644
2024-04-17,1.69622
2024-04-18,1.69394
2024-04-19,1.6937
2024-04-22,1.68456
2024-04-23,1.68193
2024-04-24,1.6938
2024-04-25,1.69643
2024-04-26,1.69984
2024-04-29,1.70292
2024-04-30,1.708
2024-05-01,1.70506
2024-05-02,1.7051
2024-05-03,1.6975
2024-05-06,1.69398
2024-05-07,1.69742
2024-05-08,1.69349
2024-05-09,1.69326
2024-05-10,1.69364
2024-05-13,1.69631
2024-05-14,1.69939
2024-05-15,1.70145
2024-05-16,1.704
2024-05-17,1.70524
2024-05-20,1.70869
2024-05-21,1.71239
2024-05-22,1.71239
2024-05-23,1.71779
2024-05-24,1.71576
2024-05-27,1.71924
2024-05-28,1.72234
2024-05-29,1.72069
2024-05-30,1.71668
2024-05-31,1.71854
2024-06-03,1.72122
2024-06-04,1.7224
2024-06-05,1.71985
2024-06-06,1.7233
2024-06-07,1.72106
2024-06-10,1.72152
2024-06-11,1.72134
2024-06-12,1.72363
2024-06-13,1.72473
2024-06-14,1.72327
2024-06-17,1.71647
2024-06-18,1.71795
2024-06-19,1.71682
2024-06-20,1.718
2024-06-21,1.71439
2024-06-24,1.71295
2024-06-25,1.71557
2024-06-26,1.71819
2024-06-27,1.71497
2024-06-28,1.71712
2024-07-01,1.71401
2024-07-02,1.71686
2024-07-03,1.72046
2024-07-04,1.72494
2024-07-05,1.72392
2024-07-08,1.72714
2024-07-09,1.72932
2024-07-10,1.72716
2024-07-11,1.73326
2024-07-12,1.73433
2024-07-15,1.74133
2024-07-16,1.7423
2024-07-17,1.74406
2024-07-18,1.74245
2024-07-19,1.74005
2024-07-22,1.73821
2024-07-23,1.74035
2024-07-24,1.73613
2024-07-25,1.7332
2024-07-26,1.72673
2024-07-29,1.72799
2024-07-30,1.72703
2024-07-31,1.72255
2024-08-01,1.71737
2024-08-02,1.70137
2024-08-05,1.69517
2024-08-06,1.69466
2024-08-07,1.68134
2024-08-08,1.6817
2024-08-09,1.69034
2024-08-12,1.68832
2024-08-13,1.69043
2024-08-14,1.69458
2024-08-15,1.68876
2024-08-16,1.70014
2024-08-19,1.70335
2024-08-20,1.6982
2024-08-21,1.70009
2024-08-22,1.7089
2024-08-23,1.7157
2024-08-26,1.71897
2024-08-27,1.71973
2024-08-28,1.72506
2024-08-29,1.71961
2024-08-30,1.71479
2024-09-02,1.71468
2024-09-03,1.71748
2024-09-04,1.71366
2024-09-05,1.71304
2024-09-06,1.71263
2024-09-09,1.71139
2024-09-10,1.70682
2024-09-11,1.70568
2024-09-12,1.70083
2024-09-13,1.7079
2024-09-16,1.70422
2024-09-17,1.71149
2024-09-18,1.70617
2024-09-19,1.71082
2024-09-20,1.7157
2024-09-23,1.71823
2024-09-24,1.7231
2024-09-25,1.72169
2024-09-26,1.71731
2024-09-27,1.72165
2024-09-30,1.71335
2024-10-01,1.71875
2024-10-02,1.70959
2024-10-03,1.71377
2024-10-04,1.7014
2024-10-07,1.71216
2024-10-08,1.70588
2024-10-09,1.70774
2024-10-10,1.7082
2024-10-11,1.70561
2024-10-14,1.70591
2024-10-15,1.70844
2024-10-16,1.711
2024-10-17,1.70589
2024-10-18,1.7096
2024-10-21,1.70975
2024-10-22,1.7084
2024-10-23,1.70866
2024-10-24,1.70834
2024-10-25,1.71066
2024-10-28,1.71462
2024-10-29,1.71555
2024-10-30,1.72224
2024-10-31,1.7131
2024-11-01,1.70191
2024-11-04,1.71225
2024-11-05,1.7086
2024-11-06,1.7123
2024-11-07,1.7165
2024-11-08,1.71424
2024-11-11,1.71478
2024-11-12,1.7149
2024-11-13,1.7053
2024-11-14,1.70628
2024-11-15,1.7044
2024-11-18,1.69367
2024-11-19,1.6968
2024-11-20,1.69681
2024-11-21,1.69883
2024-11-22,1.69446
2024-11-25,1.69129
2024-11-26,1.69062
2024-11-27,1.69215
2024-11-28,1.69977
2024-11-29,1.70278
2024-12-02,1.70335
2024-12-03,1.70226
2024-12-04,1.7043
2024-12-05,1.70643
2024-12-06,1.70774
2024-12-09,1.70967
2024-12-10,1.70848
2024-12-11,1.71391
2024-12-12,1.71419
2024-12-13,1.70709
2024-12-16,1.70218
2024-12-17,1.71205
2024-12-18,1.71544
2024-12-19,1.71284
2024-12-20,1.7009
2024-12-23,1.70349
2024-12-24,1.70086
2024-12-25,1.7032
2024-12-26,1.70452
2024-12-27,1.7022
2024-12-30,1.70792
2024-12-31,1.70555
2025-01-02,1.7092
2025-01-03,1.69523
2025-01-06,1.70312
2025-01-07,1.70597
2025-01-08,1.7019
2025-01-09,1.6906
2025-01-10,1.6828
2025-01-13,1.67341
2025-01-14,1.67353
2025-01-15,1.66907
2025-01-16,1.67253
2025-01-17,1.67227
2025-01-20,1.66408
2025-01-21,1.67052
2025-01-22,1.6709
2025-01-23,1.66858
2025-01-24,1.67452
2025-01-27,1.67963
2025-01-28,1.68069
2025-01-29,1.68089
2025-01-30,1.68011
2025-01-31,1.67917
2025-02-03,1.6816
2025-02-04,1.69049
2025-02-05,1.68742
2025-02-06,1.68608
2025-02-07,1.67892
2025-02-10,1.68139
2025-02-11,1.67568
2025-02-12,1.68422
2025-02-13,1.684
2025-02-14,1.68807
2025-02-17,1.68556
2025-02-18,1.69268
2025-02-19,1.69408
2025-02-20,1.68886
2025-02-21,1.68952
2025-02-24,1.68943
2025-02-25,1.68966
2025-02-26,1.69249
2025-02-27,1.69614
2025-02-28,1.69859
2025-03-03,1.70063
2025-03-04,1.70981
2025-03-05,1.71156
2025-03-06,1.71551
2025-03-07,1.71721
2025-03-10,1.71936
2025-03-11,1.71629
2025-03-12,1.72279
2025-03-13,1.7271
2025-03-14,1.73063
2025-03-17,1.72414
2025-03-18,1.72714
2025-03-19,1.72998
2025-03-20,1.72957
2025-03-21,1.7305
2025-03-24,1.72519
2025-03-25,1.73023
2025-03-26,1.72941
2025-03-27,1.72708
2025-03-28,1.73454
2025-03-31,1.73716
2025-04-01,1.73539
2025-04-02,1.7358
2025-04-03,1.75569
2025-04-04,1.74751
2025-04-07,1.73815
2025-04-08,1.72159
2025-04-09,1.72924
2025-04-10,1.72132
2025-04-11,1.72592
2025-04-14,1.72738
2025-04-15,1.73344
2025-04-16,1.74414
2025-04-17,1.73469
2025-04-22,1.74574
2025-04-23,1.74369
2025-04-24,1.74553
2025-04-25,1.74864
2025-04-28,1.74835
2025-04-29,1.75886
2025-04-30,1.75447
2025-05-01,1.73953
2025-05-02,1.74121
2025-05-05,1.72102
2025-05-06,1.7141
2025-05-07,1.72095
2025-05-08,1.7197
2025-05-09,1.72105
2025-05-12,1.7243
2025-05-13,1.72014
2025-05-14,1.7302
2025-05-15,1.72567
2025-05-16,1.72516
