date,rate
2024-03-27,90.960999
2024-03-28,90.615997
2024-03-29,90.435997
2024-04-01,90.610001
2024-04-02,90.211998
2024-04-03,90.450996
2024-04-04,91.156998
2024-04-05,91.1828
2024-04-08,91.068001
2024-04-09,91.613998
2024-04-10,92.050003
2024-04-11,91.375999
2024-04-12,91.920998
2024-04-15,91.122002
2024-04-16,91.011002
2024-04-17,91.134003
2024-04-18,91.25
2024-04-19,91.258003
2024-04-22,91.227997
2024-04-23,91.639
2024-04-24,91.851997
2024-04-25,92.146004
2024-04-26,92.695999
2024-04-29,94.080002
2024-04-30,93.331001
2024-05-01,92.709999
2024-05-02,92.359016
2024-05-03,91.261002
2024-05-06,92.241997
2024-05-07,92.681
2024-05-08,92.791
2024-05-09,93.302002
2024-05-10,93.781998
2024-05-13,93.767998
2024-05-14,94.07
2024-05-15,94.560997
2024-05-16,94.57
2024-05-17,95.139
2024-05-20,95.571999
2024-05-21,95.498001
2024-05-22,95.200996
2024-05-23,95.57
2024-05-24,95.698997
2024-05-27,96.015999
2024-05-28,96.481003
2024-05-29,96.554001
2024-05-30,96.342003
2024-05-31,95.985001
2024-06-03,96.627998
2024-06-04,96.653
2024-06-05,95.766998
2024-06-06,96.603996
2024-06-07,96.470001
2024-06-10,95.75
2024-06-11,96.223
2024-06-12,96.542999
2024-06-13,96.992996
2024-06-14,96.791
2024-06-17,96.678001
2024-06-18,96.755997
2024-06-19,96.927002
2024-06-20,96.960999
2024-06-21,97.295998
2024-06-24,97.679001
2024-06-25,97.722
2024-06-26,97.648003
2024-06-27,97.633003
2024-06-28,97.760002
2024-07-01,98.125999
2024-07-02,97.941002
2024-07-03,98.217003
2024-07-04,98.685997
2024-07-05,98.625999
2024-07-08,98.634003
2024-07-09,98.612999
2024-07-10,98.835999
2024-07-11,98.371002
2024-07-12,96.361
2024-07-15,96.483002
2024-07-16,96.080002
2024-07-17,96.089211
2024-07-18,94.644997
2024-07-19,94.963997
2024-07-22,94.639999
2024-07-23,93.781998
2024-07-24,92.690002
2024-07-25,91.196999
2024-07-26,90.500999
2024-07-29,90.758003
2024-07-30,90.389999
2024-07-31,90.086998
2024-08-01,89.110001
2024-08-02,88.555
2024-08-05,87.290001
2024-08-06,86.720001
2024-08-07,86.431
2024-08-08,87.466003
2024-08-09,88.658997
2024-08-12,88.137001
2024-08-13,88.511002
2024-08-14,89.32
2024-08-15,88.348999
2024-08-16,89.228996
2024-08-19,89.611
2024-08-20,89.728996
2024-08-21,89.482002
2024-08-22,89.417
2024-08-23,89.804001
2024-08-26,89.612
2024-08-27,89.663002
2024-08-28,89.884003
2024-08-29,90.220001
2024-08-30,90.736
2024-09-02,91.407791
2024-09-03,91.401001
2024-09-04,89.908997
2024-09-05,88.641998
2024-09-06,89.239998
2024-09-09,87.918999
2024-09-10,87.93
2024-09-11,87.457001
2024-09-12,87.432999
2024-09-13,87.532997
2024-09-16,86.775002
2024-09-17,87.222
2024-09-18,87.950996
2024-09-19,88.591003
2024-09-20,89.080002
2024-09-23,89.800003
2024-09-24,90.008003
2024-09-25,90.802002
2024-09-26,90.524002
2024-09-27,91.825996
2024-09-30,90.653
2024-10-01,91.175003
2024-10-02,90.301003
2024-10-03,91.762001
2024-10-04,91.283997
2024-10-07,91.672997
2024-10-08,90.780998
2024-10-09,90.828003
2024-10-10,90.539001
2024-10-11,90.634003
2024-10-14,90.956001
2024-10-15,91.126999
2024-10-16,90.288002
2024-10-17,90.599998
2024-10-18,90.927002
2024-10-21,90.889999
2024-10-22,90.696999
2024-10-23,91.339996
2024-10-24,91.736
2024-10-25,91.172997
2024-10-28,91.433998
2024-10-29,91.692001
2024-10-30,91.508003
2024-10-31,91.469002
2024-11-01,90.739998
2024-11-04,91.163002
2024-11-05,90.949997
2024-11-06,91.032997
2024-11-07,91.632004
2024-11-08,92.220001
2024-11-11,91.213997
2024-11-12,91.599998
2024-11-13,91.589996
2024-11-14,91.424004
2024-11-15,91.485001
2024-11-18,90.672997
2024-11-19,91.067001
2024-11-20,91.57
2024-11-21,91.302002
2024-11-22,90.314003
2024-11-25,90.346001
2024-11-26,89.690002
2024-11-27,89.299004
2024-11-28,89.198997
2024-11-29,89.123001
2024-12-02,88.524002
2024-12-03,87.962997
2024-12-04,88.007004
2024-12-05,88.176003
2024-12-06,88.336998
2024-12-09,87.528
2024-12-10,88.696999
2024-12-11,88.059998
2024-12-12,88.193001
2024-12-13,87.953003
2024-12-16,88.537003
2024-12-17,89.228996
2024-12-18,88.414001
2024-12-19,86.870003
2024-12-20,88.698997
2024-12-23,88.450996
2024-12-24,88.734459
2024-12-25,88.668999
2024-12-26,88.774002
2024-12-27,88.719002
2024-12-30,89.014999
2024-12-31,88.524002
2025-01-02,88.244003
2025-01-03,87.998001
2025-01-06,88.429001
2025-01-07,88.939003
2025-01-08,89.155998
2025-01-09,88.663002
2025-01-10,88.390999
2025-01-13,87.846001
2025-01-14,88.172997
2025-01-15,88.539001
2025-01-16,87.931
2025-01-17,87.107002
2025-01-20,87.318001
2025-01-21,88.190002
2025-01-22,88.161003
2025-01-23,88.583
2025-01-24,88.607002
2025-01-27,88.644997
2025-01-28,87.787003
2025-01-29,88.112
2025-01-30,87.885002
2025-01-31,86.832001
2025-02-03,86.512001
2025-02-04,87.350998
2025-02-05,87.043999
2025-02-06,86.797997
2025-02-07,85.778
2025-02-10,85.731003
2025-02-11,85.500999
2025-02-12,86.418999
2025-02-13,86.998001
2025-02-14,86.875
2025-02-17,87.132004
2025-02-18,86.790001
2025-02-19,86.651001
2025-02-20,86.198997
2025-02-21,86.100998
2025-02-24,85.891998
2025-02-25,85.799004
2025-02-26,85.419998
2025-02-27,84.811996
2025-02-28,84.390999
2025-03-03,84.487999
2025-03-04,83.769997
2025-03-05,84.788002
2025-03-06,85.289001
2025-03-07,84.942001
2025-03-10,84.271004
2025-03-11,83.735001
2025-03-12,84.542
2025-03-13,85.045998
2025-03-14,84.355003
2025-03-17,85.458
2025-03-18,86.986
2025-03-19,86.931
2025-03-20,86.420998
2025-03-21,85.598999
2025-03-24,85.972
2025-03-25,86.328003
2025-03-26,85.949997
2025-03-27,86.010002
2025-03-28,86.509003
2025-03-31,85.362999
2025-04-01,84.986
2025-04-02,85.561996
2025-04-03,84.672997
2025-04-04,84.595001
2025-04-07,82.251801
2025-04-08,81.811996
2025-04-09,80.457001
2025-04-10,83.071999
2025-04-11,82.603996
2025-04-14,83.839996
2025-04-15,84.007004
2025-04-16,84.388
2025-04-17,84.202003
2025-04-22,84.489998
2025-04-23,85.030998
2025-04-24,85.231003
2025-04-25,85.535004
2025-04-28,85.555
2025-04-29,84.887001
2025-04-30,84.458
2025-05-01,84.902
2025-05-02,85.989998
2025-05-05,86.061996
2025-05-06,85.616997
2025-05-07,86.014999
2025-05-08,85.424004
2025-05-09,86.116997
2025-05-12,86.317001
2025-05-13,86.906998
2025-05-14,87.550003
2025-05-15,86.442001
2025-05-16,85.507004
2025-05-19,85.514
2025-05-20,85.962997
2025-05-21,85.528
2025-05-22,85.274002
2025-05-23,84.821999
2025-05-26,85.579002
2025-05-27,85.497002
2025-05-28,85.738998
2025-05-29,86.801003
2025-05-30,85.931999
2025-06-02,85.880997
2025-06-03,86.132004
2025-06-04,86.369003
2025-06-05,86.010002
2025-06-06,86.710999
2025-06-09,87.143997
2025-06-10,87.443001
2025-06-11,87.731003
2025-06-12,87.030998
2025-06-13,86.820999
2025-06-16,86.934853
2025-06-17,87.499001
2025-06-18,87.459
2025-06-19,87.349998
2025-06-20,87.121002
2025-06-23,87.157997
2025-06-24,87.467003
2025-06-25,87.113998
2025-06-26,87.726997
2025-06-27,87.629997
2025-06-30,87.606003
2025-07-01,87.589996
2025-07-02,87.473
2025-07-03,87.377998
2025-07-04,87.949997
2025-07-07,87.417
2025-07-08,87.627998
2025-07-09,87.994003
2025-07-10,87.624001
2025-07-11,88.361
2025-07-14,88.455002
2025-07-15,88.237999
2025-07-16,88.555
2025-07-17,87.978996
2025-07-18,88.216003
2025-07-21,88.337997
2025-07-22,87.959999
2025-07-23,88.051003
2025-07-24,88.487
2025-07-25,88.725998
2025-07-28,88.940002
2025-07-29,88.648003
2025-07-30,88.369003
2025-07-31,88.136002
2025-08-01,88.75
2025-08-04,87.119003
2025-08-05,86.835999
2025-08-06,87.175003
2025-08-07,87.242996
2025-08-08,87.640999
2025-08-11,87.828003
2025-08-12,87.970001
2025-08-13,88.010002
2025-08-14,87.971382
2025-08-15,87.427002
2025-08-18,87.287003
2025-08-19,87.606003
2025-08-20,87.106003
2025-08-21,85.841003
2025-08-22,86.374001
2025-08-25,86.321297
2025-08-26,86.444
2025-08-27,86.365005
2025-08-28,86.322998
2025-08-29,86.369003
2025-09-01,86.724998
2025-09-02,86.856003
2025-09-03,87.059998
2025-09-04,87.008003
2025-09-05,86.794998
2025-09-08,87.343002
2025-09-09,87.587997
2025-09-10,87.331001
2025-09-11,87.540001
2025-09-12,87.980003
2025-09-15,87.888
2025-09-16,87.971001
2025-09-17,87.678001
2025-09-18,87.146004
2025-09-19,87.139999
2025-09-22,86.634003
2025-09-23,86.660004
2025-09-24,86.434998
2025-09-25,86.511002
2025-09-26,86.346001
2025-09-29,86.306999
2025-09-30,85.888
2025-10-01,85.757004
2025-10-02,85.614998
2025-10-03,85.613998
2025-10-06,87.125
2025-10-07,87.790001
2025-10-08,88.134003
2025-10-09,88.280998
2025-10-10,87.975998
2025-10-13,87.059998
2025-10-14,87.137001
2025-10-15,86.677002
2025-10-16,86.279999
2025-10-17,85.950996
2025-10-20,86.472
2025-10-21,86.588997
2025-10-22,87.203003
2025-10-23,87.154999
2025-10-24,87.807999
2025-10-27,88.147003
2025-10-28,88.166
2025-10-29,87.737999
2025-10-30,88.011002
2025-10-31,88.399002
2025-11-03,88.228996
2025-11-04,87.980003
2025-11-05,86.625999
2025-11-06,87.299004
2025-11-07,86.228996
2025-11-10,86.537003
2025-11-11,86.973
2025-11-12,87.149002
2025-11-13,87.559998
2025-11-14,87.363998
2025-11-17,87.731003
2025-11-18,87.769997
2025-11-19,88.011002
2025-11-20,88.129997
2025-11-21,87.985001
2025-11-24,87.932999
2025-11-25,88.086998
2025-11-26,87.845848
2025-11-27,89.124001
2025-11-28,89.519997
2025-12-01,89.422997
2025-12-02,89.060997
2025-12-03,89.425003
2025-12-04,89.541
2025-12-05,89.330002
2025-12-08,89.714996
