date,rate
2024-03-27,0.808083
2024-03-28,0.80784
2024-03-29,0.806221
2024-04-01,0.806744
2024-04-02,0.804911
2024-04-03,0.806627
2024-04-04,0.810659
2024-04-05,0.812744
2024-04-08,0.80998
2024-04-09,0.81291
2024-04-10,0.815608
2024-04-11,0.80878
2024-04-12,0.81163
2024-04-15,0.80861
2024-04-16,0.804495
2024-04-17,0.803945
2024-04-18,0.8037
2024-04-19,0.803975
2024-04-22,0.80306
2024-04-23,0.806
2024-04-24,0.807788
2024-04-25,0.8081
2024-04-26,0.809722
2024-04-29,0.809656
2024-04-30,0.812183
2024-05-01,0.802609
2024-05-02,0.806383
2024-05-03,0.807337
2024-05-06,0.81139
2024-05-07,0.812229
2024-05-08,0.812125
2024-05-09,0.813782
2024-05-10,0.815928
2024-05-13,0.81515
2024-05-14,0.81479
2024-05-15,0.816978
2024-05-16,0.823585
2024-05-17,0.824105
2024-05-20,0.825241
2024-05-21,0.822912
2024-05-22,0.820886
2024-05-23,0.823506
2024-05-24,0.824145
2024-05-27,0.8257
2024-05-28,0.829613
2024-05-29,0.82808
2024-05-30,0.826486
2024-05-31,0.82566
2024-06-03,0.830347
2024-06-04,0.833073
2024-06-05,0.831293
2024-06-06,0.834539
2024-06-07,0.833695
2024-06-10,0.825582
2024-06-11,0.82881
2024-06-12,0.831477
2024-06-13,0.833859
2024-06-14,0.832311
2024-06-17,0.830597
2024-06-18,0.828773
2024-06-19,0.829637
2024-06-20,0.829093
2024-06-21,0.829074
2024-06-24,0.82823
2024-06-25,0.82783
2024-06-26,0.82879
2024-06-27,0.826087
2024-06-28,0.826219
2024-07-01,0.826466
2024-07-02,0.823362
2024-07-03,0.824637
2024-07-04,0.826376
2024-07-05,0.826207
2024-07-08,0.827928
2024-07-09,0.827305
2024-07-10,0.827482
2024-07-11,0.82091
2024-07-12,0.817934
2024-07-15,0.818538
2024-07-16,0.81633
2024-07-17,0.815609
2024-07-18,0.814263
2024-07-19,0.81191
2024-07-22,0.809628
2024-07-23,0.804545
2024-07-24,0.801041
2024-07-25,0.796439
2024-07-26,0.79097
2024-07-29,0.790782
2024-07-30,0.789242
2024-07-31,0.79184
2024-08-01,0.795218
2024-08-02,0.79341
2024-08-05,0.788274
2024-08-06,0.78855
2024-08-07,0.79176
2024-08-08,0.79384
2024-08-09,0.796486
2024-08-12,0.793809
2024-08-13,0.797289
2024-08-14,0.800603
2024-08-15,0.78998
2024-08-16,0.790699
2024-08-19,0.79688
2024-08-20,0.800002
2024-08-21,0.803073
2024-08-22,0.804317
2024-08-23,0.804794
2024-08-26,0.809752
2024-08-27,0.808976
2024-08-28,0.812558
2024-08-29,0.814274
2024-08-30,0.815757
2024-09-02,0.815829
2024-09-03,0.814283
2024-09-04,0.808544
2024-09-05,0.806225
2024-09-06,0.80894
2024-09-09,0.804203
2024-09-10,0.802049
2024-09-11,0.801974
2024-09-12,0.79989
2024-09-13,0.804572
2024-09-16,0.79961
2024-09-17,0.80265
2024-09-18,0.802334
2024-09-19,0.804678
2024-09-20,0.806007
2024-09-23,0.804782
2024-09-24,0.808961
2024-09-25,0.81443
2024-09-26,0.806938
2024-09-27,0.81283
2024-09-30,0.812604
2024-10-01,0.81526
2024-10-02,0.80912
2024-10-03,0.80883
2024-10-04,0.80599
2024-10-07,0.803711
2024-10-08,0.799013
2024-10-09,0.7992
2024-10-10,0.793553
2024-10-11,0.79593
2024-10-14,0.796373
2024-10-15,0.796401
2024-10-16,0.793063
2024-10-17,0.795657
2024-10-18,0.79638
2024-10-21,0.7959
2024-10-22,0.792985
2024-10-23,0.795462
2024-10-24,0.794494
2024-10-25,0.792291
2024-10-28,0.791139
2024-10-29,0.791645
2024-10-30,0.79017
2024-10-31,0.78943
2024-11-01,0.787571
2024-11-04,0.791409
2024-11-05,0.78817
2024-11-06,0.79012
2024-11-07,0.791279
2024-11-08,0.795274
2024-11-11,0.792041
2024-11-12,0.7955
2024-11-13,0.792944
2024-11-14,0.78988
2024-11-15,0.787431
2024-11-18,0.786969
2024-11-19,0.788355
2024-11-20,0.79114
2024-11-21,0.789101
