date,rate
2024-03-27,112.568001
2024-03-28,112.143997
2024-03-29,112.177002
2024-04-01,112.3032
2024-04-02,112.068001
2024-04-03,112.129997
2024-04-04,112.445
2024-04-05,112.182999
2024-04-08,112.393501
2024-04-09,112.675003
2024-04-10,112.860001
2024-04-11,112.967003
2024-04-12,113.234001
2024-04-15,112.674004
2024-04-16,113.129997
2024-04-17,113.350998
2024-04-18,113.452003
2024-04-19,113.505997
2024-04-22,113.583
2024-04-23,113.662003
2024-04-24,113.690002
2024-04-25,114.011002
2024-04-26,114.476997
2024-04-29,116.162903
2024-04-30,114.783997
2024-05-01,115.543999
2024-05-02,114.482002
2024-05-03,113.056
2024-05-06,113.667
2024-05-07,114.101997
2024-05-08,114.221001
2024-05-09,114.650002
2024-05-10,114.898003
2024-05-13,115.007004
2024-05-14,115.463997
2024-05-15,115.737
2024-05-16,114.821999
2024-05-17,115.440002
2024-05-20,115.804001
2024-05-21,116.0159
2024-05-22,115.972
2024-05-23,116.028999
2024-05-24,116.119003
2024-05-27,116.185997
2024-05-28,116.293999
2024-05-29,116.584999
2024-05-30,116.557999
2024-05-31,116.237
2024-06-03,116.362999
2024-06-04,115.9795
2024-06-05,115.183998
2024-06-06,115.6586
2024-06-07,115.707001
2024-06-10,115.945999
2024-06-11,116.0625
2024-06-12,116.111
2024-06-13,116.297997
2024-06-14,116.258003
2024-06-17,116.387001
2024-06-18,116.686996
2024-06-19,116.832001
2024-06-20,116.947998
2024-06-21,117.357002
2024-06-24,117.901703
2024-06-25,118.023003
2024-06-26,117.873001
2024-06-27,118.198997
2024-06-28,118.315002
2024-07-01,118.723
2024-07-02,118.945999
2024-07-03,119.068001
2024-07-04,119.422997
2024-07-05,119.349602
2024-07-08,119.060699
2024-07-09,119.184998
2024-07-10,119.441002
2024-07-11,119.824997
2024-07-12,117.843002
2024-07-15,117.864998
2024-07-16,117.698997
2024-07-17,117.803001
2024-07-18,116.192001
2024-07-19,116.946999
2024-07-22,117.108002
2024-07-23,116.566002
2024-07-24,115.737999
2024-07-25,114.519997
2024-07-26,114.414001
2024-07-29,114.764999
2024-07-30,114.531998
2024-07-31,113.762001
2024-08-01,112.052002
2024-08-02,111.606003
2024-08-05,109.806999
2024-08-06,108.7911
2024-08-07,108.848198
2024-08-08,110.136002
2024-08-09,111.346001
2024-08-12,111.021004
2024-08-13,111.022003
2024-08-14,111.567001
2024-08-15,111.82
2024-08-16,112.845001
2024-08-19,112.435997
2024-08-20,112.147003
2024-08-21,111.384804
2024-08-22,111.163002
2024-08-23,111.583
2024-08-26,110.658997
2024-08-27,110.839996
2024-08-28,110.5979
2024-08-29,110.796997
2024-08-30,111.220001
2024-09-02,112.047798
2024-09-03,112.252998
2024-09-04,111.213997
2024-09-05,109.952003
2024-09-06,110.307999
2024-09-09,109.317001
2024-09-10,109.627998
2024-09-11,109.053001
2024-09-12,109.307999
2024-09-13,108.778
2024-09-16,108.507004
2024-09-17,108.652
2024-09-18,109.580002
2024-09-19,110.075996
2024-09-20,110.514
2024-09-23,111.559998
2024-09-24,111.255997
2024-09-25,111.473999
2024-09-26,112.166
2024-09-27,112.990997
2024-09-30,110.938599
2024-10-01,111.800003
2024-10-02,111.552002
2024-10-03,113.432999
2024-10-04,113.237999
2024-10-07,114.055
2024-10-08,113.605003
2024-10-09,113.585999
2024-10-10,114.0644
2024-10-11,113.856003
2024-10-14,114.206001
2024-10-15,114.417999
2024-10-16,113.841003
