date,rate
2024-03-27,1.52929
2024-03-28,1.533272
2024-03-29,1.5345
2024-04-01,1.53069
2024-04-02,1.54133
2024-04-03,1.535061
2024-04-04,1.522302
2024-04-05,1.51798
2024-04-08,1.52202
2024-04-09,1.514005
2024-04-10,1.508637
2024-04-11,1.536759
2024-04-12,1.52891
2024-04-15,1.54421
2024-04-16,1.552192
2024-04-17,1.559381
2024-04-18,1.55284
2024-04-19,1.556493
2024-04-22,1.55618
2024-04-23,1.5497
2024-04-24,1.541093
2024-04-25,1.539172
2024-04-26,1.53299
2024-04-29,1.528725
2024-04-30,1.523949
2024-05-01,1.543686
2024-05-02,1.530948
2024-05-03,1.521746
2024-05-06,1.51307
2024-05-07,1.50968
2024-05-08,1.517635
2024-05-09,1.520496
2024-05-10,1.510346
2024-05-13,1.51492
2024-05-14,1.5122
2024-05-15,1.5092
2024-05-16,1.4923
2024-05-17,1.4963
2024-05-20,1.49238
2024-05-21,1.49878
2024-05-22,1.499903
2024-05-23,1.51076
2024-05-24,1.51481
2024-05-27,1.50966
2024-05-28,1.50249
2024-05-29,1.504212
2024-05-30,1.512013
2024-05-31,1.508227
2024-06-03,1.5022
2024-06-04,1.49475
2024-06-05,1.504619
2024-06-06,1.502
2024-06-07,1.49934
2024-06-10,1.51913
2024-06-11,1.5131
2024-06-12,1.513386
2024-06-13,1.500848
2024-06-14,1.50759
2024-06-17,1.5122
2024-06-18,1.5101
2024-06-19,1.501231
2024-06-20,1.49806
2024-06-21,1.501344
2024-06-24,1.507159
2024-06-25,1.50272
2024-06-26,1.504936
2024-06-27,1.50494
2024-06-28,1.503624
2024-07-01,1.49835
2024-07-02,1.50272
2024-07-03,1.499633
2024-07-04,1.490113
2024-07-05,1.48697
2024-07-08,1.48223
2024-07-09,1.482975
2024-07-10,1.48335
2024-07-11,1.481087
2024-07-12,1.477432
2024-07-15,1.476669
2024-07-16,1.478568
2024-07-17,1.485443
2024-07-18,1.48573
2024-07-19,1.491313
2024-07-22,1.49336
2024-07-23,1.506
2024-07-24,1.51238
2024-07-25,1.520959
2024-07-26,1.528351
2024-07-29,1.525553
2024-07-30,1.52639
2024-07-31,1.528701
2024-08-01,1.527417
2024-08-02,1.53967
2024-08-05,1.53912
2024-08-06,1.534802
2024-08-07,1.534919
2024-08-08,1.53469
2024-08-09,1.51699
2024-08-12,1.52212
2024-08-13,1.51853
2024-08-14,1.506342
2024-08-15,1.51515
2024-08-16,1.51229
2024-08-19,1.49858
2024-08-20,1.48471
2024-08-21,1.48208
2024-08-22,1.481547
2024-08-23,1.490713
2024-08-26,1.47323
2024-08-27,1.47647
2024-08-28,1.47321
2024-08-29,1.474252
2024-08-30,1.471497
2024-09-02,1.477541
2024-09-03,1.47334
2024-09-04,1.489425
2024-09-05,1.48894
2024-09-06,1.483569
2024-09-09,1.49907
2024-09-10,1.50198
2024-09-11,1.503014
2024-09-12,1.497679
2024-09-13,1.486569
2024-09-16,1.48947
2024-09-17,1.481065
2024-09-18,1.4787
2024-09-19,1.478481
2024-09-20,1.46852
2024-09-23,1.46843
2024-09-24,1.46325
2024-09-25,1.448142
2024-09-26,1.465932
2024-09-27,1.450789
2024-09-30,1.44534
2024-10-01,1.445964
2024-10-02,1.45349
2024-10-03,1.45199
2024-10-04,1.45979
2024-10-07,1.47046
2024-10-08,1.480166
2024-10-09,1.483768
2024-10-10,1.488671
2024-10-11,1.48346
2024-10-14,1.48564
2024-10-15,1.486768
2024-10-16,1.49654
2024-10-17,1.5004
2024-10-18,1.4926
2024-10-21,1.4888
2024-10-22,1.50306
2024-10-23,1.495663
2024-10-24,1.506932
2024-10-25,1.5067
2024-10-28,1.51437
2024-10-29,1.51914
2024-10-30,1.523693
2024-10-31,1.521422
2024-11-01,1.520496
2024-11-04,1.51701
2024-11-05,1.51881
2024-11-06,1.505684
2024-11-07,1.522765
2024-11-08,1.49772
2024-11-11,1.5187
2024-11-12,1.52031
2024-11-13,1.531534
2024-11-14,1.54019
2024-11-15,1.549067
2024-11-18,1.54717
2024-11-19,1.537066
2024-11-20,1.528701
2024-11-21,1.535155
2024-11-22,1.53603
2024-11-25,1.52908
2024-11-26,1.547078
2024-11-27,1.54436
2024-11-28,1.53912
2024-11-29,1.536712
2024-12-02,1.53789
2024-12-03,1.54433
2024-12-04,1.5419
2024-12-05,1.5545
2024-12-06,1.550412
2024-12-09,1.56252
2024-12-10,1.5533
2024-12-11,1.568381
2024-12-12,1.56644
2024-12-13,1.568627
2024-12-16,1.57057
2024-12-17,1.568283
2024-12-18,1.577
2024-12-19,1.611292
2024-12-20,1.604107
2024-12-23,1.59926
2024-12-24,1.6013
2024-12-25,1.6028
2024-12-26,1.60139
2024-12-27,1.60694
2024-12-30,1.6064
2024-12-31,1.607717
2025-01-02,1.614413
2025-01-03,1.612695
2025-01-06,1.60769
2025-01-07,1.602795
2025-01-08,1.60387
2025-01-09,1.60989
2025-01-10,1.615587
2025-01-13,1.6247
2025-01-14,1.614961
2025-01-15,1.61509
2025-01-16,1.603746
2025-01-17,1.610228
2025-01-20,1.6141
2025-01-21,1.592103
2025-01-22,1.59693
2025-01-23,1.593625
2025-01-24,1.59153
2025-01-27,1.58909
2025-01-28,1.596475
2025-01-29,1.59883
2025-01-30,1.60262
2025-01-31,1.60901
2025-02-03,1.62755
2025-02-04,1.60839
2025-02-05,1.59972
2025-02-06,1.59097
2025-02-07,1.5919
2025-02-10,1.597725
2025-02-11,1.59457
2025-02-12,1.58773
2025-02-13,1.5916
2025-02-14,1.58305
2025-02-17,1.57319
2025-02-18,1.57329
2025-02-19,1.57403
2025-02-20,1.57697
2025-02-21,1.5615
2025-02-24,1.56978
2025-02-25,1.57776
2025-02-26,1.57409
2025-02-27,1.58459
2025-02-28,1.60457
2025-03-03,1.60754
2025-03-04,1.6088
2025-03-05,1.5949
2025-03-06,1.57776
2025-03-07,1.57921
2025-03-10,1.58632
2025-03-11,1.59248
2025-03-12,1.58849
2025-03-13,1.58038
2025-03-14,1.59048
2025-03-17,1.58073
2025-03-18,1.56691
2025-03-19,1.57203
