date,rate
2024-03-27,4.9757
2024-03-28,4.9903
2024-03-29,5.0141
2024-04-01,5.0132
2024-04-02,5.0536
2024-04-03,5.0644
2024-04-04,5.0386
2024-04-05,5.0574
2024-04-08,5.0549
2024-04-09,5.0239
2024-04-10,5.0076
2024-04-11,5.0662
2024-04-12,5.0904
2024-04-15,5.1171
2024-04-16,5.1837
2024-04-17,5.2855
2024-04-18,5.2326
2024-04-19,5.2417
2024-04-22,5.2062
2024-04-23,5.1657
2024-04-24,5.1305
2024-04-25,5.1455
2024-04-26,5.1586
2024-04-29,5.1155
2024-04-30,5.117
2024-05-01,5.1939
2024-05-02,5.1944
2024-05-03,5.1103
2024-05-06,5.0709
2024-05-07,5.0749
2024-05-08,5.0733
2024-05-09,5.0879
2024-05-10,5.1408
2024-05-13,5.12326
2024-05-14,5.1542
2024-05-15,5.1278
2024-05-16,5.1336
2024-05-17,5.1286
2024-05-20,5.102
2024-05-21,5.1031
2024-05-22,5.1219
2024-05-23,5.1511
2024-05-24,5.1431
2024-05-27,5.1698
2024-05-28,5.1717
2024-05-29,5.1613
2024-05-30,5.2021
2024-05-31,5.2021
2024-06-03,5.2444
2024-06-04,5.249
2024-06-05,5.2877
2024-06-06,5.3004
2024-06-07,5.2571
2024-06-10,5.270441
2024-06-11,5.3528
2024-06-12,5.3649
2024-06-13,5.401
2024-06-14,5.3616
2024-06-17,5.3572
2024-06-18,5.424
2024-06-19,5.4399
2024-06-20,5.4224
2024-06-21,5.4524
2024-06-24,5.426126
2024-06-25,5.3893
2024-06-26,5.4507
2024-06-27,5.5225
2024-06-28,5.5005
2024-07-01,5.5919
2024-07-02,5.655
2024-07-03,5.6755
2024-07-04,5.5554
2024-07-05,5.4864
2024-07-08,5.47129
2024-07-09,5.4704
2024-07-10,5.4171
2024-07-11,5.4147
2024-07-12,5.438
2024-07-15,5.4228
2024-07-16,5.4468
2024-07-17,5.4243
2024-07-18,5.4877
2024-07-19,5.5432
2024-07-22,5.520872
2024-07-23,5.5707
2024-07-24,5.5853
2024-07-25,5.6536
2024-07-26,5.6431
2024-07-29,5.622841
2024-07-30,5.6145
2024-07-31,5.6111
2024-08-01,5.6566
2024-08-02,5.7506
2024-08-05,5.7267
2024-08-06,5.7209
2024-08-07,5.6555
2024-08-08,5.6358
2024-08-09,5.5461
2024-08-12,5.5063
2024-08-13,5.4919
2024-08-14,5.4557
2024-08-15,5.4689
2024-08-16,5.4849
2024-08-19,5.4713
2024-08-20,5.4056
2024-08-21,5.4781
2024-08-22,5.4825
2024-08-23,5.5909
2024-08-26,5.4854
2024-08-27,5.4957
2024-08-28,5.5079
2024-08-29,5.5622
2024-08-30,5.6277
2024-09-02,5.6092
2024-09-03,5.6151
2024-09-04,5.6475
2024-09-05,5.642
2024-09-06,5.5675
2024-09-09,5.5966
2024-09-10,5.5843
2024-09-11,5.6629
2024-09-12,5.6674
2024-09-13,5.6257
2024-09-16,5.61237
2024-09-17,5.5039
2024-09-18,5.4817
2024-09-19,5.461
2024-09-20,5.4239
2024-09-23,5.5136
2024-09-24,5.5361
2024-09-25,5.4497
2024-09-26,5.4738
2024-09-27,5.4367
2024-09-30,5.4332
2024-10-01,5.4485
2024-10-02,5.424
2024-10-03,5.4403
2024-10-04,5.4763
2024-10-07,5.4543
2024-10-08,5.4942
2024-10-09,5.5347
2024-10-10,5.5961
2024-10-11,5.5817
2024-10-14,5.6106
2024-10-15,5.5947
2024-10-16,5.652
2024-10-17,5.668
2024-10-18,5.6518
2024-10-21,5.6359
2024-10-22,5.6881
2024-10-23,5.6893
2024-10-24,5.6865
2024-10-25,5.664
2024-10-28,5.685813
2024-10-29,5.7102
2024-10-30,5.76
2024-10-31,5.7623
2024-11-01,5.7894
2024-11-04,5.677526
2024-11-05,5.7906
2024-11-06,5.7398
2024-11-07,5.6748
2024-11-08,5.691
2024-11-11,5.7364
2024-11-12,5.7554
2024-11-13,5.7482
2024-11-14,5.8059
2024-11-15,5.7883
2024-11-18,5.7946
2024-11-19,5.7464
2024-11-20,5.7718
2024-11-21,5.7707
2024-11-22,5.8141
2024-11-25,5.7993
2024-11-26,5.7972
2024-11-27,5.8096
2024-11-28,5.9374
2024-11-29,6.0139
2024-12-02,5.9732
2024-12-03,6.0568
2024-12-04,6.0431
2024-12-05,6.0388
2024-12-06,6.0103
2024-12-09,6.0883
2024-12-10,6.0766
2024-12-11,6.0453
2024-12-12,5.9527
2024-12-13,5.9961
2024-12-16,6.0409
2024-12-17,6.1473
2024-12-18,6.1032
2024-12-19,6.2889
2024-12-20,6.1516
2024-12-23,6.0842
2024-12-24,6.1939
2024-12-25,6.1756
2024-12-26,6.1828
2024-12-27,6.1485
2024-12-30,6.1937
2024-12-31,6.1779
2025-01-02,6.3
2025-01-03,6.151
2025-01-06,6.1807
2025-01-07,6.1155
2025-01-08,6.1009
2025-01-09,6.1058
2025-01-10,6.0346
2025-01-13,6.1059
2025-01-14,6.0934
2025-01-15,6.0548
2025-01-16,6.0122
2025-01-17,6.0499
2025-01-20,6.066163
2025-01-21,6.0298
2025-01-22,6.0205
2025-01-23,5.9403
2025-01-24,5.924
2025-01-27,5.9091
2025-01-28,5.8926
2025-01-29,5.8561
2025-01-30,5.8567
2025-01-31,5.8745
2025-02-03,5.8406
2025-02-04,5.8062
2025-02-05,5.7571
2025-02-06,5.8029
2025-02-07,5.7605
2025-02-10,5.8032
2025-02-11,5.7869
2025-02-12,5.7645
2025-02-13,5.7644
2025-02-14,5.7669
2025-02-17,5.7012
2025-02-18,5.7121
2025-02-19,5.6886
2025-02-20,5.7203
2025-02-21,5.7013
2025-02-24,5.731
2025-02-25,5.7778
2025-02-26,5.7403
2025-02-27,5.8017
2025-02-28,5.839
2025-03-03,5.8804
2025-03-04,6.0205
2025-03-05,5.8857
2025-03-06,5.7401
2025-03-07,5.763
2025-03-10,5.7829
2025-03-11,5.8529
2025-03-12,5.8086
2025-03-13,5.7978
2025-03-14,5.7985
2025-03-17,5.7406
2025-03-18,5.678069
2025-03-19,5.6721
2025-03-20,5.6481
2025-03-21,5.6739
2025-03-24,5.7296
2025-03-25,5.7608
2025-03-26,5.6984
2025-03-27,5.7335
2025-03-28,5.7393
2025-03-31,5.7581
2025-04-01,5.6984
2025-04-02,5.6813
2025-04-03,5.6637
2025-04-04,5.6306
2025-04-07,5.84003
2025-04-08,5.9136
2025-04-09,6.0133
2025-04-10,5.8181
2025-04-11,5.8843
2025-04-14,5.8642
2025-04-15,5.8542
2025-04-16,5.8846
2025-04-17,5.8654
2025-04-22,5.8071
2025-04-23,5.7199
2025-04-24,5.7034
2025-04-25,5.6787
2025-04-28,5.6847
2025-04-29,5.6529
2025-04-30,5.62
2025-05-01,5.6729
2025-05-02,5.6771
2025-05-05,5.6669
2025-05-06,5.6863
2025-05-07,5.7128
2025-05-08,5.7446
2025-05-09,5.6616
2025-05-12,5.6482
2025-05-13,5.6698
2025-05-14,5.600469
2025-05-15,5.6365
2025-05-16,5.6813
2025-05-19,5.658674
2025-05-20,5.6445
2025-05-21,5.6673
2025-05-22,5.6447
2025-05-23,5.7162
2025-05-26,5.6452
2025-05-27,5.6666
2025-05-28,5.6374
2025-05-29,5.6887
2025-05-30,5.6651
2025-06-02,5.7208
2025-06-03,5.6724
2025-06-04,5.6378
2025-06-05,5.6321
2025-06-06,5.5846
2025-06-09,5.5627
2025-06-10,5.557
2025-06-11,5.5721
2025-06-12,5.5358
2025-06-13,5.5373
2025-06-16,5.5389
2025-06-17,5.4908
2025-06-18,5.493
2025-06-19,5.4852
2025-06-20,5.49
2025-06-23,5.5184
2025-06-24,5.4938
2025-06-25,5.5103
2025-06-26,5.5579
2025-06-27,5.4771
