date,rate
2024-03-27,1.3581
2024-03-28,1.3586
2024-03-29,1.3536
2024-04-01,1.35219
2024-04-02,1.35737
2024-04-03,1.35643
2024-04-04,1.35238
2024-04-05,1.35445
2024-04-08,1.36041
2024-04-09,1.35708
2024-04-10,1.35729
2024-04-11,1.3687
2024-04-12,1.36869
2024-04-15,1.3758
2024-04-16,1.37863
2024-04-17,1.38188
2024-04-18,1.37718
2024-04-19,1.37693
2024-04-22,1.3739
2024-04-23,1.37005
2024-04-24,1.36606
2024-04-25,1.37042
2024-04-26,1.3658
2024-04-29,1.36559
2024-04-30,1.36667
2024-05-01,1.3777
2024-05-02,1.3723
2024-05-03,1.36662
2024-05-06,1.36915
2024-05-07,1.36709
2024-05-08,1.37332
2024-05-09,1.37272
2024-05-10,1.36778
2024-05-13,1.3677
2024-05-14,1.36657
2024-05-15,1.36528
2024-05-16,1.3597
2024-05-17,1.36146
2024-05-20,1.36079
2024-05-21,1.3621
2024-05-22,1.36403
2024-05-23,1.3689
2024-05-24,1.37321
2024-05-27,1.3666
2024-05-28,1.36289
2024-05-29,1.3646
2024-05-30,1.3717
2024-05-31,1.36833
2024-06-03,1.36189
2024-06-04,1.36287
2024-06-05,1.36762
2024-06-06,1.369
2024-06-07,1.36682
2024-06-10,1.3759
2024-06-11,1.37612
2024-06-12,1.37549
2024-06-13,1.37219
2024-06-14,1.3741
2024-06-17,1.3733
2024-06-18,1.37133
2024-06-19,1.37162
2024-06-20,1.37058
2024-06-21,1.36847
2024-06-24,1.37013
2024-06-25,1.36579
2024-06-26,1.36611
2024-06-27,1.37045
2024-06-28,1.36993
2024-07-01,1.36727
2024-07-02,1.37378
2024-07-03,1.36768
2024-07-04,1.36333
2024-07-05,1.36152
2024-07-08,1.3638
2024-07-09,1.36295
2024-07-10,1.363
2024-07-11,1.36172
2024-07-12,1.36244
2024-07-15,1.3646
2024-07-16,1.3676
2024-07-17,1.36695
2024-07-18,1.36787
2024-07-19,1.3702
2024-07-22,1.3707
2024-07-23,1.37612
2024-07-24,1.37858
2024-07-25,1.38103
2024-07-26,1.38193
2024-07-29,1.3828
2024-07-30,1.38558
2024-07-31,1.38496
2024-08-01,1.38083
2024-08-02,1.38806
2024-08-05,1.38831
2024-08-06,1.38053
2024-08-07,1.37865
2024-08-08,1.37547
2024-08-09,1.37354
2024-08-12,1.37359
2024-08-13,1.37423
2024-08-14,1.37091
2024-08-15,1.37157
2024-08-16,1.37336
2024-08-19,1.36783
2024-08-20,1.363
2024-08-21,1.36173
2024-08-22,1.35833
2024-08-23,1.36034
2024-08-26,1.3508
2024-08-27,1.34821
2024-08-28,1.34477
2024-08-29,1.3477
2024-08-30,1.34891
2024-09-02,1.3489
2024-09-03,1.34973
2024-09-04,1.35434
2024-09-05,1.35081
2024-09-06,1.35001
2024-09-09,1.35621
2024-09-10,1.3564
2024-09-11,1.36096
2024-09-12,1.35784
2024-09-13,1.35758
2024-09-16,1.35777
2024-09-17,1.35863
2024-09-18,1.35921
2024-09-19,1.36107
2024-09-20,1.35627
2024-09-23,1.35642
2024-09-24,1.35295
2024-09-25,1.3421
2024-09-26,1.34822
2024-09-27,1.34757
2024-09-30,1.35088
2024-10-01,1.35272
2024-10-02,1.34946
2024-10-03,1.35049
2024-10-04,1.35482
2024-10-07,1.35792
2024-10-08,1.3618
2024-10-09,1.3652
2024-10-10,1.37093
2024-10-11,1.37457
2024-10-14,1.37812
2024-10-15,1.38029
2024-10-16,1.37811
2024-10-17,1.3755
2024-10-18,1.37957
2024-10-21,1.37996
2024-10-22,1.38335
2024-10-23,1.38162
2024-10-24,1.38367
2024-10-25,1.38533
2024-10-28,1.38956
2024-10-29,1.38898
2024-10-30,1.39128
2024-10-31,1.3908
2024-11-01,1.39352
2024-11-04,1.39188
2024-11-05,1.39007
2024-11-06,1.3833
2024-11-07,1.39482
2024-11-08,1.38673
2024-11-11,1.39078
2024-11-12,1.39215
2024-11-13,1.39455
2024-11-14,1.39927
2024-11-15,1.40615
2024-11-18,1.40859
2024-11-19,1.40224
2024-11-20,1.3955
2024-11-21,1.3968
2024-11-22,1.398
2024-11-25,1.39328
2024-11-26,1.40984
2024-11-27,1.40531
2024-11-28,1.40263
2024-11-29,1.40072
2024-12-02,1.40126
2024-12-03,1.4043
2024-12-04,1.40659
2024-12-05,1.40731
2024-12-06,1.40215
2024-12-09,1.41478
2024-12-10,1.4172
2024-12-11,1.41744
2024-12-12,1.41489
2024-12-13,1.42172
2024-12-16,1.42259
2024-12-17,1.42347
2024-12-18,1.43097
2024-12-19,1.4461
2024-12-20,1.44031
2024-12-23,1.43613
2024-12-24,1.43742
2024-12-25,1.4362
2024-12-26,1.43536
2024-12-27,1.44104
2024-12-30,1.44034
2024-12-31,1.43498
2025-01-02,1.43746
2025-01-03,1.4403
2025-01-06,1.444
2025-01-07,1.43386
2025-01-08,1.43641
2025-01-09,1.4377
2025-01-10,1.44016
2025-01-13,1.44149
2025-01-14,1.43628
2025-01-15,1.43515
2025-01-16,1.43262
2025-01-17,1.43958
2025-01-20,1.44743
2025-01-21,1.43026
2025-01-22,1.43427
2025-01-23,1.43936
2025-01-24,1.43784
2025-01-27,1.43851
2025-01-28,1.4401
2025-01-29,1.43999
2025-01-30,1.4399
2025-01-31,1.4493
2025-02-03,1.4717
2025-02-04,1.4418
2025-02-05,1.4334
2025-02-06,1.43153
2025-02-07,1.43061
2025-02-10,1.43318
2025-02-11,1.43366
2025-02-12,1.42851
2025-02-13,1.43007
2025-02-14,1.41921
2025-02-17,1.4184
2025-02-18,1.4185
2025-02-19,1.41892
2025-02-20,1.42404
2025-02-21,1.4176
2025-02-24,1.42116
2025-02-25,1.4276
2025-02-26,1.43007
2025-02-27,1.4336
2025-02-28,1.44435
2025-03-03,1.4441
2025-03-04,1.449
2025-03-05,1.43971
2025-03-06,1.43386
2025-03-07,1.42911
2025-03-10,1.43702
2025-03-11,1.44289
2025-03-12,1.44324
2025-03-13,1.43617
2025-03-14,1.44258
2025-03-17,1.43692
2025-03-18,1.42951
2025-03-19,1.42995
2025-03-20,1.4319
2025-03-21,1.43227
2025-03-24,1.43327
2025-03-25,1.43161
2025-03-26,1.4273
2025-03-27,1.4295
2025-03-28,1.43075
2025-03-31,1.43091
2025-04-01,1.43907
2025-04-02,1.42921
2025-04-03,1.42165
2025-04-04,1.4081
2025-04-07,1.42411
2025-04-08,1.42378
2025-04-09,1.4253
2025-04-10,1.41013
2025-04-11,1.3951
2025-04-14,1.38739
2025-04-15,1.39
2025-04-16,1.3957
2025-04-17,1.38597
2025-04-22,1.38343
2025-04-23,1.38471
2025-04-24,1.38741
2025-04-25,1.3858
2025-04-28,1.38708
2025-04-29,1.38301
2025-04-30,1.38268
2025-05-01,1.37896
2025-05-02,1.38465
2025-05-05,1.38223
2025-05-06,1.38219
2025-05-07,1.37694
2025-05-08,1.38342
2025-05-09,1.39245
2025-05-12,1.3924
2025-05-13,1.39742
2025-05-14,1.3932
2025-05-15,1.3979
2025-05-16,1.39547
2025-05-19,1.39526
2025-05-20,1.39569
2025-05-21,1.39093
2025-05-22,1.38608
2025-05-23,1.3858
2025-05-26,1.37372
2025-05-27,1.37358
2025-05-28,1.381
2025-05-29,1.38511
2025-05-30,1.38057
2025-06-02,1.37262
2025-06-03,1.37107
2025-06-04,1.3715
2025-06-05,1.36791
2025-06-06,1.36667
2025-06-09,1.36906
2025-06-10,1.36989
2025-06-11,1.36683
2025-06-12,1.36657
2025-06-13,1.35965
2025-06-16,1.3584
2025-06-17,1.35745
2025-06-18,1.36836
2025-06-19,1.3696
2025-06-20,1.36955
2025-06-23,1.37393
2025-06-24,1.37286
2025-06-25,1.37266
2025-06-26,1.3712
2025-06-27,1.36431
2025-06-30,1.36814
2025-07-01,1.36054
2025-07-02,1.36443
2025-07-03,1.35871
2025-07-04,1.3573
2025-07-07,1.36033
2025-07-08,1.36653
2025-07-09,1.36684
2025-07-10,1.3684
2025-07-11,1.36563
2025-07-14,1.3684
2025-07-15,1.37047
2025-07-16,1.37164
2025-07-17,1.36893
2025-07-18,1.37359
2025-07-21,1.3724
2025-07-22,1.36758
2025-07-23,1.36043
2025-07-24,1.36015
2025-07-25,1.36406
2025-07-28,1.37021
2025-07-29,1.37343
2025-07-30,1.37739
2025-07-31,1.38252
2025-08-01,1.3857
2025-08-04,1.37783
2025-08-05,1.3768
2025-08-06,1.37707
2025-08-07,1.37392
2025-08-08,1.37325
2025-08-11,1.37527
2025-08-12,1.37737
2025-08-13,1.37696
2025-08-14,1.37521
2025-08-15,1.38131
2025-08-18,1.3815
2025-08-19,1.38021
2025-08-20,1.3866
2025-08-21,1.38728
2025-08-22,1.39004
2025-08-25,1.38288
2025-08-26,1.38593
2025-08-27,1.38334
2025-08-28,1.37814
2025-08-29,1.37498
2025-09-01,1.37384
2025-09-02,1.37474
2025-09-03,1.37845
2025-09-04,1.37931
2025-09-05,1.3815
2025-09-08,1.3834
2025-09-09,1.3795
2025-09-10,1.38466
2025-09-11,1.38605
2025-09-12,1.38337
2025-09-15,1.3839
2025-09-16,1.3774
2025-09-17,1.37388
2025-09-18,1.37699
