date,rate
2024-03-27,0.90365
2024-03-28,0.9055
2024-03-29,0.90107
2024-04-01,0.902
2024-04-02,0.90507
2024-04-03,0.90782
2024-04-04,0.90289
2024-04-05,0.90151
2024-04-08,0.90317
2024-04-09,0.90501
2024-04-10,0.90298
2024-04-11,0.91304
2024-04-12,0.90983
2024-04-15,0.91377
2024-04-16,0.9116
2024-04-17,0.91256
2024-04-18,0.9104
2024-04-19,0.9121
2024-04-22,0.910983
2024-04-23,0.91189
2024-04-24,0.9114
2024-04-25,0.91444
2024-04-26,0.91252
2024-04-29,0.913688
2024-04-30,0.91072
2024-05-01,0.91949
2024-05-02,0.91636
2024-05-03,0.90977
2024-05-06,0.90594
2024-05-07,0.9067
2024-05-08,0.90848
2024-05-09,0.90799
2024-05-10,0.90585
2024-05-13,0.90645
2024-05-14,0.9079
2024-05-15,0.9067
2024-05-16,0.90053
2024-05-17,0.90599
2024-05-20,0.9087
2024-05-21,0.91012
2024-05-22,0.91116
2024-05-23,0.915
2024-05-24,0.91433
2024-05-27,0.9144
2024-05-28,0.9132
2024-05-29,0.91229
2024-05-30,0.9128
2024-05-31,0.90331
2024-06-03,0.90132
2024-06-04,0.89502
2024-06-05,0.88995
2024-06-06,0.8925
2024-06-07,0.88972
2024-06-10,0.8961
2024-06-11,0.89658
2024-06-12,0.89778
2024-06-13,0.89426
2024-06-14,0.89393
2024-06-17,0.89073
2024-06-18,0.8883
2024-06-19,0.88418
2024-06-20,0.8843
2024-06-21,0.89149
2024-06-24,0.8941
2024-06-25,0.89319
2024-06-26,0.8952
2024-06-27,0.8967
2024-06-28,0.89852
2024-07-01,0.9002
2024-07-02,0.90316
2024-07-03,0.90369
2024-07-04,0.90076
2024-07-05,0.90025
2024-07-08,0.89523
2024-07-09,0.89781
2024-07-10,0.8974
2024-07-11,0.8992
2024-07-12,0.89603
2024-07-15,0.89689
2024-07-16,0.89547
2024-07-17,0.89322
2024-07-18,0.88235
2024-07-19,0.8873
2024-07-22,0.88801
2024-07-23,0.8895
2024-07-24,0.89152
2024-07-25,0.88502
2024-07-26,0.88064
2024-07-29,0.8843
2024-07-30,0.8861
2024-07-31,0.88203
2024-08-01,0.87814
2024-08-02,0.8729
2024-08-05,0.8561
2024-08-06,0.85483
2024-08-07,0.85255
2024-08-08,0.85927
2024-08-09,0.86685
2024-08-12,0.86504
2024-08-13,0.86473
2024-08-14,0.86505
2024-08-15,0.864806
2024-08-16,0.87249
2024-08-19,0.86758
2024-08-20,0.86237
2024-08-21,0.85356
2024-08-22,0.8511
2024-08-23,0.8517
2024-08-26,0.84732
2024-08-27,0.8471
2024-08-28,0.84172
2024-08-29,0.84182
2024-08-30,0.84694
2024-09-02,0.8505
2024-09-03,0.85137
2024-09-04,0.84993
2024-09-05,0.84604
2024-09-06,0.84381
2024-09-09,0.84394
2024-09-10,0.84945
2024-09-11,0.84662
2024-09-12,0.8526
2024-09-13,0.84988
2024-09-16,0.8477
2024-09-17,0.84458
2024-09-18,0.84633
2024-09-19,0.8473
2024-09-20,0.84778
2024-09-23,0.8509
2024-09-24,0.84732
2024-09-25,0.84151
2024-09-26,0.85057
2024-09-27,0.84624
2024-09-30,0.8405
2024-10-01,0.84531
2024-10-02,0.84634
2024-10-03,0.84991
2024-10-04,0.85181
2024-10-07,0.85869
2024-10-08,0.85458
2024-10-09,0.8574
2024-10-10,0.86047
2024-10-11,0.85655
2024-10-14,0.8583
2024-10-15,0.8621
2024-10-16,0.86254
2024-10-17,0.8653
2024-10-18,0.86593
2024-10-21,0.86493
2024-10-22,0.86541
2024-10-23,0.86553
2024-10-24,0.86674
2024-10-25,0.86587
2024-10-28,0.86846
2024-10-29,0.86486
2024-10-30,0.86722
2024-10-31,0.8663
2024-11-01,0.86354
2024-11-04,0.8676
2024-11-05,0.86417
2024-11-06,0.86241
2024-11-07,0.8757
2024-11-08,0.87278
2024-11-11,0.876
2024-11-12,0.88027
2024-11-13,0.88216
2024-11-14,0.88577
2024-11-15,0.89044
2024-11-18,0.88867
2024-11-19,0.8832
2024-11-20,0.88207
2024-11-21,0.88365
2024-11-22,0.8869
2024-11-25,0.89047
2024-11-26,0.8888
2024-11-27,0.88627
2024-11-28,0.882
2024-11-29,0.88234
2024-12-02,0.882027
2024-12-03,0.88628
2024-12-04,0.8864
2024-12-05,0.88375
2024-12-06,0.87842
2024-12-09,0.87867
2024-12-10,0.87859
2024-12-11,0.8825
2024-12-12,0.88321
2024-12-13,0.89201
2024-12-16,0.891744
2024-12-17,0.89404
2024-12-18,0.89248
2024-12-19,0.9017
2024-12-20,0.89899
2024-12-23,0.89305
2024-12-24,0.89847
2024-12-25,0.9003
2024-12-26,0.89942
2024-12-27,0.8989
2024-12-30,0.90184
2024-12-31,0.90324
2025-01-02,0.90775
2025-01-03,0.91201
2025-01-06,0.90931
2025-01-07,0.90504
2025-01-08,0.90945
2025-01-09,0.91095
2025-01-10,0.91207
2025-01-13,0.91677
2025-01-14,0.91578
2025-01-15,0.91246
2025-01-16,0.91212
2025-01-17,0.91117
2025-01-20,0.9146
2025-01-21,0.90606
2025-01-22,0.90671
2025-01-23,0.90631
2025-01-24,0.90749
2025-01-27,0.90684
2025-01-28,0.90401
2025-01-29,0.90413
2025-01-30,0.90627
2025-01-31,0.909369
2025-02-03,0.91523
2025-02-04,0.91161
2025-02-05,0.90524
2025-02-06,0.90133
2025-02-07,0.9051
2025-02-10,0.91074
2025-02-11,0.91133
2025-02-12,0.91299
2025-02-13,0.9134
2025-02-14,0.90325
2025-02-17,0.89983
2025-02-18,0.90072
2025-02-19,0.9036
2025-02-20,0.90456
2025-02-21,0.89806
2025-02-24,0.89845
2025-02-25,0.8973
2025-02-26,0.8924
2025-02-27,0.8943
2025-02-28,0.89992
2025-03-03,0.90257
2025-03-04,0.8966
2025-03-05,0.88964
2025-03-06,0.89069
2025-03-07,0.88332
2025-03-10,0.87734
2025-03-11,0.87998
2025-03-12,0.88344
2025-03-13,0.88177
2025-03-14,0.88262
2025-03-17,0.88409
2025-03-18,0.881202
2025-03-19,0.876745
2025-03-20,0.8764
2025-03-21,0.881377
2025-03-24,0.88292
2025-03-25,0.88269
2025-03-26,0.88265
2025-03-27,0.88416
2025-03-28,0.8814
2025-03-31,0.88085
2025-04-01,0.88382
