date,rate
2024-03-27,0.92316
2024-03-28,0.92478
2024-03-29,0.9264
2024-04-01,0.92655
2024-04-02,0.93134
2024-04-03,0.92863
2024-04-04,0.92265
2024-04-05,0.92276
2024-04-08,0.92332
2024-04-09,0.9205
2024-04-10,0.92087
2024-04-11,0.93095
2024-04-12,0.93224
2024-04-15,0.939
2024-04-16,0.94111
2024-04-17,0.94149
2024-04-18,0.93726
2024-04-19,0.93948
2024-04-22,0.93824
2024-04-23,0.93861
2024-04-24,0.9342
2024-04-25,0.93459
2024-04-26,0.932
2024-04-29,0.93398
2024-04-30,0.93321
2024-05-01,0.93751
2024-05-02,0.9327
2024-05-03,0.9317
2024-05-06,0.92953
2024-05-07,0.92872
2024-05-08,0.93019
2024-05-09,0.9305
2024-05-10,0.9272
2024-05-13,0.92847
2024-05-14,0.92648
2024-05-15,0.92468
2024-05-16,0.91829
2024-05-17,0.92015
2024-05-20,0.9195
2024-05-21,0.92074
2024-05-22,0.92122
2024-05-23,0.92377
2024-05-24,0.92484
2024-05-27,0.92186
2024-05-28,0.92065
2024-05-29,0.9215
2024-05-30,0.92577
2024-05-31,0.9229
2024-06-03,0.9214
2024-06-04,0.91681
2024-06-05,0.91896
2024-06-06,0.91958
2024-06-07,0.9179
2024-06-10,0.92774
2024-06-11,0.929
2024-06-12,0.93107
2024-06-13,0.9248
2024-06-14,0.9312
2024-06-17,0.93439
2024-06-18,0.93104
2024-06-19,0.9309
2024-06-20,0.9301
2024-06-21,0.93402
2024-06-24,0.93565
2024-06-25,0.93173
2024-06-26,0.93374
2024-06-27,0.93632
2024-06-28,0.93384
2024-07-01,0.93151
2024-07-02,0.93135
2024-07-03,0.93037
2024-07-04,0.9265
2024-07-05,0.92501
2024-07-08,0.9237
2024-07-09,0.92328
2024-07-10,0.92466
2024-07-11,0.92308
2024-07-12,0.91973
2024-07-15,0.91865
2024-07-16,0.9173
2024-07-17,0.91722
2024-07-18,0.91406
2024-07-19,0.9173
2024-07-22,0.9175
