date,rate
2024-03-27,0.79186
2024-03-28,0.7926
2024-03-29,0.792
2024-04-01,0.79131
2024-04-02,0.7971
2024-04-03,0.79511
2024-04-04,0.7904
2024-04-05,0.791127
2024-04-08,0.79206
2024-04-09,0.78997
2024-04-10,0.78879
2024-04-11,0.7976
2024-04-12,0.79651
2024-04-15,0.80245
2024-04-16,0.80338
2024-04-17,0.80444
2024-04-18,0.80297
2024-04-19,0.80401
2024-04-22,0.80803
2024-04-23,0.8097
2024-04-24,0.803
2024-04-25,0.8026
2024-04-26,0.79942
2024-04-29,0.79933
2024-04-30,0.79619
2024-05-01,0.80063
2024-05-02,0.79749
2024-05-03,0.79741
2024-05-06,0.79738
2024-05-07,0.79619
2024-05-08,0.79991
2024-05-09,0.80043
2024-05-10,0.79836
2024-05-13,0.79854
2024-05-14,0.79606
2024-05-15,0.79458
2024-05-16,0.78802
2024-05-17,0.789141
2024-05-20,0.787
2024-05-21,0.78673
2024-05-22,0.7867
2024-05-23,0.7861
2024-05-24,0.78777
2024-05-27,0.78517
2024-05-28,0.78294
2024-05-29,0.7838
2024-05-30,0.787526
2024-05-31,0.78552
2024-06-03,0.7847
2024-06-04,0.78063
2024-06-05,0.7829
2024-06-06,0.78157
2024-06-07,0.78166
2024-06-10,0.78558
2024-06-11,0.78577
2024-06-12,0.7849
2024-06-13,0.78148
2024-06-14,0.784
2024-06-17,0.78845
2024-06-18,0.786411
2024-06-19,0.78694
2024-06-20,0.78604
2024-06-21,0.78986
2024-06-24,0.7912
2024-06-25,0.78843
2024-06-26,0.788395
2024-06-27,0.79228
2024-06-28,0.79078
2024-07-01,0.7906
2024-07-02,0.79078
2024-07-03,0.788
2024-07-04,0.78445
2024-07-05,0.78396
2024-07-08,0.780853
2024-07-09,0.7803
2024-07-10,0.782
2024-07-11,0.77805
2024-07-12,0.77377
2024-07-15,0.7712
2024-07-16,0.77101
2024-07-17,0.770553
2024-07-18,0.76879
2024-07-19,0.7721
2024-07-22,0.77321
2024-07-23,0.77325
2024-07-24,0.7751
2024-07-25,0.7752
2024-07-26,0.7778
2024-07-29,0.7771
2024-07-30,0.77758
2024-07-31,0.779
2024-08-01,0.77802
2024-08-02,0.78561
2024-08-05,0.78199
2024-08-06,0.78194
2024-08-07,0.78835
2024-08-08,0.78862
2024-08-09,0.78447
2024-08-12,0.78429
2024-08-13,0.78301
2024-08-14,0.7772
2024-08-15,0.7795
2024-08-16,0.77764
2024-08-19,0.77237
2024-08-20,0.7698
2024-08-21,0.76714
2024-08-22,0.76374
2024-08-23,0.76349
2024-08-26,0.75685
2024-08-27,0.75805
2024-08-28,0.75429
2024-08-29,0.75794
2024-08-30,0.75952
2024-09-02,0.7617
2024-09-03,0.76092
2024-09-04,0.76254
2024-09-05,0.76076
2024-09-06,0.75887
2024-09-09,0.76142
2024-09-10,0.76503
2024-09-11,0.76451
2024-09-12,0.7669
2024-09-13,0.76148
