date,rate
2024-03-27,7.82297
2024-03-28,7.8235
2024-03-29,7.8257
2024-04-01,7.82551
2024-04-02,7.8252
2024-04-03,7.8284
2024-04-04,7.82848
2024-04-05,7.8292
2024-04-08,7.82858
2024-04-09,7.8317
2024-04-10,7.83049
2024-04-11,7.8353
2024-04-12,7.8378
2024-04-15,7.83728
2024-04-16,7.8289
2024-04-17,7.83192
2024-04-18,7.83009
2024-04-19,7.8315
2024-04-22,7.83171
2024-04-23,7.83559
2024-04-24,7.8342
2024-04-25,7.8307
2024-04-26,7.8277
2024-04-29,7.82887
2024-04-30,7.8255
2024-05-01,7.8236
2024-05-02,7.82177
2024-05-03,7.81388
2024-05-06,7.80997
2024-05-07,7.81826
2024-05-08,7.82061
2024-05-09,7.8166
2024-05-10,7.8141
2024-05-13,7.815
2024-05-14,7.8124
2024-05-15,7.8116
2024-05-16,7.80755
2024-05-17,7.80127
2024-05-20,7.80225
2024-05-21,7.7987
2024-05-22,7.80452
2024-05-23,7.80382
2024-05-24,7.80851
2024-05-27,7.8122
2024-05-28,7.80682
2024-05-29,7.81111
2024-05-30,7.81357
2024-05-31,7.8172
2024-06-03,7.8197
2024-06-04,7.8199
2024-06-05,7.8139
2024-06-06,7.81
2024-06-07,7.80932
2024-06-10,7.8116
2024-06-11,7.8119
2024-06-12,7.81192
2024-06-13,7.8083
2024-06-14,7.81036
2024-06-17,7.81195
2024-06-18,7.8105
2024-06-19,7.80736
2024-06-20,7.80613
2024-06-21,7.80481
2024-06-24,7.8033
2024-06-25,7.808
2024-06-26,7.8089
2024-06-27,7.8087
2024-06-28,7.809
2024-07-01,7.80863
2024-07-02,7.81226
2024-07-03,7.8135
2024-07-04,7.8084
2024-07-05,7.8091
2024-07-08,7.81263
2024-07-09,7.80983
2024-07-10,7.8118
2024-07-11,7.8108
2024-07-12,7.80746
2024-07-15,7.80735
2024-07-16,7.8069
2024-07-17,7.80747
2024-07-18,7.8067
2024-07-19,7.81
2024-07-22,7.80945
2024-07-23,7.8067
2024-07-24,7.8077
2024-07-25,7.8088
2024-07-26,7.8067
2024-07-29,7.8067
2024-07-30,7.8103
2024-07-31,7.81259
2024-08-01,7.8128
2024-08-02,7.8142
2024-08-05,7.80497
2024-08-06,7.7929
2024-08-07,7.7947
2024-08-08,7.7922
2024-08-09,7.79384
2024-08-12,7.7984
2024-08-13,7.79154
2024-08-14,7.7887
2024-08-15,7.7916
2024-08-16,7.7969
2024-08-19,7.7942
2024-08-20,7.78893
2024-08-21,7.7883
2024-08-22,7.79264
2024-08-23,7.7968
2024-08-26,7.7969
2024-08-27,7.7968
2024-08-28,7.8018
2024-08-29,7.80002
2024-08-30,7.79686
2024-09-02,7.79769
2024-09-03,7.79637
2024-09-04,7.7983
2024-09-05,7.7957
2024-09-06,7.79358
2024-09-09,7.79539
2024-09-10,7.7965
2024-09-11,7.7972
2024-09-12,7.79751
2024-09-13,7.80252
2024-09-16,7.7982
2024-09-17,7.7923
2024-09-18,7.7937
2024-09-19,7.7937
2024-09-20,7.79394
2024-09-23,7.7909
2024-09-24,7.7865
2024-09-25,7.78254
2024-09-26,7.7863
2024-09-27,7.77938
2024-09-30,7.77328
2024-10-01,7.7741
2024-10-02,7.77168
2024-10-03,7.76267
2024-10-04,7.76538
2024-10-07,7.7666
2024-10-08,7.76609
2024-10-09,7.7747
2024-10-10,7.7726
2024-10-11,7.76956
2024-10-14,7.77224
2024-10-15,7.76268
2024-10-16,7.7678
2024-10-17,7.77047
2024-10-18,7.7736
2024-10-21,7.76994
2024-10-22,7.7737
