date,rate
2024-03-27,3.6664
2024-03-28,3.67602
2024-03-29,3.66312
2024-04-01,3.69078
2024-04-02,3.67542
2024-04-03,3.71382
2024-04-04,3.71228
2024-04-05,3.7085
2024-04-08,3.76229
2024-04-09,3.67824
2024-04-10,3.69484
2024-04-11,3.73538
2024-04-12,3.75421
2024-04-15,3.77211
2024-04-16,3.7534
2024-04-17,3.75474
2024-04-18,3.78528
2024-04-19,3.79217
2024-04-22,3.75402
2024-04-23,3.7761
2024-04-24,3.76468
2024-04-25,3.77682
2024-04-26,3.80268
2024-04-29,3.8266
2024-04-30,3.76072
2024-05-01,3.73302
2024-05-02,3.75452
2024-05-03,3.72395
2024-05-06,3.71539
2024-05-07,3.73956
2024-05-08,3.69733
2024-05-09,3.711
2024-05-10,3.72778
2024-05-13,3.72716
2024-05-14,3.71858
2024-05-15,3.69462
2024-05-16,3.67037
2024-05-17,3.69416
2024-05-20,3.70391
2024-05-21,3.69062
2024-05-22,3.6648
2024-05-23,3.67178
2024-05-24,3.6726
2024-05-27,3.65778
2024-05-28,3.67084
2024-05-29,3.676
2024-05-30,3.70121
2024-05-31,3.70238
2024-06-03,3.71853
2024-06-04,3.66752
2024-06-05,3.69174
2024-06-06,3.71398
2024-06-07,3.72944
2024-06-10,3.76144
2024-06-11,3.74588
2024-06-12,3.7037
2024-06-13,3.68516
2024-06-14,3.71472
2024-06-17,3.72328
2024-06-18,3.72262
2024-06-19,3.71568
2024-06-20,3.70756
2024-06-21,3.72194
2024-06-24,3.75906
2024-06-25,3.72292
2024-06-26,3.74646
2024-06-27,3.75112
2024-06-28,3.75662
2024-07-01,3.76603
2024-07-02,3.76191
2024-07-03,3.7712
2024-07-04,3.7641
2024-07-05,3.73968
2024-07-08,3.69342
2024-07-09,3.67146
2024-07-10,3.671
2024-07-11,3.65908
2024-07-12,3.63996
2024-07-15,3.61178
2024-07-16,3.6255
2024-07-17,3.62372
2024-07-18,3.63732
2024-07-19,3.64142
2024-07-22,3.64462
2024-07-23,3.63065
2024-07-24,3.62692
2024-07-25,3.64783
2024-07-26,3.66724
2024-07-29,3.65534
2024-07-30,3.71496
2024-07-31,3.74646
2024-08-01,3.75805
2024-08-02,3.79065
2024-08-05,3.79882
