date,rate
2024-03-27,83.345497
2024-03-28,83.364998
2024-03-29,83.392998
2024-04-01,83.364799
2024-04-02,83.409698
2024-04-03,83.350304
2024-04-04,83.373299
2024-04-05,83.477798
2024-04-08,83.296799
2024-04-09,83.2696
2024-04-10,83.224297
2024-04-11,83.412697
2024-04-12,83.349297
2024-04-15,83.611099
2024-04-16,83.505997
2024-04-17,83.667503
2024-04-18,83.595802
2024-04-19,83.544998
2024-04-22,83.3853
2024-04-23,83.3862
2024-04-24,83.283302
2024-04-25,83.340599
2024-04-26,83.301804
2024-04-29,83.402298
2024-04-30,83.451103
2024-05-01,83.498398
2024-05-02,83.406403
2024-05-03,83.406303
2024-05-06,83.379997
2024-05-07,83.472801
2024-05-08,83.469902
2024-05-09,83.464302
2024-05-10,83.459396
2024-05-13,83.524803
2024-05-14,83.505501
2024-05-15,83.5242
2024-05-16,83.405098
2024-05-17,83.4701
2024-05-20,83.3004
2024-05-21,83.315002
2024-05-22,83.316803
2024-05-23,83.267097
2024-05-24,83.2864
2024-05-27,83.0522
2024-05-28,83.145699
2024-05-29,83.206497
2024-05-30,83.365601
2024-05-31,83.3209
2024-06-03,83.450798
2024-06-04,83.093399
2024-06-05,83.629402
2024-06-06,83.380798
2024-06-07,83.473099
2024-06-10,83.527603
2024-06-11,83.5298
2024-06-12,83.596802
2024-06-13,83.534302
2024-06-14,83.522102
2024-06-17,83.551804
2024-06-18,83.510101
2024-06-19,83.3741
2024-06-20,83.419502
2024-06-21,83.601601
2024-06-24,83.5625
2024-06-25,83.460403
2024-06-26,83.414597
2024-06-27,83.580399
2024-06-28,83.450897
2024-07-01,83.3675
2024-07-02,83.441299
2024-07-03,83.479103
2024-07-04,83.491203
2024-07-05,83.493401
2024-07-08,83.472099
2024-07-09,83.457603
2024-07-10,83.492996
2024-07-11,83.495903
2024-07-12,83.518501
2024-07-15,83.520302
2024-07-16,83.587601
2024-07-17,83.529602
2024-07-18,83.572098
2024-07-19,83.674301
2024-07-22,83.730301
2024-07-23,83.671303
2024-07-24,83.706802
2024-07-25,83.742996
2024-07-26,83.737602
