date,rate
2024-03-27,151.529999
2024-03-28,151.287003
2024-03-29,151.440002
2024-04-01,151.397995
2024-04-02,151.580994
2024-04-03,151.539993
2024-04-04,151.580994
2024-04-05,151.292007
2024-04-08,151.690002
2024-04-09,151.843002
2024-04-10,151.776993
2024-04-11,152.964005
2024-04-12,153.192001
2024-04-15,153.283005
2024-04-16,154.205994
2024-04-17,154.697998
2024-04-18,154.341995
2024-04-19,154.610001
2024-04-22,154.639999
2024-04-23,154.813004
2024-04-24,154.744003
2024-04-25,155.259003
2024-04-26,155.597
2024-04-29,158.223999
2024-04-30,156.313995
2024-05-01,157.722
2024-05-02,155.703995
2024-05-03,153.044998
2024-05-06,153.565994
2024-05-07,154.237
2024-05-08,154.748001
2024-05-09,155.419006
2024-05-10,155.389008
2024-05-13,155.817993
2024-05-14,156.233002
2024-05-15,156.498001
2024-05-16,154.281998
2024-05-17,155.378998
2024-05-20,155.753998
2024-05-21,156.369995
2024-05-22,156.251007
2024-05-23,156.703995
2024-05-24,156.973007
2024-05-27,156.869995
2024-05-28,156.845001
2024-05-29,157.261993
2024-05-30,157.608002
2024-05-31,156.953003
2024-06-03,157.179993
2024-06-04,156.076004
2024-06-05,155.123993
2024-06-06,155.929001
2024-06-07,155.697006
2024-06-10,156.832993
2024-06-11,157.039993
2024-06-12,157.104996
2024-06-13,156.800003
2024-06-14,157.128006
2024-06-17,157.546005
2024-06-18,157.699997
2024-06-19,157.871002
2024-06-20,157.957993
2024-06-21,158.931
2024-06-24,159.860992
2024-06-25,159.686005
2024-06-26,159.686005
2024-06-27,160.621002
2024-06-28,160.686996
2024-07-01,160.906998
2024-07-02,161.511993
2024-07-03,161.503998
2024-07-04,161.621002
2024-07-05,161.358002
2024-07-08,160.638
2024-07-09,160.856995
2024-07-10,161.330994
2024-07-11,161.606995
2024-07-12,158.201004
2024-07-15,158.313004
2024-07-16,158.141006
2024-07-17,158.350006
2024-07-18,155.686005
2024-07-19,157.149994
2024-07-22,157.421997
2024-07-23,156.891006
2024-07-24,155.768005
2024-07-25,153.891006
2024-07-26,153.697006
2024-07-29,154.139008
2024-07-30,153.832993
2024-07-31,152.669998
2024-08-01,149.744003
2024-08-02,149.201004
2024-08-05,145.584
2024-08-06,145.789993
2024-08-07,144.731995
2024-08-08,146.123993
2024-08-09,147.669006
2024-08-12,147.042007
2024-08-13,146.981995
2024-08-14,146.970993
2024-08-15,147.253006
2024-08-16,149.222
2024-08-19,147.955994
2024-08-20,146.699005
2024-08-21,145.347
2024-08-22,145.117996
2024-08-23,146.201996
2024-08-26,144.0
2024-08-27,144.516006
2024-08-28,143.975006
2024-08-29,144.432999
2024-08-30,144.889999
2024-09-02,146.380997
2024-09-03,146.722
2024-09-04,145.352997
2024-09-05,143.324005
2024-09-06,143.393005
2024-09-09,142.485992
2024-09-10,143.177002
2024-09-11,142.233994
2024-09-12,142.589996
2024-09-13,141.498993
2024-09-16,140.789993
2024-09-17,140.789993
2024-09-18,142.014999
2024-09-19,142.710007
2024-09-20,142.858002
2024-09-23,144.003998
2024-09-24,143.638
2024-09-25,142.962997
2024-09-26,144.682999
2024-09-27,145.076004
2024-09-30,142.783005
2024-10-01,143.710007
2024-10-02,143.735992
2024-10-03,146.582001
2024-10-04,146.839996
2024-10-07,148.820007
2024-10-08,148.145996
2024-10-09,148.158997
2024-10-10,149.160004
2024-10-11,148.703995
2024-10-14,149.334
2024-10-15,149.669998
2024-10-16,149.098999
2024-10-17,149.576004
2024-10-18,150.100006
2024-10-21,149.600006
2024-10-22,150.604996
2024-10-23,151.138
2024-10-24,152.768997
2024-10-25,151.783005
2024-10-28,152.951996
2024-10-29,153.179001
2024-10-30,153.274002
2024-10-31,153.203995
2024-11-01,151.979996
2024-11-04,152.287003
2024-11-05,152.276001
2024-11-06,151.434998
2024-11-07,154.320007
2024-11-08,153.179993
2024-11-11,152.904007
2024-11-12,153.479996
2024-11-13,154.654999
2024-11-14,155.429001
2024-11-15,156.468002
2024-11-18,154.664001
2024-11-19,154.617004
2024-11-20,154.718002
2024-11-21,155.294998
2024-11-22,154.218002
2024-11-25,154.145996
2024-11-26,154.378006
2024-11-27,153.009003
2024-11-28,151.335999
2024-11-29,151.173996
2024-12-02,149.897995
2024-12-03,149.507996
2024-12-04,149.647003
2024-12-05,150.567001
2024-12-06,150.207001
2024-12-09,150.029999
2024-12-10,151.408005
2024-12-11,151.807007
2024-12-12,152.244995
2024-12-13,152.587006
2024-12-16,153.453003
