date,rate
2024-03-27,0.30711
2024-03-28,0.30715
2024-03-29,0.30715
2024-04-01,0.30715
2024-04-02,0.30715
2024-04-03,0.30719
2024-04-04,0.30709
2024-04-05,0.30701
2024-04-08,0.30703
2024-04-09,0.30694
2024-04-10,0.30693
2024-04-11,0.30702
2024-04-12,0.30727
2024-04-15,0.30741
2024-04-16,0.30746
2024-04-17,0.30758
2024-04-18,0.3076
2024-04-19,0.30787
2024-04-22,0.30787
2024-04-23,0.30777
2024-04-24,0.30756
2024-04-25,0.3075
2024-04-26,0.30725
2024-04-29,0.3076
2024-04-30,0.30746
2024-05-01,0.30768
2024-05-02,0.30793
2024-05-03,0.30713
2024-05-06,0.30687
2024-05-07,0.30697
2024-05-08,0.3069
2024-05-09,0.30708
2024-05-10,0.30699
2024-05-13,0.30708
2024-05-14,0.30707
2024-05-15,0.30702
2024-05-16,0.30673
2024-05-17,0.30668
2024-05-20,0.30674
2024-05-21,0.30646
2024-05-22,0.3064
2024-05-23,0.3065
2024-05-24,0.30651
2024-05-27,0.30651
2024-05-28,0.30639
2024-05-29,0.30626
2024-05-30,0.30648
2024-05-31,0.30633
2024-06-03,0.30633
2024-06-04,0.306
2024-06-05,0.30586
2024-06-06,0.30592
2024-06-07,0.30592
2024-06-10,0.3061
2024-06-11,0.30618
2024-06-12,0.30617
2024-06-13,0.3059
2024-06-14,0.30594
2024-06-17,0.30622
2024-06-18,0.3062
2024-06-19,0.30618
2024-06-20,0.30611
2024-06-21,0.30617
2024-06-24,0.30625
2024-06-25,0.30616
2024-06-26,0.30611
2024-06-27,0.30625
2024-06-28,0.30628
2024-07-01,0.30626
2024-07-02,0.30601
2024-07-03,0.306
2024-07-04,0.30596
2024-07-05,0.30572
2024-07-08,0.30567
2024-07-09,0.30553
2024-07-10,0.30555
2024-07-11,0.30555
2024-07-12,0.30529
2024-07-15,0.30528
2024-07-16,0.30514
2024-07-17,0.30519
2024-07-18,0.30497
2024-07-19,0.3051
2024-07-22,0.30532
2024-07-23,0.30526
2024-07-24,0.30526
2024-07-25,0.3052
2024-07-26,0.30535
2024-07-29,0.30535
2024-07-30,0.30535
2024-07-31,0.30513
2024-08-01,0.30504
2024-08-02,0.30512
2024-08-05,0.30473
2024-08-06,0.30506
2024-08-07,0.30512
2024-08-08,0.30548
2024-08-09,0.30572
2024-08-12,0.30559
2024-08-13,0.30577
2024-08-14,0.3056
2024-08-15,0.30567
2024-08-16,0.30561
2024-08-19,0.30538
2024-08-20,0.30519
2024-08-21,0.30501
2024-08-22,0.305
2024-08-23,0.30521
2024-08-26,0.30489
2024-08-27,0.30499
2024-08-28,0.30462
2024-08-29,0.30483
2024-08-30,0.30495
2024-09-02,0.30514
2024-09-03,0.30507
2024-09-04,0.30504
2024-09-05,0.30483
2024-09-06,0.30493
2024-09-09,0.30491
2024-09-10,0.30486
2024-09-11,0.30499
2024-09-12,0.30512
2024-09-13,0.30489
2024-09-16,0.30476
2024-09-17,0.30444
2024-09-18,0.30455
2024-09-19,0.30442
2024-09-20,0.30444
2024-09-23,0.30457
2024-09-24,0.30456
2024-09-25,0.30463
2024-09-26,0.3049
2024-09-27,0.30471
2024-09-30,0.30451
2024-10-01,0.30484
2024-10-02,0.30501
2024-10-03,0.30532
2024-10-04,0.30546
2024-10-07,0.30583
2024-10-08,0.30596
2024-10-09,0.30606
2024-10-10,0.30612
2024-10-11,0.30597
2024-10-14,0.30603
2024-10-15,0.30618
2024-10-16,0.30615
2024-10-17,0.3062
2024-10-18,0.30608
2024-10-21,0.30602
2024-10-22,0.30602
2024-10-23,0.30597
2024-10-24,0.3061
2024-10-25,0.30582
2024-10-28,0.30588
2024-10-29,0.30611
2024-10-30,0.30616
2024-10-31,0.30606
2024-11-01,0.30605
2024-11-04,0.30611
2024-11-05,0.30601
2024-11-06,0.30575
2024-11-07,0.30636
2024-11-08,0.30617
2024-11-11,0.30617
2024-11-12,0.30668
2024-11-13,0.307
2024-11-14,0.30714
2024-11-15,0.30722
2024-11-18,0.30704
2024-11-19,0.30699
2024-11-20,0.30694
2024-11-21,0.30704
2024-11-22,0.30713
2024-11-25,0.30735
2024-11-26,0.30729
2024-11-27,0.30718
2024-11-28,0.30691
2024-11-29,0.30701
2024-12-02,0.30692
2024-12-03,0.30692
2024-12-04,0.30686
2024-12-05,0.30706
2024-12-06,0.30689
2024-12-09,0.30679
2024-12-10,0.30691
2024-12-11,0.30707
2024-12-12,0.30707
2024-12-13,0.30716
2024-12-16,0.30746
2024-12-17,0.30721
2024-12-18,0.30704
2024-12-19,0.30742
2024-12-20,0.30748
2024-12-23,0.30745
2024-12-24,0.3077
2024-12-25,0.30768
2024-12-26,0.30768
2024-12-27,0.30768
2024-12-30,0.30763
2024-12-31,0.3075
2025-01-02,0.3075
2025-01-03,0.308
2025-01-06,0.308
2025-01-07,0.30796
2025-01-08,0.30783
2025-01-09,0.3077
2025-01-10,0.30777
2025-01-13,0.308
2025-01-14,0.307
2025-01-15,0.30808
2025-01-16,0.30799
2025-01-17,0.30781
2025-01-20,0.30807
2025-01-21,0.30771
2025-01-22,0.30771
2025-01-23,0.30779
2025-01-24,0.30767
2025-01-27,0.30757
2025-01-28,0.3077
2025-01-29,0.3078
2025-01-30,0.30786
2025-01-31,0.30791
2025-02-03,0.30798
2025-02-04,0.3082
2025-02-05,0.30805
2025-02-06,0.30796
2025-02-07,0.30804
2025-02-10,0.30807
2025-02-11,0.30817
2025-02-12,0.30833
2025-02-13,0.30845
2025-02-14,0.30818
2025-02-17,0.30782
2025-02-18,0.30876
2025-02-19,0.30825
2025-02-20,0.30829
2025-02-21,0.30794
2025-02-24,0.30815
2025-02-25,0.30797
2025-02-26,0.3078
2025-02-27,0.30783
2025-02-28,0.30807
2025-03-03,0.3082
2025-03-04,0.30802
2025-03-05,0.30814
2025-03-06,0.30806
2025-03-07,0.30769
2025-03-10,0.30759
2025-03-11,0.30756
2025-03-12,0.30757
2025-03-13,0.30761
2025-03-14,0.30762
2025-03-17,0.30757
2025-03-18,0.30747
2025-03-19,0.30744
2025-03-20,0.30742
2025-03-21,0.30754
2025-03-24,0.30763
2025-03-25,0.30779
2025-03-26,0.30775
2025-03-27,0.30786
2025-03-28,0.30784
2025-03-31,0.30774
2025-04-01,0.30784
2025-04-02,0.30782
2025-04-03,0.30763
2025-04-04,0.30719
2025-04-07,0.30729
2025-04-08,0.30745
2025-04-09,0.3074
2025-04-10,0.30729
2025-04-11,0.30659
2025-04-14,0.30594
2025-04-15,0.30624
2025-04-16,0.30634
2025-04-17,0.30608
2025-04-22,0.30613
2025-04-23,0.30526
2025-04-24,0.30602
2025-04-25,0.30608
2025-04-28,0.30625
2025-04-29,0.30609
2025-04-30,0.30572
2025-05-01,0.306
2025-05-02,0.306
2025-05-05,0.30614
2025-05-06,0.30611
2025-05-07,0.30609
2025-05-08,0.30626
2025-05-09,0.30647
2025-05-12,0.3062
2025-05-13,0.30691
2025-05-14,0.30677
2025-05-15,0.30712
2025-05-16,0.30685
2025-05-19,0.30689
2025-05-20,0.30681
2025-05-21,0.3065
2025-05-22,0.30625
2025-05-23,0.30645
2025-05-26,0.30601
2025-05-27,0.30593
2025-05-28,0.30611
2025-05-29,0.30667
2025-05-30,0.30616
2025-06-02,0.30637
2025-06-03,0.30605
2025-06-04,0.30625
2025-06-05,0.30582
2025-06-06,0.30602
2025-06-09,0.30552
2025-06-10,0.30551
2025-06-11,0.3055
2025-06-12,0.30539
2025-06-13,0.30527
2025-06-16,0.30572
2025-06-17,0.30557
2025-06-18,0.30603
2025-06-19,0.30592
2025-06-20,0.3058
2025-06-23,0.30586
2025-06-24,0.3053
2025-06-25,0.30519
2025-06-26,0.3051
2025-06-27,0.30527
2025-06-30,0.30529
2025-07-01,0.30508
2025-07-02,0.30467
2025-07-03,0.30462
2025-07-04,0.3048
2025-07-07,0.30479
2025-07-08,0.30478
2025-07-09,0.30501
2025-07-10,0.30483
2025-07-11,0.30521
2025-07-14,0.30529
2025-07-15,0.30514
2025-07-16,0.3054
2025-07-17,0.3051
2025-07-18,0.30507
2025-07-21,0.30514
2025-07-22,0.30482
2025-07-23,0.30465
2025-07-24,0.30459
2025-07-25,0.3046
2025-07-28,0.30483
2025-07-29,0.30497
2025-07-30,0.30499
2025-07-31,0.30544
2025-08-01,0.30563
2025-08-04,0.30477
2025-08-05,0.30498
2025-08-06,0.30518
2025-08-07,0.30496
2025-08-08,0.3055
2025-08-11,0.30503
2025-08-12,0.30526
2025-08-13,0.30495
2025-08-14,0.30494
2025-08-15,0.30518
2025-08-18,0.30497
2025-08-19,0.30518
2025-08-20,0.30524
2025-08-21,0.30513
2025-08-22,0.30539
2025-08-25,0.30489
2025-08-26,0.30511
2025-08-27,0.30513
2025-08-28,0.30505
2025-08-29,0.30509
2025-09-01,0.30509
2025-09-02,0.30506
2025-09-03,0.30545
2025-09-04,0.30531
2025-09-05,0.30536
2025-09-08,0.30502
2025-09-09,0.30475
2025-09-10,0.30504
2025-09-11,0.305
2025-09-12,0.30478
2025-09-15,0.30487
2025-09-16,0.30473
2025-09-17,0.3044
2025-09-18,0.3046
2025-09-19,0.30477
2025-09-22,0.30491
2025-09-23,0.30474
2025-09-24,0.30474
2025-09-25,0.30495
2025-09-26,0.30534
2025-09-29,0.30511
2025-09-30,0.305
2025-10-01,0.30498
2025-10-02,0.30505
2025-10-03,0.30539
2025-10-06,0.30536
2025-10-07,0.30564
2025-10-08,0.30586
2025-10-09,0.30599
2025-10-10,0.30626
2025-10-13,0.30594
2025-10-14,0.30644
2025-10-15,0.30636
2025-10-16,0.30587
2025-10-17,0.30512
2025-10-20,0.30533
2025-10-21,0.30558
2025-10-22,0.30592
2025-10-23,0.30603
2025-10-24,0.30609
2025-10-27,0.30614
2025-10-28,0.30604
2025-10-29,0.30622
2025-10-30,0.30643
2025-10-31,0.30632
2025-11-03,0.30642
2025-11-04,0.30662
2025-11-05,0.30676
2025-11-06,0.3067
2025-11-07,0.30638
2025-11-10,0.3064
2025-11-11,0.30659
2025-11-12,0.30657
2025-11-13,0.30662
2025-11-14,0.30622
