date,rate
2024-03-27,10.7546
2024-03-28,10.7979
2024-03-29,10.8406
2024-04-01,10.845
2024-04-02,10.96295
2024-04-03,10.83152
2024-04-04,10.70849
2024-04-05,10.72953
2024-04-08,10.7509
2024-04-09,10.67442
2024-04-10,10.6649
2024-04-11,10.83658
2024-04-12,10.82016
2024-04-15,10.8657
2024-04-16,10.9314
2024-04-17,10.96859
2024-04-18,11.0033
2024-04-19,11.05304
2024-04-22,11.013
2024-04-23,10.97988
2024-04-24,10.90387
2024-04-25,10.9902
2024-04-26,10.95578
2024-04-29,11.01539
2024-04-30,10.98728
2024-05-01,11.11498
2024-05-02,11.01746
2024-05-03,10.97414
2024-05-06,10.8628
2024-05-07,10.83002
2024-05-08,10.9193
2024-05-09,10.90173
2024-05-10,10.83476
2024-05-13,10.84945
2024-05-14,10.8085
2024-05-15,10.80017
2024-05-16,10.64828
2024-05-17,10.68856
2024-05-20,10.66705
2024-05-21,10.6925
2024-05-22,10.6638
2024-05-23,10.70449
2024-05-24,10.6679
2024-05-27,10.5889
2024-05-28,10.4769
2024-05-29,10.51452
2024-05-30,10.58585
2024-05-31,10.5513
2024-06-03,10.4925
2024-06-04,10.447
2024-06-05,10.55094
2024-06-06,10.56728
2024-06-07,10.55024
2024-06-10,10.715
2024-06-11,10.64385
2024-06-12,10.69016
2024-06-13,10.5795
2024-06-14,10.64875
2024-06-17,10.6752
2024-06-18,10.64821
2024-06-19,10.57425
2024-06-20,10.5625
2024-06-21,10.5401
2024-06-24,10.57997
2024-06-25,10.5324
2024-06-26,10.6149
2024-06-27,10.68382
2024-06-28,10.65526
2024-07-01,10.6614
2024-07-02,10.65847
2024-07-03,10.66587
2024-07-04,10.54743
2024-07-05,10.5661
2024-07-08,10.5634
2024-07-09,10.60117
2024-07-10,10.60252
2024-07-11,10.71174
2024-07-12,10.71303
2024-07-15,10.7391
2024-07-16,10.8047
2024-07-17,10.77182
2024-07-18,10.71446
2024-07-19,10.80815
2024-07-22,10.87878
2024-07-23,10.95723
2024-07-24,11.01706
2024-07-25,11.0258
2024-07-26,11.02475
2024-07-29,11.0046
2024-07-30,10.99841
2024-07-31,10.94555
2024-08-01,10.89783
2024-08-02,10.95198
2024-08-05,10.95622
2024-08-06,10.9967
2024-08-07,10.89643
2024-08-08,10.82067
2024-08-09,10.83507
2024-08-12,10.81163
2024-08-13,10.79997
2024-08-14,10.72322
2024-08-15,10.71449
2024-08-16,10.74074
2024-08-19,10.6809
2024-08-20,10.52994
2024-08-21,10.49164
2024-08-22,10.5005
2024-08-23,10.58048
2024-08-26,10.4653
2024-08-27,10.53648
2024-08-28,10.46042
2024-08-29,10.5036
2024-08-30,10.50018
2024-09-02,10.60563
2024-09-03,10.59056
2024-09-04,10.67619
2024-09-05,10.63236
2024-09-06,10.62781
2024-09-09,10.70779
2024-09-10,10.84019
2024-09-11,10.81106
2024-09-12,10.85612
2024-09-13,10.70743
2024-09-16,10.61884
2024-09-17,10.5903
2024-09-18,10.57909
2024-09-19,10.58704
2024-09-20,10.501
2024-09-23,10.4728
2024-09-24,10.4807
2024-09-25,10.39054
2024-09-26,10.5743
2024-09-27,10.5294
2024-09-30,10.4846
2024-10-01,10.53548
2024-10-02,10.60758
2024-10-03,10.57191
2024-10-04,10.59826
2024-10-07,10.6697
2024-10-08,10.641
2024-10-09,10.70592
2024-10-10,10.7743
2024-10-11,10.72944
2024-10-14,10.73164
2024-10-15,10.8018
2024-10-16,10.82619
2024-10-17,10.91234
2024-10-18,10.9164
2024-10-21,10.9186
2024-10-22,10.9485
2024-10-23,10.9217
2024-10-24,10.9862
2024-10-25,10.93618
2024-10-28,10.9852
2024-10-29,10.98392
2024-10-30,10.95371
2024-10-31,10.9612
2024-11-01,10.99334
2024-11-04,11.00885
2024-11-05,11.00411
2024-11-06,10.9395
2024-11-07,11.0765
2024-11-08,10.8712
2024-11-11,10.99357
2024-11-12,11.02028
2024-11-13,11.07995
2024-11-14,11.1331
2024-11-15,11.1496
2024-11-18,11.08195
2024-11-19,10.99877
2024-11-20,10.95508
2024-11-21,11.06108
2024-11-22,11.07265
2024-11-25,11.01338
2024-11-26,11.10879
2024-11-27,11.14285
2024-11-28,11.0677
2024-11-29,11.0376
2024-12-02,11.05552
2024-12-03,11.09223
2024-12-04,11.05592
2024-12-05,11.05302
2024-12-06,11.03452
2024-12-09,11.15163
2024-12-10,11.12123
2024-12-11,11.1447
2024-12-12,11.13457
2024-12-13,11.14917
2024-12-16,11.1334
2024-12-17,11.1433
2024-12-18,11.18842
2024-12-19,11.3861
2024-12-20,11.43363
2024-12-23,11.31476
2024-12-24,11.35118
2024-12-25,11.3567
2024-12-26,11.34215
2024-12-27,11.38816
2024-12-30,11.3449
2024-12-31,11.32762
2025-01-02,11.38704
2025-01-03,11.38218
2025-01-06,11.35305
2025-01-07,11.2977
2025-01-08,11.26822
2025-01-09,11.40479
2025-01-10,11.4016
2025-01-13,11.4483
2025-01-14,11.394
2025-01-15,11.37468
2025-01-16,11.3059
2025-01-17,11.35479
2025-01-20,11.4208
2025-01-21,11.26146
2025-01-22,11.28461
2025-01-23,11.26432
2025-01-24,11.26597
2025-01-27,11.21689
2025-01-28,11.24992
2025-01-29,11.28341
2025-01-30,11.28689
2025-01-31,11.31654
2025-02-03,11.4515
2025-02-04,11.3425
2025-02-05,11.2487
2025-02-06,11.22311
2025-02-07,11.20785
2025-02-10,11.26321
2025-02-11,11.22006
2025-02-12,11.19787
2025-02-13,11.25803
2025-02-14,11.14926
2025-02-17,11.11734
2025-02-18,11.1058
2025-02-19,11.1514
2025-02-20,11.13048
2025-02-21,11.0933
2025-02-24,11.11366
2025-02-25,11.12831
2025-02-26,11.10134
2025-02-27,11.15225
2025-02-28,11.24522
2025-03-03,11.22515
2025-03-04,11.19519
2025-03-05,11.0894
2025-03-06,10.90774
2025-03-07,10.88355
2025-03-10,10.82384
2025-03-11,10.7598
2025-03-12,10.65754
2025-03-13,10.6317
2025-03-14,10.68118
2025-03-17,10.6314
2025-03-18,10.5401
2025-03-19,10.56083
2025-03-20,10.5525
2025-03-21,10.546
2025-03-24,10.52764
2025-03-25,10.5184
2025-03-26,10.5194
2025-03-27,10.5735
2025-03-28,10.48305
2025-03-31,10.48421
2025-04-01,10.50993
2025-04-02,10.46371
2025-04-03,10.3806
2025-04-04,10.32906
2025-04-07,10.7616
2025-04-08,10.96544
2025-04-09,10.93648
2025-04-10,10.76424
2025-04-11,10.77427
2025-04-14,10.64748
2025-04-15,10.5687
2025-04-16,10.64377
2025-04-17,10.5641
2025-04-22,10.3611
2025-04-23,10.4338
2025-04-24,10.51557
2025-04-25,10.4188
2025-04-28,10.4513
2025-04-29,10.3359
2025-04-30,10.371
2025-05-01,10.4015
2025-05-02,10.41075
2025-05-05,10.4049
2025-05-06,10.3941
2025-05-07,10.2626
2025-05-08,10.35748
2025-05-09,10.433
2025-05-12,10.3654
2025-05-13,10.44715
2025-05-14,10.3628
2025-05-15,10.3814
2025-05-16,10.41224
2025-05-19,10.3735
2025-05-20,10.30659
2025-05-21,10.24598
2025-05-22,10.172
2025-05-23,10.2027
2025-05-26,10.10678
2025-05-27,10.0918
2025-05-28,10.14999
2025-05-29,10.2181
2025-05-30,10.1188
2025-06-02,10.2089
2025-06-03,10.06125
2025-06-04,10.1288
2025-06-05,10.1063
2025-06-06,10.0676
2025-06-09,10.09452
2025-06-10,10.0596
2025-06-11,10.09757
2025-06-12,10.0445
2025-06-13,9.9174
2025-06-16,9.915
2025-06-17,9.87071
2025-06-18,9.936
2025-06-19,9.9733
2025-06-20,10.0299
2025-06-23,10.1009
2025-06-24,10.05531
2025-06-25,10.11382
2025-06-26,10.11125
2025-06-27,10.05649
2025-06-30,10.0688
2025-07-01,10.0793
2025-07-02,10.06365
2025-07-03,10.0532
2025-07-04,10.0507
2025-07-07,10.07037
2025-07-08,10.1071
2025-07-09,10.0921
2025-07-10,10.0867
2025-07-11,10.0739
2025-07-14,10.13799
2025-07-15,10.1358
2025-07-16,10.24507
2025-07-17,10.25118
2025-07-18,10.28077
2025-07-21,10.17348
2025-07-22,10.1598
2025-07-23,10.0696
2025-07-24,10.09745
2025-07-25,10.11944
2025-07-28,10.13378
2025-07-29,10.1837
2025-07-30,10.201
2025-07-31,10.2961
2025-08-01,10.3241
2025-08-04,10.2489
2025-08-05,10.25285
2025-08-06,10.25441
2025-08-07,10.17926
2025-08-08,10.20931
2025-08-11,10.2819
2025-08-12,10.22104
2025-08-13,10.21086
2025-08-14,10.1822
2025-08-15,10.21561
2025-08-18,10.17277
2025-08-19,10.2024
2025-08-20,10.28361
2025-08-21,10.2316
2025-08-22,10.1758
2025-08-25,10.06664
2025-08-26,10.1301
2025-08-27,10.127
2025-08-28,10.07325
2025-08-29,10.064
2025-09-01,10.05849
2025-09-02,9.98712
2025-09-03,10.03598
2025-09-04,10.03609
2025-09-05,10.07165
2025-09-08,10.0192
2025-09-09,9.9735
2025-09-10,9.9761
2025-09-11,9.9238
2025-09-12,9.8543
2025-09-15,9.8604
2025-09-16,9.82089
2025-09-17,9.75463
2025-09-18,9.80844
2025-09-19,9.86888
2025-09-22,9.92138
2025-09-23,9.9109
2025-09-24,9.88055
2025-09-25,9.93607
2025-09-26,10.03027
2025-09-29,9.95937
2025-09-30,9.9836
2025-10-01,9.98814
2025-10-02,9.91397
2025-10-03,9.9751
2025-10-06,9.96166
2025-10-07,9.92268
2025-10-08,9.96435
2025-10-09,9.97291
2025-10-10,10.06491
2025-10-13,10.10368
2025-10-14,10.08601
2025-10-15,10.1564
2025-10-16,10.09579
2025-10-17,10.0583
2025-10-20,10.05662
2025-10-21,10.04551
2025-10-22,10.05935
2025-10-23,10.02234
2025-10-24,9.96677
2025-10-27,9.98675
2025-10-28,9.98673
2025-10-29,9.97562
2025-10-30,10.0128
2025-10-31,10.05001
2025-11-03,10.11528
2025-11-04,10.12488
2025-11-05,10.22475
2025-11-06,10.2073
2025-11-07,10.19378
2025-11-10,10.16795
2025-11-11,10.12855
2025-11-12,10.04648
2025-11-13,10.07318
2025-11-14,10.02238
2025-11-17,10.07926
2025-11-18,10.10216
2025-11-19,10.1065
2025-11-20,10.17034
2025-11-21,10.2031
2025-11-24,10.23849
2025-11-25,10.22551
2025-11-26,10.22638
2025-11-27,10.1955
2025-11-28,10.16018
2025-12-01,10.11891
2025-12-02,10.12847
2025-12-03,10.12492
2025-12-04,10.06172
2025-12-05,10.1146
2025-12-08,10.10922
2025-12-09,10.12247
2025-12-10,10.1463
2025-12-11,10.08079
2025-12-12,10.0649
2025-12-15,10.11357
2025-12-16,10.13943
2025-12-17,10.18366
2025-12-18,10.19675
2025-12-19,10.15105
2025-12-22,10.13151
2025-12-23,10.10231
2025-12-24,10.0265
2025-12-26,9.98903
2025-12-29,10.00761
2025-12-30,10.03845
2025-12-31,10.05121
2026-01-02,10.05109
2026-01-05,10.05461
2026-01-06,10.0368
2026-01-07,10.04987
2026-01-08,10.07794
2026-01-09,10.0783
2026-01-12,10.08205
2026-01-13,10.06558
2026-01-14,10.08523
2026-01-15,10.05381
2026-01-16,10.1069
2026-01-19,10.07168
2026-01-20,10.06178
2026-01-21,9.99326
2026-01-22,9.96524
2026-01-23,9.8478
2026-01-26,9.74023
2026-01-27,9.77167
2026-01-28,9.58835
2026-01-29,9.56766
2026-01-30,9.53372
2026-02-02,9.63683
2026-02-03,9.68831
2026-02-04,9.61631
2026-02-05,9.6689
2026-02-06,9.799
2026-02-09,9.67856
2026-02-10,9.57755
2026-02-11,9.51432
2026-02-12,9.48195
2026-02-13,9.53139
2026-02-16,9.47639
2026-02-17,9.49902
2026-02-18,9.531
2026-02-19,9.52362
2026-02-20,9.55378
2026-02-23,9.48797
2026-02-24,9.55964
2026-02-25,9.55901
2026-02-26,9.54172
2026-02-27,9.54969
2026-03-02,9.51229
2026-03-03,9.57317
2026-03-04,9.65743
2026-03-05,9.62285
2026-03-06,9.66695
2026-03-09,9.63425
2026-03-10,9.58986
2026-03-11,9.6296
2026-03-12,9.66525
2026-03-13,9.6882
2026-03-16,9.76067
2026-03-17,9.67319
2026-03-18,9.58129
2026-03-19,9.60055
2026-03-20,9.49005
2026-03-23,9.56655
2026-03-24,9.72825
2026-03-25,9.68642
2026-03-26,9.67963
2026-03-27,9.69045
2026-03-30,9.73653
2026-03-31,9.7287
2026-04-01,9.67646
2026-04-02,9.715
2026-04-03,9.71151
2026-04-06,9.75862
2026-04-07,9.7052
2026-04-08,9.58215
2026-04-09,9.56745
2026-04-10,9.4963
2026-04-13,9.53555
2026-04-14,9.43715
2026-04-15,9.43261
2026-04-16,9.37955
2026-04-17,9.35376
2026-04-20,9.3796
2026-04-21,9.30229
2026-04-22,9.33162
2026-04-23,9.29625
2026-04-24,9.32708
