date,rate
2024-03-27,1.66456
2024-03-28,1.66875
2024-03-29,1.673724
2024-04-01,1.6704
2024-04-02,1.67999
2024-04-03,1.67521
2024-04-04,1.66259
2024-04-05,1.65898
2024-04-08,1.66542
2024-04-09,1.65717
2024-04-10,1.64801
2024-04-11,1.67375
2024-04-12,1.66633
2024-04-15,1.68192
2024-04-16,1.69411
2024-04-17,1.69719
2024-04-18,1.69119
2024-04-19,1.69391
2024-04-22,1.69483
2024-04-23,1.688847
2024-04-24,1.68438
2024-04-25,1.68466
2024-04-26,1.6783
2024-04-29,1.68132
2024-04-30,1.67459
2024-05-01,1.70082
2024-05-02,1.68631
2024-05-03,1.67676
2024-05-06,1.66456
2024-05-07,1.66403
2024-05-08,1.667445
2024-05-09,1.6655
2024-05-10,1.65667
2024-05-13,1.66154
2024-05-14,1.66019
2024-05-15,1.65473
2024-05-16,1.63116
2024-05-17,1.632866
2024-05-20,1.62954
2024-05-21,1.63717
2024-05-22,1.64101
2024-05-23,1.63932
2024-05-24,1.64007
2024-05-27,1.63353
2024-05-28,1.62541
2024-05-29,1.62848
2024-05-30,1.6357
2024-05-31,1.63492
2024-06-03,1.62639
2024-06-04,1.61457
2024-06-05,1.61951
2024-06-06,1.61387
2024-06-07,1.61368
2024-06-10,1.63768
2024-06-11,1.63177
2024-06-12,1.62707
2024-06-13,1.61634
2024-06-14,1.62311
2024-06-17,1.62935
2024-06-18,1.629195
2024-06-19,1.62851
2024-06-20,1.62882
2024-06-21,1.63324
2024-06-24,1.63634
2024-06-25,1.63385
2024-06-26,1.63423
2024-06-27,1.64466
2024-06-28,1.64347
2024-07-01,1.63956
2024-07-02,1.64886
2024-07-03,1.64414
2024-07-04,1.63741
2024-07-05,1.63575
2024-07-08,1.62837
2024-07-09,1.631
2024-07-10,1.63209
2024-07-11,1.64258
2024-07-12,1.6408
2024-07-15,1.64055
2024-07-16,1.6456
2024-07-17,1.647691
2024-07-18,1.64457
2024-07-19,1.65459
2024-07-22,1.65997
2024-07-23,1.67266
2024-07-24,1.67985
2024-07-25,1.68711
2024-07-26,1.69785
2024-07-29,1.698081
2024-07-30,1.70146
2024-07-31,1.69434
2024-08-01,1.68016
2024-08-02,1.68458
2024-08-05,1.68152
2024-08-06,1.68053
2024-08-07,1.67389
2024-08-08,1.67054
2024-08-09,1.66472
2024-08-12,1.66808
2024-08-13,1.66019
2024-08-14,1.64495
2024-08-15,1.66647
2024-08-16,1.67199
2024-08-19,1.65085
2024-08-20,1.6346
2024-08-21,1.62406
2024-08-22,1.62272
2024-08-23,1.62771
2024-08-26,1.60666
2024-08-27,1.61147
2024-08-28,1.60151
2024-08-29,1.60064
2024-08-30,1.5966
2024-09-02,1.6
2024-09-03,1.60501
2024-09-04,1.61619
2024-09-05,1.61637
2024-09-06,1.60658
2024-09-09,1.6204
2024-09-10,1.62805
2024-09-11,1.62599
2024-09-12,1.63074
2024-09-13,1.61629
2024-09-16,1.6223
2024-09-17,1.61392
2024-09-18,1.61447
2024-09-19,1.61059
2024-09-20,1.60333
2024-09-23,1.60354
2024-09-24,1.59561
2024-09-25,1.57426
2024-09-26,1.59816
2024-09-27,1.57948
2024-09-30,1.57485
2024-10-01,1.57597
2024-10-02,1.5916
2024-10-03,1.59714
2024-10-04,1.60842
2024-10-07,1.62317
2024-10-08,1.63172
2024-10-09,1.63095
2024-10-10,1.6472
2024-10-11,1.64042
2024-10-14,1.64158
2024-10-15,1.64214
2024-10-16,1.65117
2024-10-17,1.65052
2024-10-18,1.64997
2024-10-21,1.64563
2024-10-22,1.66022
2024-10-23,1.65404
2024-10-24,1.66495
2024-10-25,1.66434
2024-10-28,1.67252
2024-10-29,1.670481
2024-10-30,1.67471
2024-10-31,1.67473
2024-11-01,1.67462
2024-11-04,1.67017
2024-11-05,1.674
2024-11-06,1.66207
2024-11-07,1.68384
2024-11-08,1.6605
2024-11-11,1.67608
2024-11-12,1.67529
2024-11-13,1.68825
2024-11-14,1.69984
2024-11-15,1.70946
2024-11-18,1.70555
2024-11-19,1.69759
2024-11-20,1.6893
2024-11-21,1.699524
2024-11-22,1.70724
2024-11-25,1.70587
2024-11-26,1.72079
2024-11-27,1.71318
2024-11-28,1.69681
2024-11-29,1.69595
2024-12-02,1.69305
2024-12-03,1.69935
2024-12-04,1.70007
2024-12-05,1.7073
2024-12-06,1.70004
2024-12-09,1.71268
2024-12-10,1.70678
2024-12-11,1.72348
2024-12-12,1.72586
2024-12-13,1.73301
2024-12-16,1.73289
2024-12-17,1.72652
2024-12-18,1.73668
2024-12-19,1.78021
2024-12-20,1.776988
2024-12-23,1.76941
2024-12-24,1.77098
2024-12-25,1.770538
2024-12-26,1.76963
2024-12-27,1.77759
2024-12-30,1.77324
2024-12-31,1.77314
2025-01-02,1.78622
2025-01-03,1.78795
2025-01-06,1.7806
2025-01-07,1.77333
2025-01-08,1.77447
2025-01-09,1.783994
2025-01-10,1.787789
2025-01-13,1.79701
2025-01-14,1.78438
2025-01-15,1.78476
2025-01-16,1.77674
2025-01-17,1.78314
2025-01-20,1.78977
2025-01-21,1.76001
2025-01-22,1.7665
2025-01-23,1.76566
2025-01-24,1.76196
2025-01-27,1.75676
2025-01-28,1.76423
2025-01-29,1.76504
2025-01-30,1.76516
2025-01-31,1.77418
2025-02-03,1.79546
2025-02-04,1.77721
2025-02-05,1.77041
2025-02-06,1.75769
2025-02-07,1.76215
2025-02-10,1.77073
2025-02-11,1.77462
2025-02-12,1.767
2025-02-13,1.77261
2025-02-14,1.76056
2025-02-17,1.74429
