date,rate
2024-03-27,56.242001
2024-03-28,56.259998
2024-03-29,56.18
2024-04-01,56.16
2024-04-02,56.207001
2024-04-03,56.301998
2024-04-04,56.342999
2024-04-05,56.661999
2024-04-08,56.5
2024-04-09,56.395
2024-04-10,56.323002
2024-04-11,56.563999
2024-04-12,56.449001
2024-04-15,56.605999
2024-04-16,56.880001
2024-04-17,57.116001
2024-04-18,57.209999
2024-04-19,57.209999
2024-04-22,57.476002
2024-04-23,57.522999
2024-04-24,57.389999
2024-04-25,57.870998
2024-04-26,57.698002
2024-04-29,57.700001
2024-04-30,57.644001
2024-05-01,57.813
2024-05-02,57.591
2024-05-03,57.439999
2024-05-06,57.129002
2024-05-07,57.161999
2024-05-08,57.174999
2024-05-09,57.388
2024-05-10,57.247002
2024-05-13,57.450001
2024-05-14,57.821999
2024-05-15,57.707001
2024-05-16,57.368999
2024-05-17,57.370998
2024-05-20,57.68
2024-05-21,58.029999
2024-05-22,58.152
2024-05-23,57.998001
2024-05-24,58.215
2024-05-27,58.18
2024-05-28,58.087002
2024-05-29,57.886002
2024-05-30,58.431
2024-05-31,58.439999
2024-06-03,58.575001
2024-06-04,58.615002
2024-06-05,58.883999
2024-06-06,58.747002
2024-06-07,58.599998
2024-06-10,58.695
2024-06-11,58.82
2024-06-12,58.758999
2024-06-13,58.277
2024-06-14,58.675999
2024-06-17,58.689999
2024-06-18,58.567001
2024-06-19,58.605
2024-06-20,58.755001
2024-06-21,58.848
2024-06-24,58.860001
2024-06-25,58.685001
2024-06-26,58.744999
2024-06-27,58.932999
2024-06-28,58.603001
2024-07-01,58.48
2024-07-02,58.738998
2024-07-03,58.777
2024-07-04,58.650002
2024-07-05,58.389
2024-07-08,58.526001
2024-07-09,58.462002
2024-07-10,58.487
2024-07-11,58.189999
2024-07-12,58.158001
2024-07-15,58.401001
2024-07-16,58.351002
2024-07-17,58.317001
2024-07-18,58.150002
2024-07-19,58.191002
2024-07-22,58.330002
2024-07-23,58.404999
2024-07-24,58.455002
2024-07-25,58.491001
2024-07-26,58.507
2024-07-29,58.360001
2024-07-30,58.622002
2024-07-31,58.555
2024-08-01,58.25
2024-08-02,58.208
2024-08-05,57.931
2024-08-06,57.668999
2024-08-07,57.685001
2024-08-08,57.487999
2024-08-09,57.139999
2024-08-12,57.275002
2024-08-13,57.206001
2024-08-14,56.861
2024-08-15,56.852001
2024-08-16,57.154999
2024-08-19,57.084
2024-08-20,56.643002
2024-08-21,56.249001
2024-08-22,56.111
2024-08-23,56.476002
2024-08-26,56.415001
2024-08-27,55.924999
2024-08-28,56.191002
2024-08-29,56.203999
2024-08-30,56.07
