date,rate
2024-03-27,3.975979
2024-03-28,3.9868
2024-03-29,3.9874
2024-04-01,3.982627
2024-04-02,3.996126
2024-04-03,3.984222
2024-04-04,3.960307
2024-04-05,3.958077
2024-04-08,3.95293
2024-04-09,3.920814
2024-04-10,3.92843
2024-04-11,3.967972
2024-04-12,3.972852
2024-04-15,4.019891
2024-04-16,4.047603
2024-04-17,4.110724
2024-04-18,4.065048
2024-04-19,4.074551
2024-04-22,4.038844
2024-04-23,4.0481
2024-04-24,4.0228
2024-04-25,4.047872
2024-04-26,4.0194
2024-04-29,4.033904
2024-04-30,4.025188
2024-05-01,4.05959
2024-05-02,4.0334
2024-05-03,4.033458
2024-05-06,4.013181
2024-05-07,3.99799
2024-05-08,4.01013
2024-05-09,4.000568
2024-05-10,3.971452
2024-05-13,3.992294
2024-05-14,3.968632
2024-05-15,3.945027
2024-05-16,3.91303
2024-05-17,3.918289
2024-05-20,3.9149
2024-05-21,3.912581
2024-05-22,3.915854
2024-05-23,3.937829
2024-05-24,3.9407
2024-05-27,3.92113
2024-05-28,3.921409
2024-05-29,3.9175
2024-05-30,3.96129
2024-05-31,3.950025
2024-06-03,3.935334
2024-06-04,3.9139
2024-06-05,3.957101
2024-06-06,3.942193
2024-06-07,3.93151
2024-06-10,3.994341
2024-06-11,4.0155
2024-06-12,4.039553
2024-06-13,4.005734
2024-06-14,4.0454
2024-06-17,4.090557
2024-06-18,4.043239
2024-06-19,4.03769
2024-06-20,4.0211
2024-06-21,4.0373
2024-06-24,4.047382
2024-06-25,3.99652
2024-06-26,4.0113
2024-06-27,4.0377
2024-06-28,4.022898
2024-07-01,4.016674
2024-07-02,4.019308
2024-07-03,4.008867
2024-07-04,3.984117
2024-07-05,3.9579
2024-07-08,3.956511
2024-07-09,3.94024
2024-07-10,3.93479
2024-07-11,3.93274
2024-07-12,3.917645
2024-07-15,3.907131
2024-07-16,3.90453
2024-07-17,3.926368
2024-07-18,3.919212
2024-07-19,3.935073
2024-07-22,3.93356
2024-07-23,3.925708
2024-07-24,3.941433
2024-07-25,3.962718
2024-07-26,3.9463
2024-07-29,3.934103
2024-07-30,3.968011
2024-07-31,3.962561
2024-08-01,3.961633
2024-08-02,3.986595
2024-08-05,3.93174
2024-08-06,3.925183
2024-08-07,3.94232
2024-08-08,3.95549
2024-08-09,3.95724
2024-08-12,3.95468
2024-08-13,3.934234
2024-08-14,3.896257
2024-08-15,3.895361
2024-08-16,3.9046
2024-08-19,3.867426
2024-08-20,3.8444
2024-08-21,3.84032
2024-08-22,3.834399
2024-08-23,3.84999
2024-08-26,3.81262
2024-08-27,3.833894
2024-08-28,3.83004
2024-08-29,3.8598
2024-08-30,3.865399
2024-09-02,3.88148
2024-09-03,3.85684
2024-09-04,3.87239
2024-09-05,3.85632
2024-09-06,3.85305
2024-09-09,3.859302
2024-09-10,3.870506
2024-09-11,3.881746
2024-09-12,3.8917
2024-09-13,3.866447
2024-09-16,3.85906
2024-09-17,3.84045
2024-09-18,3.8385
2024-09-19,3.84048
2024-09-20,3.8266
2024-09-23,3.824271
2024-09-24,3.8399
2024-09-25,3.798069
2024-09-26,3.83418
2024-09-27,3.822099
2024-09-30,3.823732
2024-10-01,3.8427
2024-10-02,3.87454
2024-10-03,3.883186
2024-10-04,3.903312
2024-10-07,3.93322
2024-10-08,3.937773
2024-10-09,3.9162
2024-10-10,3.925868
2024-10-11,3.933353
2024-10-14,3.927255
2024-10-15,3.933441
2024-10-16,3.943063
2024-10-17,3.954948
2024-10-18,3.976822
2024-10-21,3.959773
2024-10-22,3.992686
2024-10-23,4.002973
2024-10-24,4.029656
2024-10-25,4.013193
2024-10-28,4.02249
2024-10-29,4.01977
2024-10-30,4.00911
2024-10-31,4.007625
2024-11-01,3.997922
2024-11-04,4.003219
2024-11-05,4.004433
2024-11-06,3.979486
2024-11-07,4.050859
2024-11-08,3.993274
2024-11-11,4.032582
2024-11-12,4.0874
2024-11-13,4.09717
2024-11-14,4.107124
2024-11-15,4.10291
2024-11-18,4.1027
2024-11-19,4.07117
2024-11-20,4.08185
2024-11-21,4.1083
2024-11-22,4.147565
2024-11-25,4.137336
2024-11-26,4.1248
2024-11-27,4.10307
2024-11-28,4.070438
2024-11-29,4.073911
2024-12-02,4.070977
2024-12-03,4.0771
2024-12-04,4.083395
2024-12-05,4.07028
2024-12-06,4.0264
2024-12-09,4.036724
2024-12-10,4.029219
2024-12-11,4.038893
2024-12-12,4.063248
2024-12-13,4.07761
2024-12-16,4.054588
2024-12-17,4.045479
2024-12-18,4.063354
2024-12-19,4.1197
2024-12-20,4.10318
2024-12-23,4.082021
2024-12-24,4.097436
2024-12-25,4.08738
2024-12-26,4.08842
2024-12-27,4.0885
2024-12-30,4.092367
2024-12-31,4.10707
2025-01-02,4.12858
2025-01-03,4.1594
2025-01-06,4.14106
2025-01-07,4.0918
2025-01-08,4.11686
2025-01-09,4.1415
2025-01-10,4.1357
2025-01-13,4.161335
2025-01-14,4.15843
2025-01-15,4.135432
2025-01-16,4.134698
2025-01-17,4.137969
2025-01-20,4.143688
2025-01-21,4.07878
2025-01-22,4.082955
2025-01-23,4.056254
2025-01-24,4.044549
2025-01-27,4.022136
2025-01-28,4.034075
2025-01-29,4.027264
2025-01-30,4.028912
2025-01-31,4.0379
2025-02-03,4.117186
2025-02-04,4.0934
2025-02-05,4.0564
2025-02-06,4.037431
2025-02-07,4.03401
2025-02-10,4.06124
2025-02-11,4.05716
2025-02-12,4.024208
2025-02-13,4.002598
2025-02-14,3.982765
2025-02-17,3.973486
2025-02-18,3.9634
2025-02-19,3.967325
2025-02-20,4.00646
2025-02-21,3.960591
2025-02-24,3.97047
2025-02-25,3.959898
2025-02-26,3.9332
2025-02-27,3.942233
2025-02-28,4.003454
2025-03-03,4.00484
2025-03-04,3.96635
2025-03-05,3.916526
2025-03-06,3.84596
2025-03-07,3.867128
2025-03-10,3.829745
2025-03-11,3.870262
2025-03-12,3.84075
2025-03-13,3.8452
2025-03-14,3.850189
2025-03-17,3.839783
2025-03-18,3.829538
2025-03-19,3.819213
2025-03-20,3.832745
2025-03-21,3.859963
2025-03-24,3.870295
2025-03-25,3.863856
2025-03-26,3.8575
2025-03-27,3.89399
2025-03-28,3.873175
2025-03-31,3.857497
2025-04-01,3.864637
2025-04-02,3.873649
2025-04-03,3.8295
2025-04-04,3.82421
2025-04-07,3.88372
2025-04-08,3.934694
2025-04-09,3.889135
2025-04-10,3.863455
2025-04-11,3.781531
2025-04-14,3.773959
2025-04-15,3.764549
2025-04-16,3.801831
2025-04-17,3.75237
2025-04-22,3.707294
2025-04-23,3.77186
2025-04-24,3.7825
2025-04-25,3.753671
2025-04-28,3.761274
2025-04-29,3.739923
2025-04-30,3.7458
2025-05-01,3.770941
2025-05-02,3.784988
2025-05-05,3.773903
2025-05-06,3.767816
2025-05-07,3.764293
2025-05-08,3.76705
2025-05-09,3.785806
2025-05-12,3.767143
2025-05-13,3.819812
2025-05-14,3.785726
2025-05-15,3.781786
2025-05-16,3.790817
2025-05-19,3.816196
2025-05-20,3.777826
2025-05-21,3.754288
2025-05-22,3.740523
2025-05-23,3.765507
2025-05-26,3.73477
2025-05-27,3.721844
2025-05-28,3.74369
2025-05-29,3.77097
2025-05-30,3.725034
2025-06-02,3.756754
2025-06-03,3.7125
2025-06-04,3.750208
2025-06-05,3.7439
2025-06-06,3.734605
2025-06-09,3.75315
2025-06-10,3.735423
2025-06-11,3.717408
2025-06-12,3.691933
2025-06-13,3.6748
2025-06-16,3.694239
2025-06-17,3.69515
2025-06-18,3.7193
2025-06-19,3.7204
2025-06-20,3.70957
2025-06-23,3.7124
2025-06-24,3.683984
2025-06-25,3.6609
2025-06-26,3.635474
2025-06-27,3.62649
2025-06-30,3.612735
