date,rate
2024-03-27,3.6385
2024-03-28,3.638
2024-03-29,3.638
2024-04-01,3.639
2024-04-02,3.6385
2024-04-03,3.6385
2024-04-04,3.6395
2024-04-05,3.6396
2024-04-08,3.6395
2024-04-09,3.639
2024-04-10,3.639
2024-04-11,3.6395
2024-04-12,3.6395
2024-04-15,3.639
2024-04-16,3.639
2024-04-17,3.639
2024-04-18,3.6385
2024-04-19,3.638
2024-04-22,3.638
2024-04-23,3.6387
2024-04-24,3.6387
2024-04-25,3.6387
2024-04-26,3.6385
2024-04-29,3.6386
2024-04-30,3.6395
2024-05-01,3.6395
2024-05-02,3.639
2024-05-03,3.639
2024-05-06,3.639
2024-05-07,3.6395
2024-05-08,3.6395
2024-05-09,3.639
2024-05-10,3.6385
2024-05-13,3.6385
2024-05-14,3.638
2024-05-15,3.6385
2024-05-16,3.54
2024-05-17,3.64
2024-05-20,3.64
2024-05-21,3.64
2024-05-22,3.64
2024-05-23,3.64
2024-05-24,3.64
2024-05-27,3.64
2024-05-28,3.64
2024-05-29,3.64
2024-05-30,3.64
2024-05-31,3.64
2024-06-03,3.64
2024-06-04,3.64
2024-06-05,3.64
2024-06-06,3.64
2024-06-07,3.64
2024-06-10,3.645
2024-06-11,3.504102
2024-06-12,3.6395
2024-06-13,3.639
2024-06-14,3.6395
2024-06-17,3.645
2024-06-18,3.6385
2024-06-19,3.6385
2024-06-20,3.638
2024-06-21,3.6385
2024-06-24,3.644
2024-06-25,3.6386
2024-06-26,3.6395
2024-06-27,3.6395
2024-06-28,3.645
2024-07-01,3.643988
2024-07-02,3.639
2024-07-03,3.509505
2024-07-04,3.6385
2024-07-05,3.509687
2024-07-08,3.514101
2024-07-09,3.510183
2024-07-10,3.510162
2024-07-11,3.639
2024-07-12,3.6395
2024-07-15,3.6457
2024-07-16,3.639
2024-07-17,3.508637
2024-07-18,3.6395
2024-07-19,3.6457
2024-07-22,3.511428
2024-07-23,3.639
2024-07-24,3.6395
2024-07-25,3.639
2024-07-26,3.510067
2024-07-29,3.510092
2024-07-30,3.512296
2024-07-31,3.6385
2024-08-01,3.638
2024-08-02,3.6385
2024-08-05,3.644
2024-08-06,3.639
2024-08-07,3.6385
2024-08-08,3.510305
2024-08-09,3.639
2024-08-12,3.6395
2024-08-13,3.639
2024-08-14,3.6385
2024-08-15,3.639
2024-08-16,3.6395
2024-08-19,3.497984
2024-08-20,3.6395
2024-08-21,3.639
2024-08-22,3.6385
2024-08-23,3.639
2024-08-26,3.483785
2024-08-27,3.639
2024-08-28,3.6385
2024-08-29,3.51171
2024-08-30,3.6385
2024-09-02,3.51453
2024-09-03,3.509278
2024-09-04,3.639
2024-09-05,3.6385
2024-09-06,3.506855
2024-09-09,3.514084
2024-09-10,3.510261
2024-09-11,3.638
2024-09-12,3.638
2024-09-13,3.6385
2024-09-16,3.515395
2024-09-17,3.638
2024-09-18,3.516002
2024-09-19,3.6385
2024-09-20,3.638
2024-09-23,3.505838
2024-09-24,3.638
2024-09-25,3.6385
2024-09-26,3.638
2024-09-27,3.510867
2024-09-30,3.6385
2024-10-01,3.6386
2024-10-02,3.6395
2024-10-03,3.6395
2024-10-04,3.512059
2024-10-07,3.524516
2024-10-08,3.638
2024-10-09,3.510376
2024-10-10,3.6386
2024-10-11,3.6385
2024-10-14,3.504178
2024-10-15,3.508727
2024-10-16,3.6386
2024-10-17,3.6386
2024-10-18,3.6385
2024-10-21,3.498644
2024-10-22,3.6385
2024-10-23,3.6386
2024-10-24,3.6386
2024-10-25,3.6385
2024-10-28,3.515933
2024-10-29,3.6386
2024-10-30,3.6385
2024-10-31,3.639
2024-11-01,3.639
2024-11-04,3.503102
2024-11-05,3.6386
2024-11-06,3.6385
2024-11-07,3.6386
2024-11-08,3.6385
2024-11-11,3.52702
2024-11-12,3.504582
2024-11-13,3.6385
2024-11-14,3.6386
2024-11-15,3.6385
2024-11-18,3.5142
2024-11-19,3.6385
2024-11-20,3.6386
2024-11-21,3.6385
2024-11-22,3.6386
2024-11-25,3.502087
2024-11-26,3.6386
2024-11-27,3.6386
2024-11-28,3.503965
2024-11-29,3.502346
2024-12-02,3.496527
2024-12-03,3.639
2024-12-04,3.6395
2024-12-05,3.6391
2024-12-06,3.6391
2024-12-09,3.508297
2024-12-10,3.508744
2024-12-11,3.6385
2024-12-12,3.499187
2024-12-13,3.505126
2024-12-16,3.496265
2024-12-17,3.500357
2024-12-18,3.502993
2024-12-19,3.503168
2024-12-20,3.506191
2024-12-23,3.487133
2024-12-24,3.505673
2024-12-25,3.490609
2024-12-26,3.490609
2024-12-27,3.487106
2024-12-30,3.504915
2024-12-31,3.501263
2025-01-02,3.501263
2025-01-03,3.501205
2025-01-06,3.49411
2025-01-07,3.639
2025-01-08,3.639
2025-01-09,3.639
2025-01-10,3.6385
2025-01-13,3.515527
2025-01-14,3.6385
2025-01-15,3.6385
2025-01-16,3.6385
2025-01-17,3.6385
2025-01-20,3.500752
2025-01-21,3.505838
2025-01-22,3.6385
2025-01-23,3.639
2025-01-24,3.6395
2025-01-27,3.496264
2025-01-28,3.6395
2025-01-29,3.639
2025-01-30,3.6395
2025-01-31,3.6395
2025-02-03,3.555751
2025-02-04,3.639
2025-02-05,3.639
2025-02-06,3.6395
2025-02-07,3.639
2025-02-10,3.517392
2025-02-11,3.639
2025-02-12,3.639
2025-02-13,3.6385
2025-02-14,3.639
2025-02-17,3.492118
2025-02-18,3.501996
2025-02-19,3.639
2025-02-20,3.6385
2025-02-21,3.639
2025-02-24,3.503225
2025-02-25,3.6385
2025-02-26,3.639
2025-02-27,3.639
2025-02-28,3.6385
2025-03-03,3.50672
2025-03-04,3.639
2025-03-05,3.6385
2025-03-06,3.639
2025-03-07,3.506054
2025-03-10,3.51165
2025-03-11,3.639
2025-03-12,3.506898
2025-03-13,3.6385
2025-03-14,3.506191
2025-03-17,3.498833
2025-03-18,3.639
2025-03-19,3.6385
2025-03-20,3.639
2025-03-21,3.6385
2025-03-24,3.498414
2025-03-25,3.6385
2025-03-26,3.639
2025-03-27,3.6385
2025-03-28,3.639
2025-03-31,3.469851
2025-04-01,3.6385
2025-04-02,3.639
2025-04-03,3.6385
2025-04-04,3.639
2025-04-07,3.531038
2025-04-08,3.639
2025-04-09,3.6385
2025-04-10,3.6385
2025-04-11,3.6386
2025-04-14,3.512576
2025-04-15,3.6385
2025-04-16,3.521331
2025-04-17,3.510566
2025-04-22,3.6386
2025-04-23,3.6386
2025-04-24,3.52887
2025-04-25,3.510909
2025-04-28,3.6387
2025-04-29,3.513767
2025-04-30,3.6395
2025-05-01,3.639
2025-05-02,3.523414
2025-05-05,3.525145
2025-05-06,3.639
2025-05-07,3.6395
2025-05-08,3.513483
2025-05-09,3.508791
2025-05-12,3.512906
2025-05-13,3.506812
2025-05-14,3.6385
2025-05-15,3.6386
2025-05-16,3.639
2025-05-19,3.515276
2025-05-20,3.512308
2025-05-21,3.639
2025-05-22,3.512747
2025-05-23,3.518178
2025-05-26,3.506795
2025-05-27,3.513599
2025-05-28,3.522474
2025-05-29,3.514268
2025-05-30,3.513613
2025-06-02,3.504759
2025-06-03,3.521296
2025-06-04,3.516225
2025-06-05,3.512716
2025-06-06,3.6395
2025-06-09,3.52155
2025-06-10,3.6385
2025-06-11,3.6385
2025-06-12,3.6385
2025-06-13,3.6385
2025-06-16,3.502055
2025-06-17,3.6385
2025-06-18,3.6385
2025-06-19,3.6385
2025-06-20,3.6385
2025-06-23,3.516027
2025-06-24,3.6385
2025-06-25,3.514113
