date,rate
2024-03-27,10.58444
2024-03-28,10.63804
2024-03-29,10.68766
2024-04-01,10.6775
2024-04-02,10.80179
2024-04-03,10.73889
2024-04-04,10.64008
2024-04-05,10.64432
2024-04-08,10.64887
2024-04-09,10.5538
2024-04-10,10.5453
2024-04-11,10.721
2024-04-12,10.72157
2024-04-15,10.8565
2024-04-16,10.8769
2024-04-17,10.93731
2024-04-18,10.9407
2024-04-19,10.97098
2024-04-22,10.9228
2024-04-23,10.88139
2024-04-24,10.80738
2024-04-25,10.87958
2024-04-26,10.8813
2024-04-29,10.92386
2024-04-30,10.92846
2024-05-01,11.01688
2024-05-02,10.91009
2024-05-03,10.85437
2024-05-06,10.81906
2024-05-07,10.80843
2024-05-08,10.8648
2024-05-09,10.90854
2024-05-10,10.84058
2024-05-13,10.84508
2024-05-14,10.83556
2024-05-15,10.79495
2024-05-16,10.64719
2024-05-17,10.70415
2024-05-20,10.70001
2024-05-21,10.67814
2024-05-22,10.6872
2024-05-23,10.734
2024-05-24,10.73428
2024-05-27,10.6601
2024-05-28,10.60492
2024-05-29,10.5773
2024-05-30,10.66914
2024-05-31,10.58704
2024-06-03,10.5232
2024-06-04,10.40596
2024-06-05,10.41984
2024-06-06,10.3854
2024-06-07,10.38471
2024-06-10,10.5574
2024-06-11,10.4757
2024-06-12,10.4816
2024-06-13,10.3776
2024-06-14,10.4781
2024-06-17,10.52048
2024-06-18,10.46785
2024-06-19,10.434
2024-06-20,10.4367
2024-06-21,10.4932
2024-06-24,10.51273
2024-06-25,10.4716
2024-06-26,10.5089
2024-06-27,10.57672
2024-06-28,10.62329
2024-07-01,10.5661
2024-07-02,10.61568
2024-07-03,10.5723
2024-07-04,10.48264
2024-07-05,10.50269
2024-07-08,10.4608
2024-07-09,10.581
2024-07-10,10.54916
2024-07-11,10.54401
2024-07-12,10.48831
2024-07-15,10.55861
2024-07-16,10.59957
2024-07-17,10.57545
2024-07-18,10.5449
2024-07-19,10.58943
2024-07-22,10.6469
2024-07-23,10.72294
2024-07-24,10.76673
2024-07-25,10.7738
2024-07-26,10.82403
2024-07-29,10.81564
2024-07-30,10.82995
2024-07-31,10.76061
2024-08-01,10.68866
2024-08-02,10.7279
2024-08-05,10.557
2024-08-06,10.52587
2024-08-07,10.52943
2024-08-08,10.47043
2024-08-09,10.5104
2024-08-12,10.51688
2024-08-13,10.51258
2024-08-14,10.45167
2024-08-15,10.4673
2024-08-16,10.5407
2024-08-19,10.4351
2024-08-20,10.3047
2024-08-21,10.1
2024-08-22,10.17387
2024-08-23,10.23251
2024-08-26,10.1993
2024-08-27,10.21187
2024-08-28,10.15064
2024-08-29,10.19462
2024-08-30,10.21963
2024-09-02,10.27045
2024-09-03,10.24825
2024-09-04,10.29584
2024-09-05,10.21336
2024-09-06,10.24942
2024-09-09,10.29817
2024-09-10,10.37253
2024-09-11,10.34773
2024-09-12,10.38827
2024-09-13,10.26132
2024-09-16,10.21127
2024-09-17,10.1775
2024-09-18,10.17713
2024-09-19,10.20294
