date,rate
2024-03-27,1.34528
2024-03-28,1.34871
2024-03-29,1.34981
2024-04-01,1.34769
2024-04-02,1.35255
2024-04-03,1.35135
2024-04-04,1.34789
2024-04-05,1.34846
2024-04-08,1.3488
2024-04-09,1.34733
2024-04-10,1.34473
2024-04-11,1.35395
2024-04-12,1.35281
2024-04-15,1.3598
2024-04-16,1.36298
2024-04-17,1.36461
2024-04-18,1.36027
2024-04-19,1.362
2024-04-22,1.3613
2024-04-23,1.36196
2024-04-24,1.3604
2024-04-25,1.3612
2024-04-26,1.3591
2024-04-29,1.36143
2024-04-30,1.36006
2024-05-01,1.36521
2024-05-02,1.35997
2024-05-03,1.35373
2024-05-06,1.35087
2024-05-07,1.35166
2024-05-08,1.3544
2024-05-09,1.35548
2024-05-10,1.3518
2024-05-13,1.3542
2024-05-14,1.3525
2024-05-15,1.35202
2024-05-16,1.34356
2024-05-17,1.3458
2024-05-20,1.34483
2024-05-21,1.34734
2024-05-22,1.34722
2024-05-23,1.3499
2024-05-24,1.35178
2024-05-27,1.3496
2024-05-28,1.34857
2024-05-29,1.3484
2024-05-30,1.35201
2024-05-31,1.3497
2024-06-03,1.35061
2024-06-04,1.345
2024-06-05,1.34665
2024-06-06,1.34784
2024-06-07,1.345
2024-06-10,1.352
2024-06-11,1.3527
2024-06-12,1.35296
2024-06-13,1.34799
2024-06-14,1.35107
2024-06-17,1.35349
2024-06-18,1.3509
2024-06-19,1.35115
2024-06-20,1.35061
2024-06-21,1.35423
2024-06-24,1.3552
2024-06-25,1.35283
2024-06-26,1.35469
2024-06-27,1.35885
2024-06-28,1.358
2024-07-01,1.3547
2024-07-02,1.35773
2024-07-03,1.35598
2024-07-04,1.35324
2024-07-05,1.3516
2024-07-08,1.34872
2024-07-09,1.3495
2024-07-10,1.35063
2024-07-11,1.34869
2024-07-12,1.34217
2024-07-15,1.343
2024-07-16,1.34351
2024-07-17,1.344
2024-07-18,1.3393
2024-07-19,1.34362
2024-07-22,1.3441
2024-07-23,1.34588
2024-07-24,1.3458
2024-07-25,1.3437
2024-07-26,1.3429
2024-07-29,1.34294
2024-07-30,1.34302
2024-07-31,1.34189
2024-08-01,1.3357
2024-08-02,1.33676
2024-08-05,1.32567
2024-08-06,1.32527
2024-08-07,1.32549
2024-08-08,1.32665
2024-08-09,1.32614
2024-08-12,1.3243
2024-08-13,1.32381
2024-08-14,1.3171
2024-08-15,1.31673
2024-08-16,1.32224
2024-08-19,1.31576
2024-08-20,1.30788
2024-08-21,1.30453
2024-08-22,1.30531
2024-08-23,1.31011
2024-08-26,1.30114
2024-08-27,1.30375
2024-08-28,1.30137
2024-08-29,1.30352
2024-08-30,1.30262
2024-09-02,1.30606
2024-09-03,1.3064
2024-09-04,1.3069
2024-09-05,1.303
2024-09-06,1.29977
2024-09-09,1.30327
2024-09-10,1.30591
2024-09-11,1.30414
2024-09-12,1.30456
2024-09-13,1.30068
2024-09-16,1.29743
2024-09-17,1.29566
2024-09-18,1.29587
2024-09-19,1.29608
2024-09-20,1.29243
2024-09-23,1.2902
2024-09-24,1.29091
2024-09-25,1.28236
2024-09-26,1.28978
2024-09-27,1.28388
2024-09-30,1.2807
2024-10-01,1.28507
2024-10-02,1.2883
2024-10-03,1.29204
2024-10-04,1.2961
2024-10-07,1.30468
2024-10-08,1.30392
2024-10-09,1.30428
2024-10-10,1.30729
2024-10-11,1.30594
2024-10-14,1.30744
2024-10-15,1.30794
2024-10-16,1.30961
2024-10-17,1.31335
2024-10-18,1.31417
2024-10-21,1.30998
2024-10-22,1.31665
2024-10-23,1.31613
2024-10-24,1.32301
2024-10-25,1.31873
2024-10-28,1.32331
2024-10-29,1.32248
2024-10-30,1.32353
2024-10-31,1.32194
2024-11-01,1.31968
2024-11-04,1.32197
2024-11-05,1.3197
2024-11-06,1.31336
2024-11-07,1.33315
2024-11-08,1.32067
2024-11-11,1.32767
2024-11-12,1.33295
2024-11-13,1.33889
2024-11-14,1.34295
2024-11-15,1.3457
2024-11-18,1.34239
2024-11-19,1.33842
2024-11-20,1.33677
2024-11-21,1.34265
2024-11-22,1.34661
2024-11-25,1.3431
2024-11-26,1.3491
2024-11-27,1.34588
2024-11-28,1.34095
2024-11-29,1.34132
2024-12-02,1.34118
2024-12-03,1.34488
2024-12-04,1.34487
2024-12-05,1.34365
2024-12-06,1.33855
2024-12-09,1.34118
2024-12-10,1.34038
2024-12-11,1.3412
2024-12-12,1.34294
2024-12-13,1.3462
2024-12-16,1.34816
2024-12-17,1.34917
2024-12-18,1.3494
2024-12-19,1.3626
2024-12-20,1.3615
2024-12-23,1.35537
2024-12-24,1.35712
2024-12-25,1.3598
2024-12-26,1.35898
2024-12-27,1.35878
2024-12-30,1.3579
2024-12-31,1.35927
2025-01-02,1.36546
2025-01-03,1.36953
2025-01-06,1.37065
2025-01-07,1.3637
2025-01-08,1.36464
2025-01-09,1.36804
2025-01-10,1.3679
2025-01-13,1.37125
2025-01-14,1.36812
2025-01-15,1.36705
2025-01-16,1.36628
2025-01-17,1.36688
2025-01-20,1.36736
2025-01-21,1.35494
2025-01-22,1.35477
2025-01-23,1.35512
2025-01-24,1.35604
2025-01-27,1.34834
2025-01-28,1.34905
2025-01-29,1.3512
2025-01-30,1.3486
2025-01-31,1.35179
2025-02-03,1.36824
2025-02-04,1.3597
2025-02-05,1.35253
2025-02-06,1.34855
2025-02-07,1.35016
2025-02-10,1.35702
2025-02-11,1.35589
2025-02-12,1.3527
2025-02-13,1.35275
2025-02-14,1.34373
2025-02-17,1.33954
2025-02-18,1.3409
2025-02-19,1.34191
2025-02-20,1.34285
2025-02-21,1.3331
2025-02-24,1.33562
2025-02-25,1.33924
2025-02-26,1.33561
2025-02-27,1.33758
2025-02-28,1.3479
2025-03-03,1.3494
2025-03-04,1.34629
2025-03-05,1.33798
2025-03-06,1.3307
2025-03-07,1.33281
2025-03-10,1.3296
2025-03-11,1.3337
2025-03-12,1.33098
2025-03-13,1.33235
2025-03-14,1.3354
2025-03-17,1.33352
2025-03-18,1.33016
2025-03-19,1.3309
2025-03-20,1.32943
2025-03-21,1.33458
2025-03-24,1.3349
2025-03-25,1.33888
2025-03-26,1.33609
2025-03-27,1.34123
2025-03-28,1.33935
2025-03-31,1.34274
2025-04-01,1.34324
2025-04-02,1.34392
2025-04-03,1.34589
2025-04-04,1.33526
2025-04-07,1.34664
2025-04-08,1.35211
2025-04-09,1.35223
2025-04-10,1.34226
2025-04-11,1.32869
2025-04-14,1.32026
2025-04-15,1.31592
2025-04-16,1.31837
2025-04-17,1.3103
2025-04-22,1.30504
2025-04-23,1.31389
2025-04-24,1.31603
2025-04-25,1.31229
2025-04-28,1.3152
2025-04-29,1.30917
2025-04-30,1.30828
2025-05-01,1.30564
2025-05-02,1.31076
2025-05-05,1.2964
2025-05-06,1.29024
2025-05-07,1.28869
2025-05-08,1.29439
2025-05-09,1.30051
2025-05-12,1.29769
2025-05-13,1.3052
2025-05-14,1.3009
2025-05-15,1.3007
2025-05-16,1.29662
2025-05-19,1.29822
2025-05-20,1.29504
2025-05-21,1.29462
2025-05-22,1.2895
2025-05-23,1.29204
2025-05-26,1.28471
2025-05-27,1.2835
2025-05-28,1.28824
2025-05-29,1.29368
2025-05-30,1.28625
2025-06-02,1.2897
2025-06-03,1.28484
2025-06-04,1.28902
2025-06-05,1.2855
2025-06-06,1.28622
2025-06-09,1.2883
2025-06-10,1.28562
2025-06-11,1.28602
2025-06-12,1.28371
2025-06-13,1.27816
2025-06-16,1.2814
2025-06-17,1.28119
2025-06-18,1.28628
2025-06-19,1.28526
2025-06-20,1.2849
2025-06-23,1.29005
2025-06-24,1.28284
2025-06-25,1.28011
2025-06-26,1.27673
2025-06-27,1.27529
2025-06-30,1.27585
2025-07-01,1.27073
2025-07-02,1.27255
2025-07-03,1.27278
2025-07-04,1.27386
2025-07-07,1.27417
2025-07-08,1.27889
2025-07-09,1.27996
2025-07-10,1.27965
2025-07-11,1.27937
2025-07-14,1.28039
2025-07-15,1.28232
2025-07-16,1.2846
2025-07-17,1.28328
2025-07-18,1.28531
2025-07-21,1.28474
2025-07-22,1.28053
2025-07-23,1.27859
2025-07-24,1.27638
2025-07-25,1.2771
2025-07-28,1.2805
2025-07-29,1.28637
2025-07-30,1.2876
2025-07-31,1.29572
2025-08-01,1.2977
2025-08-04,1.28839
2025-08-05,1.28679
2025-08-06,1.28727
2025-08-07,1.28515
2025-08-08,1.28251
2025-08-11,1.28505
2025-08-12,1.28656
2025-08-13,1.28288
2025-08-14,1.27965
2025-08-15,1.28432
2025-08-18,1.28274
2025-08-19,1.28442
2025-08-20,1.28528
2025-08-21,1.2852
2025-08-22,1.28854
2025-08-25,1.28232
2025-08-26,1.28599
2025-08-27,1.2854
2025-08-28,1.2851
2025-08-29,1.28232
2025-09-01,1.28359
2025-09-02,1.28363
2025-09-03,1.28902
2025-09-04,1.28793
2025-09-05,1.28892
2025-09-08,1.28559
2025-09-09,1.2826
2025-09-10,1.28312
2025-09-11,1.28204
2025-09-12,1.28161
2025-09-15,1.28267
2025-09-16,1.28034
2025-09-17,1.2755
2025-09-18,1.2771
2025-09-19,1.28176
2025-09-22,1.28543
2025-09-23,1.28184
2025-09-24,1.28333
2025-09-25,1.28831
2025-09-26,1.29436
2025-09-29,1.2913
2025-09-30,1.28969
2025-10-01,1.29021
2025-10-02,1.28766
2025-10-03,1.28856
2025-10-06,1.29173
2025-10-07,1.29112
2025-10-08,1.29355
2025-10-09,1.29552
2025-10-10,1.29917
2025-10-13,1.2971
2025-10-14,1.29927
2025-10-15,1.29838
2025-10-16,1.29546
2025-10-17,1.29281
2025-10-20,1.29544
2025-10-21,1.29364
2025-10-22,1.29839
2025-10-23,1.29782
2025-10-24,1.2986
2025-10-27,1.29805
2025-10-28,1.29611
2025-10-29,1.29326
2025-10-30,1.29723
2025-10-31,1.2992
2025-11-03,1.30181
2025-11-04,1.30494
2025-11-05,1.30761
2025-11-06,1.3061
2025-11-07,1.30413
2025-11-10,1.30262
2025-11-11,1.30254
2025-11-12,1.30098
2025-11-13,1.30176
2025-11-14,1.30118
2025-11-17,1.29896
2025-11-18,1.30291
2025-11-19,1.301
2025-11-20,1.30598
2025-11-21,1.30734
2025-11-24,1.30715
2025-11-25,1.3048
2025-11-26,1.30189
2025-11-27,1.29634
2025-11-28,1.29672
2025-12-01,1.29564
2025-12-02,1.29648
2025-12-03,1.29599
2025-12-04,1.29374
2025-12-05,1.29644
2025-12-08,1.29597
2025-12-09,1.29754
2025-12-10,1.29694
2025-12-11,1.29214
2025-12-12,1.29175
2025-12-15,1.29173
2025-12-16,1.28943
2025-12-17,1.28903
2025-12-18,1.29116
2025-12-19,1.2897
2025-12-22,1.29291
2025-12-23,1.28788
2025-12-24,1.28443
2025-12-26,1.28411
2025-12-29,1.28433
2025-12-30,1.2849
2025-12-31,1.2839
2026-01-02,1.2847
2026-01-05,1.28785
2026-01-06,1.28286
2026-01-07,1.28055
2026-01-08,1.28255
2026-01-09,1.2851
2026-01-12,1.28724
2026-01-13,1.28559
2026-01-14,1.28887
2026-01-15,1.28753
2026-01-16,1.28789
2026-01-19,1.28675
2026-01-20,1.28522
2026-01-21,1.28379
2026-01-22,1.28529
2026-01-23,1.2801
2026-01-26,1.27112
2026-01-27,1.2701
2026-01-28,1.2607
2026-01-29,1.26132
2026-01-30,1.26387
2026-02-02,1.27219
2026-02-03,1.27161
2026-02-04,1.26999
2026-02-05,1.27278
2026-02-06,1.27558
2026-02-09,1.27113
2026-02-10,1.26589
2026-02-11,1.26537
2026-02-12,1.26194
2026-02-13,1.26235
2026-02-16,1.26254
2026-02-17,1.26242
2026-02-18,1.26268
2026-02-19,1.2672
2026-02-20,1.26843
2026-02-23,1.26414
2026-02-24,1.26619
2026-02-25,1.2663
2026-02-26,1.26275
2026-02-27,1.2632
2026-03-02,1.26955
2026-03-03,1.27238
2026-03-04,1.27701
2026-03-05,1.27473
2026-03-06,1.2797
2026-03-09,1.28427
2026-03-10,1.27508
2026-03-11,1.273
2026-03-12,1.27607
2026-03-13,1.27848
2026-03-16,1.28237
2026-03-17,1.27823
2026-03-18,1.2762
2026-03-19,1.28332
2026-03-20,1.2775
2026-03-23,1.28197
2026-03-24,1.27519
2026-03-25,1.27741
2026-03-26,1.28104
2026-03-27,1.28582
2026-03-30,1.28982
2026-03-31,1.292
2026-04-01,1.28434
2026-04-02,1.2826
2026-04-03,1.2849
2026-04-06,1.28752
2026-04-07,1.28494
2026-04-08,1.27576
2026-04-09,1.27455
2026-04-10,1.27329
2026-04-13,1.27767
2026-04-14,1.2715
2026-04-15,1.27079
2026-04-16,1.27065
2026-04-17,1.27312
2026-04-20,1.27355
2026-04-21,1.27004
2026-04-22,1.27329
2026-04-23,1.27572
2026-04-24,1.2778
