date,rate
2024-03-27,36.310001
2024-03-28,36.400002
2024-03-29,36.360001
2024-04-01,36.403
2024-04-02,36.59
2024-04-03,36.571999
2024-04-04,36.582001
2024-04-05,36.678001
2024-04-08,36.66
2024-04-09,36.689999
2024-04-10,36.330002
2024-04-11,36.719002
2024-04-12,36.410999
2024-04-15,36.619999
2024-04-16,36.759998
2024-04-17,36.666
2024-04-18,36.77
2024-04-19,36.796001
2024-04-22,36.869999
2024-04-23,37.068001
2024-04-24,36.887001
2024-04-25,37.041
2024-04-26,37.007
2024-04-29,36.981998
2024-04-30,36.999001
2024-05-01,37.175999
2024-05-02,36.964001
2024-05-03,36.799999
2024-05-06,36.720001
2024-05-07,36.75
2024-05-08,36.939999
2024-05-09,36.917999
2024-05-10,36.700001
2024-05-13,36.790001
2024-05-14,36.776001
2024-05-15,36.556999
2024-05-16,36.259998
2024-05-17,36.189999
2024-05-20,36.119999
2024-05-21,36.125
2024-05-22,36.354
2024-05-23,36.490002
2024-05-24,36.632
2024-05-27,36.639999
2024-05-28,36.549999
2024-05-29,36.573002
2024-05-30,36.779999
2024-05-31,36.681
2024-06-03,36.75
2024-06-04,36.573002
2024-06-05,36.554001
2024-06-06,36.57
2024-06-07,36.395
2024-06-10,36.91
2024-06-11,36.709999
2024-06-12,36.708
2024-06-13,36.619999
2024-06-14,36.749001
2024-06-17,36.68
2024-06-18,36.810001
2024-06-19,36.641998
2024-06-20,36.667
2024-06-21,36.716999
2024-06-24,36.759998
2024-06-25,36.598
2024-06-26,36.73
2024-06-27,36.932999
2024-06-28,36.82
2024-07-01,36.669998
2024-07-02,36.715
2024-07-03,36.810001
2024-07-04,36.634998
2024-07-05,36.630001
2024-07-08,36.5
2024-07-09,36.389999
2024-07-10,36.41
2024-07-11,36.32
2024-07-12,36.028999
2024-07-15,36.18
2024-07-16,36.110001
2024-07-17,35.976002
2024-07-18,35.867001
2024-07-19,36.139999
2024-07-22,36.279999
2024-07-23,36.299999
2024-07-24,36.139999
2024-07-25,36.098
