date,rate
2024-03-27,32.2085
2024-03-28,32.299702
2024-03-29,32.4491
2024-04-01,32.423401
2024-04-02,32.262402
2024-04-03,32.052101
2024-04-04,31.945299
2024-04-05,31.94499
2024-04-08,32.007599
2024-04-09,32.156502
2024-04-10,32.22427
2024-04-11,32.285999
2024-04-12,32.418201
2024-04-15,32.3969
2024-04-16,32.407009
2024-04-17,32.511398
2024-04-18,32.471199
2024-04-19,32.563301
2024-04-22,32.60334
2024-04-23,32.564602
2024-04-24,32.510521
2024-04-25,32.566719
2024-04-26,32.535301
2024-04-29,32.5312
2024-04-30,32.369919
2024-05-01,32.403301
2024-05-02,32.272999
2024-05-03,32.403301
2024-05-06,32.302399
2024-05-07,32.2826
2024-05-08,32.256199
2024-05-09,32.348499
2024-05-10,32.2831
2024-05-13,32.181229
2024-05-14,32.251701
2024-05-15,32.2812
2024-05-16,32.1605
2024-05-17,32.262901
2024-05-20,32.232601
2024-05-21,32.212101
2024-05-22,32.190899
2024-05-23,32.150951
2024-05-24,32.222
2024-05-27,32.220001
2024-05-28,32.108002
2024-05-29,32.240898
2024-05-30,32.260101
2024-05-31,32.243801
2024-06-03,32.235802
2024-06-04,32.1786
2024-06-05,32.633801
2024-06-06,32.274399
2024-06-07,32.288799
2024-06-10,32.406101
2024-06-11,32.382801
2024-06-12,32.364899
2024-06-13,32.328701
2024-06-14,32.490101
2024-06-17,32.65733
2024-06-18,32.819401
2024-06-19,32.551102
2024-06-20,32.513302
2024-06-21,32.829498
2024-06-24,32.826302
2024-06-25,32.920971
2024-06-26,32.944599
2024-06-27,32.838501
2024-06-28,32.887798
2024-07-01,32.7705
2024-07-02,32.648201
2024-07-03,32.543598
2024-07-04,32.534039
2024-07-05,32.638
2024-07-08,32.674599
2024-07-09,32.7173
2024-07-10,32.903801
2024-07-11,32.879799
2024-07-12,32.94902
2024-07-15,33.084801
2024-07-16,33.017502
2024-07-17,33.040501
2024-07-18,33.079571
2024-07-19,33.088139
2024-07-22,32.997841
2024-07-23,32.926201
2024-07-24,32.8409
2024-07-25,32.8563
2024-07-26,33.116501
2024-07-29,33.023998
2024-07-30,33.0555
2024-07-31,33.098499
2024-08-01,33.175999
2024-08-02,33.159302
2024-08-05,33.245098
2024-08-06,33.394199
2024-08-07,33.619202
2024-08-08,33.512329
2024-08-09,33.53265
2024-08-12,33.523102
2024-08-13,33.453819
2024-08-14,33.509499
2024-08-15,33.592152
2024-08-16,33.63818
2024-08-19,33.688099
2024-08-20,33.758801
2024-08-21,33.89856
2024-08-22,33.924999
2024-08-23,33.9575
2024-08-26,34.0224
2024-08-27,34.025299
2024-08-28,34.017231
2024-08-29,34.1394
2024-08-30,34.077339
2024-09-02,34.070801
